"timeframe","cluster2017","Cluster2017_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
"2013-17","Cluster 40",40,"01JAN2012","31DEC2016",18,54,29,22,1
"2013-17","Cluster 41",41,"01JAN2012","31DEC2016",4.3,68,6.9,16,1
"2013-17","Cluster 43",43,"01JAN2012","31DEC2016",25,41,23,15,1
"2013-17","Cluster 44",44,"01JAN2012","31DEC2016",11,69,6.3,2.9,1
"2013-17","Cluster 46",46,"01JAN2012","31DEC2016",12,50,20,21,1
2000,"Cluster 01",01,"01JAN2000","31DEC2000",2.7,79,".",".",1
2000,"Cluster 02",02,"01JAN2000","31DEC2000",9.7,58,".",".",1
2000,"Cluster 03",03,"01JAN2000","31DEC2000",8.9,53,".",".",1
2000,"Cluster 04",04,"01JAN2000","31DEC2000",2.1,65,".",".",1
2000,"Cluster 05",05,"01JAN2000","31DEC2000",27,50,".",".",1
2000,"Cluster 06",06,"01JAN2000","31DEC2000",2.8,81,".",".",1
2000,"Cluster 07",07,"01JAN2000","31DEC2000",8.6,63,".",".",1
2000,"Cluster 08",08,"01JAN2000","31DEC2000",16,50,".",".",1
2000,"Cluster 09",09,"01JAN2000","31DEC2000",9.3,58,".",".",1
2000,"Cluster 10",10,"01JAN2000","31DEC2000",2.3,61,".",".",1
2000,"Cluster 11",11,"01JAN2000","31DEC2000",2.2,73,".",".",1
2000,"Cluster 12",12,"01JAN2000","31DEC2000",1.5,75,".",".",1
2000,"Cluster 13",13,"01JAN2000","31DEC2000",34,50,".",".",1
2000,"Cluster 14",14,"01JAN2000","31DEC2000",5.7,67,".",".",1
2000,"Cluster 15",15,"01JAN2000","31DEC2000",1.8,72,".",".",1
2000,"Cluster 16",16,"01JAN2000","31DEC2000",3.9,63,".",".",1
2000,"Cluster 17",17,"01JAN2000","31DEC2000",7.1,58,".",".",1
2000,"Cluster 18",18,"01JAN2000","31DEC2000",7.8,54,".",".",1
2000,"Cluster 19",19,"01JAN2000","31DEC2000",16,50,".",".",1
2000,"Cluster 20",20,"01JAN2000","31DEC2000",14,50,".",".",1
2000,"Cluster 21",21,"01JAN2000","31DEC2000",14,49,".",".",1
2000,"Cluster 22",22,"01JAN2000","31DEC2000",12,48,".",".",1
2000,"Cluster 23",23,"01JAN2000","31DEC2000",18,43,".",".",1
2000,"Cluster 24",24,"01JAN2000","31DEC2000",11,44,".",".",1
2000,"Cluster 25",25,"01JAN2000","31DEC2000",11,58,".",".",1
2000,"Cluster 26",26,"01JAN2000","31DEC2000",5.5,64,".",".",1
2000,"Cluster 27",27,"01JAN2000","31DEC2000",33,24,".",".",1
2000,"Cluster 28",28,"01JAN2000","31DEC2000",22,45,".",".",1
2000,"Cluster 29",29,"01JAN2000","31DEC2000",21,44,".",".",1
2000,"Cluster 30",30,"01JAN2000","31DEC2000",14,46,".",".",1
2000,"Cluster 31",31,"01JAN2000","31DEC2000",16,38,".",".",1
2000,"Cluster 32",32,"01JAN2000","31DEC2000",13,47,".",".",1
2000,"Cluster 33",33,"01JAN2000","31DEC2000",18,43,".",".",1
2000,"Cluster 34",34,"01JAN2000","31DEC2000",12,52,".",".",1
2000,"Cluster 35",35,"01JAN2000","31DEC2000",8.4,57,".",".",1
2000,"Cluster 36",36,"01JAN2000","31DEC2000",22,41,".",".",1
2000,"Cluster 37",37,"01JAN2000","31DEC2000",26,39,".",".",1
2000,"Cluster 38",38,"01JAN2000","31DEC2000",26,38,".",".",1
2000,"Cluster 39",39,"01JAN2000","31DEC2000",20,45,".",".",1
2000,"Cluster 40",40,"01JAN2000","31DEC2000",0.0,92,".",".",1
2000,"Cluster 41",41,"01JAN2000","31DEC2000",6.1,59,".",".",1
2000,"Cluster 43",43,"01JAN2000","31DEC2000",56,19,".",".",1
2000,"Cluster 44",44,"01JAN2000","31DEC2000",20,68,".",".",1
2000,"Cluster 46",46,"01JAN2000","31DEC2000","i","i",".",".",1
1990,"Cluster 01",01,"01JAN1990","31DEC1990",3.6,78,".",".",1
1990,"Cluster 02",02,"01JAN1990","31DEC1990",8.6,60,".",".",1
1990,"Cluster 03",03,"01JAN1990","31DEC1990",9.3,49,".",".",1
1990,"Cluster 04",04,"01JAN1990","31DEC1990",2.1,67,".",".",1
1990,"Cluster 05",05,"01JAN1990","31DEC1990",4.3,60,".",".",1
1990,"Cluster 06",06,"01JAN1990","31DEC1990",3.2,81,".",".",1
1990,"Cluster 07",07,"01JAN1990","31DEC1990",9.8,63,".",".",1
1990,"Cluster 08",08,"01JAN1990","31DEC1990",14,48,".",".",1
1990,"Cluster 09",09,"01JAN1990","31DEC1990",8.6,68,".",".",1
1990,"Cluster 10",10,"01JAN1990","31DEC1990",2.6,65,".",".",1
1990,"Cluster 11",11,"01JAN1990","31DEC1990",2.8,69,".",".",1
1990,"Cluster 12",12,"01JAN1990","31DEC1990",1.6,72,".",".",1
1990,"Cluster 13",13,"01JAN1990","31DEC1990",2.1,65,".",".",1
1990,"Cluster 14",14,"01JAN1990","31DEC1990",2.8,69,".",".",1
1990,"Cluster 15",15,"01JAN1990","31DEC1990",2.2,72,".",".",1
1990,"Cluster 16",16,"01JAN1990","31DEC1990",3.8,66,".",".",1
1990,"Cluster 17",17,"01JAN1990","31DEC1990",6.0,64,".",".",1
1990,"Cluster 18",18,"01JAN1990","31DEC1990",7.6,61,".",".",1
1990,"Cluster 19",19,"01JAN1990","31DEC1990",6.6,59,".",".",1
1990,"Cluster 20",20,"01JAN1990","31DEC1990",5.9,61,".",".",1
1990,"Cluster 21",21,"01JAN1990","31DEC1990",11,49,".",".",1
1990,"Cluster 22",22,"01JAN1990","31DEC1990",9.5,54,".",".",1
