"timeframe","Psa2012","psa2012_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
2000,"PSA 603",603,"01JAN2000","31DEC2000",14,48,".",".",1
2000,"PSA 604",604,"01JAN2000","31DEC2000",18,44,".",".",1
2000,"PSA 605",605,"01JAN2000","31DEC2000",12,49,".",".",1
2000,"PSA 606",606,"01JAN2000","31DEC2000",8.4,57,".",".",1
2000,"PSA 607",607,"01JAN2000","31DEC2000",14,51,".",".",1
2000,"PSA 608",608,"01JAN2000","31DEC2000",16,39,".",".",1
2000,"PSA 701",701,"01JAN2000","31DEC2000",16,50,".",".",1
2000,"PSA 702",702,"01JAN2000","31DEC2000",21,42,".",".",1
2000,"PSA 703",703,"01JAN2000","31DEC2000",30,35,".",".",1
2000,"PSA 704",704,"01JAN2000","31DEC2000",27,38,".",".",1
2000,"PSA 705",705,"01JAN2000","31DEC2000",21,41,".",".",1
2000,"PSA 706",706,"01JAN2000","31DEC2000",22,43,".",".",1
2000,"PSA 707",707,"01JAN2000","31DEC2000",14,60,".",".",1
2000,"PSA 708",708,"01JAN2000","31DEC2000",22,47,".",".",1
1990,"PSA 101",101,"01JAN1990","31DEC1990",25,27,".",".",1
1990,"PSA 102",102,"01JAN1990","31DEC1990",17,43,".",".",1
1990,"PSA 103",103,"01JAN1990","31DEC1990",17,42,".",".",1
1990,"PSA 104",104,"01JAN1990","31DEC1990",11,62,".",".",1
1990,"PSA 105",105,"01JAN1990","31DEC1990",8.6,68,".",".",1
1990,"PSA 106",106,"01JAN1990","31DEC1990",8.7,64,".",".",1
1990,"PSA 107",107,"01JAN1990","31DEC1990",3.1,80,".",".",1
1990,"PSA 108",108,"01JAN1990","31DEC1990",8.4,50,".",".",1
1990,"PSA 201",201,"01JAN1990","31DEC1990",2.6,65,".",".",1
1990,"PSA 202",202,"01JAN1990","31DEC1990",2.8,69,".",".",1
1990,"PSA 203",203,"01JAN1990","31DEC1990",1.7,71,".",".",1
1990,"PSA 204",204,"01JAN1990","31DEC1990",2.7,72,".",".",1
1990,"PSA 205",205,"01JAN1990","31DEC1990",2.3,65,".",".",1
1990,"PSA 206",206,"01JAN1990","31DEC1990",2.1,67,".",".",1
1990,"PSA 207",207,"01JAN1990","31DEC1990",4.2,60,".",".",1
1990,"PSA 208",208,"01JAN1990","31DEC1990",4.1,79,".",".",1
1990,"PSA 301",301,"01JAN1990","31DEC1990",3.5,78,".",".",1
1990,"PSA 302",302,"01JAN1990","31DEC1990",9.7,55,".",".",1
1990,"PSA 303",303,"01JAN1990","31DEC1990",3.7,79,".",".",1
1990,"PSA 304",304,"01JAN1990","31DEC1990",12,52,".",".",1
1990,"PSA 305",305,"01JAN1990","31DEC1990",13,54,".",".",1
1990,"PSA 306",306,"01JAN1990","31DEC1990",7.7,38,".",".",1
1990,"PSA 307",307,"01JAN1990","31DEC1990",8.8,61,".",".",1
1990,"PSA 308",308,"01JAN1990","31DEC1990",12,57,".",".",1
1990,"PSA 401",401,"01JAN1990","31DEC1990",5.0,69,".",".",1
1990,"PSA 402",402,"01JAN1990","31DEC1990",6.2,64,".",".",1
1990,"PSA 403",403,"01JAN1990","31DEC1990",7.2,62,".",".",1
1990,"PSA 404",404,"01JAN1990","31DEC1990",6.5,63,".",".",1
1990,"PSA 405",405,"01JAN1990","31DEC1990",6.8,50,".",".",1
1990,"PSA 406",406,"01JAN1990","31DEC1990",5.1,59,".",".",1
1990,"PSA 407",407,"01JAN1990","31DEC1990",8.7,59,".",".",1
1990,"PSA 408",408,"01JAN1990","31DEC1990",5.5,74,".",".",1
1990,"PSA 409",409,"01JAN1990","31DEC1990",8.4,61,".",".",1
1990,"PSA 501",501,"01JAN1990","31DEC1990",11,58,".",".",1
1990,"PSA 502",502,"01JAN1990","31DEC1990",11,55,".",".",1
