"timeframe","zip","zip_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
"2014-18","ZIP 20032",20032,"01JAN2014","31DEC2018",21,49,2.5,2.1,1
"2014-18","ZIP 20036",20036,"01JAN2014","31DEC2018",2.6,76,2.8,8.4,1
"2014-18","ZIP 20037",20037,"01JAN2014","31DEC2018",3.5,62,2.1,4.6,1
"2014-18","ZIP 20052",20052,"01JAN2014","31DEC2018",8.0,36,10.0,7.5,1
"2014-18","ZIP 20057",20057,"01JAN2014","31DEC2018",5.5,36,5.5,6.5,1
"2014-18","ZIP 20059",20059,"01JAN2014","31DEC2018",5.8,52,13,20,1
"2014-18","ZIP 20064",20064,"01JAN2014","31DEC2018",7.9,54,4.9,6.2,1
"2014-18","ZIP 20332",20332,"01JAN2014","31DEC2018",4.9,81,9.2,13,1
"2014-18","ZIP 20336",20336,"01JAN2014","31DEC2018",4.9,81,7.1,10,1
"2010-14","ZIP 20001",20001,"01JAN2010","31DEC2014",8.2,66,1.4,2.1,1
"2010-14","ZIP 20002",20002,"01JAN2010","31DEC2014",12,64,1.4,1.6,1
"2010-14","ZIP 20003",20003,"01JAN2010","31DEC2014",6.7,65,1.5,2.4,1
"2010-14","ZIP 20004",20004,"01JAN2010","31DEC2014",3.1,80,5.4,11,1
"2010-14","ZIP 20005",20005,"01JAN2010","31DEC2014",4.9,78,2.5,5.6,1
"2010-14","ZIP 20006",20006,"01JAN2010","31DEC2014",8.9,30,9.0,3.4,1
"2010-14","ZIP 20007",20007,"01JAN2010","31DEC2014",3.8,68,1.4,2.9,1
"2010-14","ZIP 20008",20008,"01JAN2010","31DEC2014",3.3,75,1.2,2.7,1
"2010-14","ZIP 20009",20009,"01JAN2010","31DEC2014",5.3,80,1.1,2.1,1
"2010-14","ZIP 20010",20010,"01JAN2010","31DEC2014",7.3,73,1.5,2.4,1
"2010-14","ZIP 20011",20011,"01JAN2010","31DEC2014",12,60,1.3,1.6,1
"2010-14","ZIP 20012",20012,"01JAN2010","31DEC2014",11,63,2.7,3.6,1
"2010-14","ZIP 20015",20015,"01JAN2010","31DEC2014",2.9,66,1.7,3.2,1
"2010-14","ZIP 20016",20016,"01JAN2010","31DEC2014",4.7,58,1.5,2.1,1
"2010-14","ZIP 20017",20017,"01JAN2010","31DEC2014",20,51,3.8,3.5,1
"2010-14","ZIP 20018",20018,"01JAN2010","31DEC2014",19,48,3.6,2.9,1
"2010-14","ZIP 20019",20019,"01JAN2010","31DEC2014",22,46,2.1,1.8,1
"2010-14","ZIP 20020",20020,"01JAN2010","31DEC2014",19,45,2.1,2.0,1
"2010-14","ZIP 20024",20024,"01JAN2010","31DEC2014",8.0,68,2.5,4.7,1
"2010-14","ZIP 20032",20032,"01JAN2010","31DEC2014",30,42,3.0,2.1,1
"2010-14","ZIP 20036",20036,"01JAN2010","31DEC2014",2.2,78,2.6,7.4,1
"2010-14","ZIP 20037",20037,"01JAN2010","31DEC2014",4.0,58,2.4,3.5,1
"2010-14","ZIP 20052",20052,"01JAN2010","31DEC2014",9.1,29,13,4.9,1
"2010-14","ZIP 20057",20057,"01JAN2010","31DEC2014",7.0,24,9.9,3.6,1
"2010-14","ZIP 20059",20059,"01JAN2010","31DEC2014",13,44,21,23,1
"2010-14","ZIP 20064",20064,"01JAN2010","31DEC2014",8.7,46,5.3,6.3,1
"2010-14","ZIP 20332",20332,"01JAN2010","31DEC2014",2.7,80,15,5.2,1
"2010-14","ZIP 20336",20336,"01JAN2010","31DEC2014",2.7,80,12,4.0,1
2000,"ZIP 20001",20001,"01JAN2000","31DEC2000",16,48,".",".",1
2000,"ZIP 20002",20002,"01JAN2000","31DEC2000",12,54,".",".",1
2000,"ZIP 20003",20003,"01JAN2000","31DEC2000",6.8,59,".",".",1
2000,"ZIP 20004",20004,"01JAN2000","31DEC2000",4.2,63,".",".",1
2000,"ZIP 20005",20005,"01JAN2000","31DEC2000",6.4,68,".",".",1
2000,"ZIP 20006",20006,"01JAN2000","31DEC2000",60,31,".",".",1
2000,"ZIP 20007",20007,"01JAN2000","31DEC2000",3.5,70,".",".",1
2000,"ZIP 20008",20008,"01JAN2000","31DEC2000",1.7,75,".",".",1
2000,"ZIP 20009",20009,"01JAN2000","31DEC2000",4.5,73,".",".",1
2000,"ZIP 20010",20010,"01JAN2000","31DEC2000",9.8,59,".",".",1
2000,"ZIP 20011",20011,"01JAN2000","31DEC2000",9.3,53,".",".",1
2000,"ZIP 20012",20012,"01JAN2000","31DEC2000",5.6,63,".",".",1
2000,"ZIP 20015",20015,"01JAN2000","31DEC2000",2.2,62,".",".",1
2000,"ZIP 20016",20016,"01JAN2000","31DEC2000",19,59,".",".",1
2000,"ZIP 20017",20017,"01JAN2000","31DEC2000",11,51,".",".",1
2000,"ZIP 20018",20018,"01JAN2000","31DEC2000",12,46,".",".",1
2000,"ZIP 20019",20019,"01JAN2000","31DEC2000",15,44,".",".",1
2000,"ZIP 20020",20020,"01JAN2000","31DEC2000",18,46,".",".",1
2000,"ZIP 20024",20024,"01JAN2000","31DEC2000",9.2,59,".",".",1
2000,"ZIP 20032",20032,"01JAN2000","31DEC2000",22,43,".",".",1
2000,"ZIP 20036",20036,"01JAN2000","31DEC2000",2.4,84,".",".",1
2000,"ZIP 20037",20037,"01JAN2000","31DEC2000",10,61,".",".",1
2000,"ZIP 20052",20052,"01JAN2000","31DEC2000",60,31,".",".",1
2000,"ZIP 20057",20057,"01JAN2000","31DEC2000",3.9,52,".",".",1
2000,"ZIP 20059",20059,"01JAN2000","31DEC2000",16,39,".",".",1
2000,"ZIP 20064",20064,"01JAN2000","31DEC2000",24,48,".",".",1
2000,"ZIP 20332",20332,"01JAN2000","31DEC2000",5.9,77,".",".",1
2000,"ZIP 20336",20336,"01JAN2000","31DEC2000",5.9,77,".",".",1
1990,"ZIP 20001",20001,"01JAN1990","31DEC1990",12,51,".",".",1
1990,"ZIP 20002",20002,"01JAN1990","31DEC1990",9.0,60,".",".",1
1990,"ZIP 20003",20003,"01JAN1990","31DEC1990",6.1,60,".",".",1
1990,"ZIP 20004",20004,"01JAN1990","31DEC1990",16,41,".",".",1
1990,"ZIP 20005",20005,"01JAN1990","31DEC1990",8.0,67,".",".",1
1990,"ZIP 20006",20006,"01JAN1990","31DEC1990",5.8,52,".",".",1
1990,"ZIP 20007",20007,"01JAN1990","31DEC1990",2.3,71,".",".",1
1990,"ZIP 20008",20008,"01JAN1990","31DEC1990",2.1,73,".",".",1
1990,"ZIP 20009",20009,"01JAN1990","31DEC1990",5.5,71,".",".",1
1990,"ZIP 20010",20010,"01JAN1990","31DEC1990",7.5,63,".",".",1
1990,"ZIP 20011",20011,"01JAN1990","31DEC1990",7.0,61,".",".",1
1990,"ZIP 20012",20012,"01JAN1990","31DEC1990",5.1,68,".",".",1
1990,"ZIP 20015",20015,"01JAN1990","31DEC1990",2.7,66,".",".",1
1990,"ZIP 20016",20016,"01JAN1990","31DEC1990",2.6,66,".",".",1
1990,"ZIP 20017",20017,"01JAN1990","31DEC1990",6.7,61,".",".",1
1990,"ZIP 20018",20018,"01JAN1990","31DEC1990",9.7,52,".",".",1
1990,"ZIP 20019",20019,"01JAN1990","31DEC1990",9.6,55,".",".",1
1990,"ZIP 20020",20020,"01JAN1990","31DEC1990",10,58,".",".",1
1990,"ZIP 20024",20024,"01JAN1990","31DEC1990",8.3,69,".",".",1
1990,"ZIP 20032",20032,"01JAN1990","31DEC1990",13,54,".",".",1
1990,"ZIP 20036",20036,"01JAN1990","31DEC1990",1.9,84,".",".",1
1990,"ZIP 20037",20037,"01JAN1990","31DEC1990",3.6,67,".",".",1
1990,"ZIP 20052",20052,"01JAN1990","31DEC1990",5.8,52,".",".",1
1990,"ZIP 20057",20057,"01JAN1990","31DEC1990",2.3,56,".",".",1
1990,"ZIP 20059",20059,"01JAN1990","31DEC1990",7.5,38,".",".",1
1990,"ZIP 20064",20064,"01JAN1990","31DEC1990",9.6,32,".",".",1
1990,"ZIP 20332",20332,"01JAN1990","31DEC1990",5.8,84,".",".",1
1990,"ZIP 20336",20336,"01JAN1990","31DEC1990",5.8,84,".",".",1

