"timeframe","Geo2010","geo2010_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
"2012-16","DC Tract 58",11001005800,"01JAN2011","31DEC2015",8.8584,78.428,5.216,12.732,1
"2012-16","DC Tract 59",11001005900,"01JAN2011","31DEC2015",4.9204,73.422,3.844,6.350,1
"2012-16","DC Tract 62.02",11001006202,"01JAN2011","31DEC2015",0.0000,100.000,94.136,49.733,1
"2012-16","DC Tract 64",11001006400,"01JAN2011","31DEC2015",15.5897,43.261,9.798,5.990,1
"2012-16","DC Tract 65",11001006500,"01JAN2011","31DEC2015",5.1875,81.285,6.436,9.757,1
"2012-16","DC Tract 66",11001006600,"01JAN2011","31DEC2015",4.8193,71.777,5.691,9.021,1
"2012-16","DC Tract 67",11001006700,"01JAN2011","31DEC2015",1.8979,77.529,2.155,6.882,1
"2012-16","DC Tract 68.01",11001006801,"01JAN2011","31DEC2015",8.2023,69.250,5.110,8.292,1
"2012-16","DC Tract 68.02",11001006802,"01JAN2011","31DEC2015",8.0396,74.778,4.905,7.423,1
"2012-16","DC Tract 68.04",11001006804,"01JAN2011","31DEC2015",48.6111,1.338,53.765,3.482,1
"2012-16","DC Tract 69",11001006900,"01JAN2011","31DEC2015",0.3224,80.815,3.911,8.853,1
"2012-16","DC Tract 70",11001007000,"01JAN2011","31DEC2015",4.2099,82.580,4.622,7.466,1
"2012-16","DC Tract 71",11001007100,"01JAN2011","31DEC2015",15.6479,51.899,8.683,5.588,1
"2012-16","DC Tract 72",11001007200,"01JAN2011","31DEC2015",5.0519,81.710,2.954,6.427,1
"2012-16","DC Tract 73.01",11001007301,"01JAN2011","31DEC2015",2.3139,79.320,6.003,11.009,1
"2012-16","DC Tract 73.04",11001007304,"01JAN2011","31DEC2015",20.9392,37.911,9.281,6.201,1
"2012-16","DC Tract 74.01",11001007401,"01JAN2011","31DEC2015",23.7569,34.286,9.850,7.069,1
"2012-16","DC Tract 74.03",11001007403,"01JAN2011","31DEC2015",15.9749,48.052,7.961,10.286,1
"2012-16","DC Tract 74.04",11001007404,"01JAN2011","31DEC2015",20.0787,47.802,10.290,7.818,1
"2012-16","DC Tract 74.06",11001007406,"01JAN2011","31DEC2015",8.5990,49.529,7.861,8.380,1
"2012-16","DC Tract 74.07",11001007407,"01JAN2011","31DEC2015",11.2342,54.077,6.381,8.913,1
"2012-16","DC Tract 74.08",11001007408,"01JAN2011","31DEC2015",25.9542,29.573,10.308,6.205,1
"2012-16","DC Tract 74.09",11001007409,"01JAN2011","31DEC2015",15.3426,49.486,6.597,8.329,1
"2012-16","DC Tract 75.02",11001007502,"01JAN2011","31DEC2015",27.6330,34.347,8.531,6.216,1
"2012-16","DC Tract 75.03",11001007503,"01JAN2011","31DEC2015",17.6849,42.809,7.656,7.376,1
"2012-16","DC Tract 75.04",11001007504,"01JAN2011","31DEC2015",21.0771,42.142,9.413,8.241,1
"2012-16","DC Tract 76.01",11001007601,"01JAN2011","31DEC2015",16.4692,53.872,6.520,6.679,1
"2012-16","DC Tract 76.03",11001007603,"01JAN2011","31DEC2015",7.4343,52.004,7.604,8.793,1
"2012-16","DC Tract 76.04",11001007604,"01JAN2011","31DEC2015",16.0053,58.904,5.877,7.847,1
"2012-16","DC Tract 76.05",11001007605,"01JAN2011","31DEC2015",15.3771,53.278,5.963,6.803,1
"2012-16","DC Tract 77.03",11001007703,"01JAN2011","31DEC2015",27.0067,43.580,9.423,7.988,1
"2012-16","DC Tract 77.07",11001007707,"01JAN2011","31DEC2015",16.5304,43.395,6.468,6.583,1
"2012-16","DC Tract 77.08",11001007708,"01JAN2011","31DEC2015",31.7871,39.170,9.576,9.310,1
"2012-16","DC Tract 77.09",11001007709,"01JAN2011","31DEC2015",21.2693,46.317,7.546,7.366,1
"2012-16","DC Tract 78.03",11001007803,"01JAN2011","31DEC2015",16.9175,54.253,6.156,7.810,1
"2012-16","DC Tract 78.04",11001007804,"01JAN2011","31DEC2015",14.7039,47.711,7.486,7.725,1
"2012-16","DC Tract 78.06",11001007806,"01JAN2011","31DEC2015",18.6957,44.657,9.065,7.863,1
"2012-16","DC Tract 78.07",11001007807,"01JAN2011","31DEC2015",17.0916,47.769,7.224,7.541,1
"2012-16","DC Tract 78.08",11001007808,"01JAN2011","31DEC2015",26.6162,48.433,7.870,8.685,1
"2012-16","DC Tract 78.09",11001007809,"01JAN2011","31DEC2015",13.8745,60.225,6.135,8.890,1
"2012-16","DC Tract 79.01",11001007901,"01JAN2011","31DEC2015",17.3570,53.817,6.791,6.077,1
"2012-16","DC Tract 79.03",11001007903,"01JAN2011","31DEC2015",10.4607,59.280,7.055,6.402,1
"2012-16","DC Tract 80.01",11001008001,"01JAN2011","31DEC2015",6.2954,75.991,3.713,6.622,1
"2012-16","DC Tract 80.02",11001008002,"01JAN2011","31DEC2015",6.6609,74.470,3.944,7.113,1
"2012-16","DC Tract 81",11001008100,"01JAN2011","31DEC2015",1.3808,81.309,2.709,7.733,1
"2012-16","DC Tract 82",11001008200,"01JAN2011","31DEC2015",3.1941,74.038,3.215,5.992,1
"2012-16","DC Tract 83.01",11001008301,"01JAN2011","31DEC2015",3.8333,79.917,4.288,7.238,1
"2012-16","DC Tract 83.02",11001008302,"01JAN2011","31DEC2015",2.0757,76.574,3.676,6.435,1
"2012-16","DC Tract 84.02",11001008402,"01JAN2011","31DEC2015",6.3554,75.629,5.124,11.841,1
"2012-16","DC Tract 84.10",11001008410,"01JAN2011","31DEC2015",3.4862,81.595,5.832,9.196,1
"2012-16","DC Tract 87.01",11001008701,"01JAN2011","31DEC2015",3.4521,72.272,3.749,16.553,1
"2012-16","DC Tract 87.02",11001008702,"01JAN2011","31DEC2015",11.3071,62.170,5.522,5.987,1
"2012-16","DC Tract 88.02",11001008802,"01JAN2011","31DEC2015",12.9178,55.333,4.844,5.738,1
"2012-16","DC Tract 88.03",11001008803,"01JAN2011","31DEC2015",18.7755,39.701,8.858,7.433,1
"2012-16","DC Tract 88.04",11001008804,"01JAN2011","31DEC2015",19.6108,49.500,8.281,5.894,1
"2012-16","DC Tract 89.03",11001008903,"01JAN2011","31DEC2015",8.2331,55.492,6.446,9.281,1
"2012-16","DC Tract 89.04",11001008904,"01JAN2011","31DEC2015",14.6997,58.723,6.068,7.923,1
"2012-16","DC Tract 90",11001009000,"01JAN2011","31DEC2015",9.9254,45.824,7.166,7.182,1
"2012-16","DC Tract 91.02",11001009102,"01JAN2011","31DEC2015",14.3879,50.964,6.248,6.141,1
"2012-16","DC Tract 92.01",11001009201,"01JAN2011","31DEC2015",9.8458,64.407,5.643,16.654,1
"2012-16","DC Tract 92.03",11001009203,"01JAN2011","31DEC2015",8.4124,67.695,6.394,7.538,1
"2012-16","DC Tract 92.04",11001009204,"01JAN2011","31DEC2015",24.4177,43.066,9.455,8.610,1
"2012-16","DC Tract 93.01",11001009301,"01JAN2011","31DEC2015",15.7421,58.190,8.392,6.915,1
"2012-16","DC Tract 93.02",11001009302,"01JAN2011","31DEC2015",9.8187,63.397,9.667,12.344,1
"2012-16","DC Tract 94",11001009400,"01JAN2011","31DEC2015",14.9496,54.749,6.425,5.069,1
"2012-16","DC Tract 95.01",11001009501,"01JAN2011","31DEC2015",9.3333,52.115,3.809,5.173,1
"2012-16","DC Tract 95.03",11001009503,"01JAN2011","31DEC2015",6.0553,56.149,5.154,8.165,1
"2012-16","DC Tract 95.04",11001009504,"01JAN2011","31DEC2015",11.0622,54.338,6.081,8.406,1
"2012-16","DC Tract 95.05",11001009505,"01JAN2011","31DEC2015",13.9754,57.088,7.247,8.388,1
"2012-16","DC Tract 95.07",11001009507,"01JAN2011","31DEC2015",18.9462,51.059,8.453,9.615,1
"2012-16","DC Tract 95.08",11001009508,"01JAN2011","31DEC2015",12.7700,57.518,5.919,7.869,1
"2012-16","DC Tract 95.09",11001009509,"01JAN2011","31DEC2015",16.5703,50.154,7.347,8.540,1
"2012-16","DC Tract 96.01",11001009601,"01JAN2011","31DEC2015",30.3181,37.871,9.321,7.591,1
"2012-16","DC Tract 96.02",11001009602,"01JAN2011","31DEC2015",21.8709,45.615,9.050,8.907,1
"2012-16","DC Tract 96.03",11001009603,"01JAN2011","31DEC2015",19.4444,45.218,7.935,7.827,1
"2012-16","DC Tract 96.04",11001009604,"01JAN2011","31DEC2015",8.2954,55.033,6.211,8.894,1
"2012-16","DC Tract 97",11001009700,"01JAN2011","31DEC2015",29.2531,42.361,11.379,7.294,1
"2012-16","DC Tract 98.01",11001009801,"01JAN2011","31DEC2015",27.1462,41.811,9.195,8.231,1
"2012-16","DC Tract 98.02",11001009802,"01JAN2011","31DEC2015",33.2896,41.997,10.561,8.663,1
"2012-16","DC Tract 98.03",11001009803,"01JAN2011","31DEC2015",31.9132,40.585,8.684,8.584,1
"2012-16","DC Tract 98.04",11001009804,"01JAN2011","31DEC2015",26.0528,48.321,7.407,5.893,1
"2012-16","DC Tract 98.07",11001009807,"01JAN2011","31DEC2015",20.8219,49.150,8.348,7.649,1
"2012-16","DC Tract 98.10",11001009810,"01JAN2011","31DEC2015",30.5556,51.972,11.517,10.165,1
"2012-16","DC Tract 98.11",11001009811,"01JAN2011","31DEC2015",30.1928,41.366,8.257,6.793,1
"2012-16","DC Tract 99.01",11001009901,"01JAN2011","31DEC2015",10.9128,55.352,6.502,8.243,1
"2012-16","DC Tract 99.02",11001009902,"01JAN2011","31DEC2015",14.0721,51.761,7.376,8.901,1
"2012-16","DC Tract 99.03",11001009903,"01JAN2011","31DEC2015",6.8421,60.950,7.493,9.445,1
"2012-16","DC Tract 99.04",11001009904,"01JAN2011","31DEC2015",14.8731,53.491,7.065,7.144,1
"2012-16","DC Tract 99.05",11001009905,"01JAN2011","31DEC2015",27.5817,48.661,8.285,6.499,1
"2012-16","DC Tract 99.06",11001009906,"01JAN2011","31DEC2015",15.2833,52.276,9.369,9.158,1
"2012-16","DC Tract 99.07",11001009907,"01JAN2011","31DEC2015",23.6290,43.341,9.859,8.922,1
"2012-16","DC Tract 101",11001010100,"01JAN2011","31DEC2015",5.2950,74.672,3.662,8.365,1
"2012-16","DC Tract 102",11001010200,"01JAN2011","31DEC2015",5.8028,73.485,4.563,7.998,1
"2012-16","DC Tract 103",11001010300,"01JAN2011","31DEC2015",13.2022,57.333,7.025,6.850,1
"2012-16","DC Tract 104",11001010400,"01JAN2011","31DEC2015",24.0898,40.695,8.138,6.338,1
"2012-16","DC Tract 105",11001010500,"01JAN2011","31DEC2015",8.6939,71.358,4.273,10.122,1
"2012-16","DC Tract 106",11001010600,"01JAN2011","31DEC2015",4.3513,79.423,2.292,4.322,1
"2012-16","DC Tract 107",11001010700,"01JAN2011","31DEC2015",3.4509,73.583,4.797,9.165,1
"2012-16","DC Tract 108",11001010800,"01JAN2011","31DEC2015",8.9670,39.669,4.339,3.795,1
"2012-16","DC Tract 109",11001010900,"01JAN2011","31DEC2015",26.0509,40.058,8.952,13.524,1
"2012-16","DC Tract 110",11001011000,"01JAN2011","31DEC2015",2.8196,73.815,3.175,8.238,1
"2012-16","DC Tract 111",11001011100,"01JAN2011","31DEC2015",16.3112,47.363,5.428,4.823,1
"2012-16","MD Tract 009 8601.01",24009860101,"01JAN2011","31DEC2015",6.0449,66.310,4.036,6.892,0
"2012-16","MD Tract 009 8601.02",24009860102,"01JAN2011","31DEC2015",5.8972,55.572,6.008,7.597,0
"2012-16","MD Tract 009 8602",24009860200,"01JAN2011","31DEC2015",3.5486,62.472,2.997,4.675,0
"2012-16","MD Tract 009 8603",24009860300,"01JAN2011","31DEC2015",2.5420,67.714,2.712,5.635,0
"2012-16","MD Tract 009 8604.01",24009860401,"01JAN2011","31DEC2015",8.9916,68.887,3.048,4.246,0
"2012-16","MD Tract 009 8604.02",24009860402,"01JAN2011","31DEC2015",10.2256,68.804,4.745,7.284,0
"2012-16","MD Tract 009 8605.01",24009860501,"01JAN2011","31DEC2015",5.3330,70.783,2.829,5.348,0
"2012-16","MD Tract 009 8605.02",24009860502,"01JAN2011","31DEC2015",7.0843,64.215,5.281,6.712,0
"2012-16","MD Tract 009 8606",24009860600,"01JAN2011","31DEC2015",9.2961,62.466,4.568,5.223,0
"2012-16","MD Tract 009 8607.01",24009860701,"01JAN2011","31DEC2015",1.7049,56.922,4.157,7.148,0
"2012-16","MD Tract 009 8607.02",24009860702,"01JAN2011","31DEC2015",16.1877,52.967,6.602,5.834,0
"2012-16","MD Tract 009 8607.03",24009860703,"01JAN2011","31DEC2015",7.9457,68.240,4.867,7.528,0
"2012-16","MD Tract 009 8608.01",24009860801,"01JAN2011","31DEC2015",9.7963,60.546,4.576,5.621,0
"2012-16","MD Tract 009 8608.02",24009860802,"01JAN2011","31DEC2015",5.2518,68.183,3.164,4.545,0
"2012-16","MD Tract 009 8609",24009860900,"01JAN2011","31DEC2015",9.3635,53.629,4.858,5.538,0
"2012-16","MD Tract 009 8610.01",24009861001,"01JAN2011","31DEC2015",3.1716,59.179,10.784,10.053,0
"2012-16","MD Tract 009 8610.03",24009861003,"01JAN2011","31DEC2015",14.3958,66.172,6.903,5.513,0
"2012-16","MD Tract 009 8610.04",24009861004,"01JAN2011","31DEC2015",5.7687,71.437,3.365,6.808,0
"2012-16","MD Tract 009 9901",24009990100,"01JAN2011","31DEC2015","I","I",".",".",0
"2012-16","MD Tract 017 8501.01",24017850101,"01JAN2011","31DEC2015",3.4080,64.889,2.886,5.221,0
"2012-16","MD Tract 017 8501.02",24017850102,"01JAN2011","31DEC2015",7.0880,55.657,5.725,6.684,0
"2012-16","MD Tract 017 8502.01",24017850201,"01JAN2011","31DEC2015",1.8797,80.250,22.698,37.557,0
"2012-16","MD Tract 017 8502.02",24017850202,"01JAN2011","31DEC2015",5.3400,64.588,3.634,6.806,0
"2012-16","MD Tract 017 8503",24017850300,"01JAN2011","31DEC2015",11.4611,58.961,6.491,7.538,0
"2012-16","MD Tract 017 8504",24017850400,"01JAN2011","31DEC2015",10.3795,51.623,4.794,5.003,0
"2012-16","MD Tract 017 8505",24017850500,"01JAN2011","31DEC2015",9.1289,55.942,6.258,6.776,0
"2012-16","MD Tract 017 8506",24017850600,"01JAN2011","31DEC2015",4.6030,62.599,2.802,4.127,0
"2012-16","MD Tract 017 8507.06",24017850706,"01JAN2011","31DEC2015",2.5065,68.621,3.318,6.080,0
"2012-16","MD Tract 017 8507.08",24017850708,"01JAN2011","31DEC2015",4.2115,67.962,3.180,5.450,0
"2012-16","MD Tract 017 8507.09",24017850709,"01JAN2011","31DEC2015",6.1647,73.722,3.976,6.684,0
"2012-16","MD Tract 017 8507.10",24017850710,"01JAN2011","31DEC2015",5.7493,67.630,3.378,5.195,0
"2012-16","MD Tract 017 8507.11",24017850711,"01JAN2011","31DEC2015",7.0609,68.165,4.696,5.594,0
"2012-16","MD Tract 017 8507.12",24017850712,"01JAN2011","31DEC2015",4.0734,74.608,2.542,4.455,0
"2012-16","MD Tract 017 8507.13",24017850713,"01JAN2011","31DEC2015",5.0024,71.229,2.853,5.893,0
"2012-16","MD Tract 017 8508.01",24017850801,"01JAN2011","31DEC2015",3.9781,67.342,2.700,6.145,0
"2012-16","MD Tract 017 8508.02",24017850802,"01JAN2011","31DEC2015",2.0764,68.312,3.108,6.664,0
"2012-16","MD Tract 017 8509.01",24017850901,"01JAN2011","31DEC2015",7.0756,60.382,4.521,6.747,0
"2012-16","MD Tract 017 8509.02",24017850902,"01JAN2011","31DEC2015",5.8217,58.155,3.439,4.815,0
"2012-16","MD Tract 017 8509.04",24017850904,"01JAN2011","31DEC2015",4.4571,72.272,2.254,5.182,0
"2012-16","MD Tract 017 8509.05",24017850905,"01JAN2011","31DEC2015",4.5007,75.406,2.711,7.814,0
"2012-16","MD Tract 017 8509.06",24017850906,"01JAN2011","31DEC2015",9.0381,65.140,5.352,8.321,0
"2012-16","MD Tract 017 8510.01",24017851001,"01JAN2011","31DEC2015",3.9364,42.473,4.958,5.409,0
"2012-16","MD Tract 017 8510.02",24017851002,"01JAN2011","31DEC2015",4.2804,62.641,2.563,4.901,0
"2012-16","MD Tract 017 8511",24017851100,"01JAN2011","31DEC2015",1.4305,65.210,4.338,7.742,0
"2012-16","MD Tract 017 8512",24017851200,"01JAN2011","31DEC2015",4.8198,61.023,3.728,4.509,0
"2012-16","MD Tract 017 8513.01",24017851301,"01JAN2011","31DEC2015",4.0164,65.678,3.125,5.874,0
"2012-16","MD Tract 017 8513.02",24017851302,"01JAN2011","31DEC2015",2.3095,54.857,3.068,5.181,0
"2012-16","MD Tract 017 8514",24017851400,"01JAN2011","31DEC2015",3.8469,66.020,3.065,5.483,0
"2012-16","MD Tract 017 8515",24017851500,"01JAN2011","31DEC2015",4.7101,72.117,2.971,5.785,0
"2012-16","MD Tract 017 9900",24017990000,"01JAN2011","31DEC2015","I","I",".",".",0
"2012-16","MD Tract 021 7402",24021740200,"01JAN2011","31DEC2015",2.1141,66.900,2.519,5.376,0
"2012-16","MD Tract 021 7501",24021750100,"01JAN2011","31DEC2015",4.0157,79.545,5.711,9.604,0
"2012-16","MD Tract 021 7502",24021750200,"01JAN2011","31DEC2015",5.7778,76.858,5.116,9.014,0
"2012-16","MD Tract 021 7503",24021750300,"01JAN2011","31DEC2015",6.0280,65.887,7.482,11.085,0
"2012-16","MD Tract 021 7505.03",24021750503,"01JAN2011","31DEC2015",6.2179,76.376,4.061,7.739,0
"2012-16","MD Tract 021 7505.04",24021750504,"01JAN2011","31DEC2015",5.0729,68.923,3.619,9.078,0
"2012-16","MD Tract 021 7505.05",24021750505,"01JAN2011","31DEC2015",7.6525,71.056,4.427,6.315,0
"2012-16","MD Tract 021 7505.06",24021750506,"01JAN2011","31DEC2015",9.4545,68.933,4.150,6.351,0
"2012-16","MD Tract 021 7506",24021750600,"01JAN2011","31DEC2015",5.1852,60.300,4.074,6.329,0
"2012-16","MD Tract 021 7507.01",24021750701,"01JAN2011","31DEC2015",3.7002,74.466,2.993,5.830,0
"2012-16","MD Tract 021 7507.02",24021750702,"01JAN2011","31DEC2015",7.9365,65.207,3.993,7.343,0
"2012-16","MD Tract 021 7508.01",24021750801,"01JAN2011","31DEC2015",5.3307,67.750,4.079,8.299,0
"2012-16","MD Tract 021 7508.02",24021750802,"01JAN2011","31DEC2015",3.6356,61.824,2.863,5.954,0
"2012-16","MD Tract 021 7508.03",24021750803,"01JAN2011","31DEC2015",4.9035,72.024,3.008,6.741,0
