"timeframe","ward2012","NumOccupiedHsgUnits","NumOccupiedHsgUnits_m","ward2012_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m","NumMrtgOrigHomePurchPerUnit","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","permits","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","MedianMrtgInc1_4m_adj","indc"
2003,"Ward 2","X",".",2,"01JAN2003","31DEC2003","X","X","X","X","X",725000,307,114971.70,55,2.4,39,0.1,1.0,".",".",".",".",".",1
2004,"Ward 2","X",".",2,"01JAN2004","31DEC2004","X","X","X","X","X",839000,264,116218.88,68,1.9,34,0.2,4.0,".",".",".",".",".",1
2005,"Ward 2","X",".",2,"01JAN2005","31DEC2005","X","X","X","X","X",1000000,236,124454.66,83,2.1,40,0.2,3.0,".",".",".",".",".",1
2006,"Ward 2","X",".",2,"01JAN2006","31DEC2006","X","X","X","X","X",1050000,190,139704.83,62,2.7,54,0.4,9.0,".",".",".",".",".",1
2007,"Ward 2","X",".",2,"01JAN2007","31DEC2007","X","X","X","X","X",1100000,167,137793.57,52,5.1,105,1.3,27,".",".",".",".",".",1
2008,"Ward 2","X",".",2,"01JAN2008","31DEC2008","X","X","X","X","X",1185000,151,147158.77,28,6.1,130,2.1,44,".",".",".",".",".",1
2009,"Ward 2","X",".",2,"01JAN2009","31DEC2009","X","X","X","X","X",1067500,132,146273.08,93,11,226,2.9,62,6516,".",".",".",".",1
2010,"Ward 2","X",".",2,"01JAN2010","31DEC2010","X","X","X","X","X",1075000,173,157188.35,77,8.1,178,2.3,50,7412,".",".",".",".",1
2011,"Ward 2","X",".",2,"01JAN2011","31DEC2011","X","X","X","X","X",1079000,175,154127.48,68,0.6,13,0.4,9.0,8798,".",".",".",".",1
2012,"Ward 2","X",".",2,"01JAN2012","31DEC2012","X","X","X","X","X",1150000,197,159463.49,81,0.1,3.0,0.1,3.0,9333,".",".",".",".",1
2013,"Ward 2","X",".",2,"01JAN2013","31DEC2013","X","X","X","X","X",1275000,211,149443.80,92,0.2,4.0,0.1,2.0,9275,".",".",".",".",1
2014,"Ward 2","X",".",2,"01JAN2014","31DEC2014","X","X","X","X","X",1250000,158,164756.38,85,".",".",".",".",9542,".",".",".",".",1
2015,"Ward 2","X",".",2,"01JAN2015","31DEC2015","X","X","X","X","X",1412500,182,173017.06,79,".",".",".",".",10241,".",".",".",".",1
2016,"Ward 2","X",".",2,"01JAN2016","31DEC2016","X","X","X","X","X",1345000,210,181952.45,80,".",".",".",".",9995,".",".",".",".",1
2017,"Ward 2","X",".",2,"01JAN2017","31DEC2017","X","X","X","X","X",1452000,208,173701.04,97,".",".",".",".",10014,".",".",".",".",1
2018,"Ward 2","X",".",2,"01JAN2018","31DEC2018","X","X","X","X","X",1452500,192,182785.19,42,".",".",".",".",9921,".",".",".",".",1
2019,"Ward 2","X",".",2,"01JAN2019","31DEC2019","X","X","X","X","X",1450000,155,".",".",".",".",".",".",".",".",".",".",".",1
1995,"Ward 3","X",".",3,"01JAN1995","31DEC1995","X","X","X","X","X",315500,530,".",".",2.9,65,0.5,11,".",".",".",".",".",1
1996,"Ward 3","X",".",3,"01JAN1996","31DEC1996","X","X","X","X","X",312250,540,".",".",1.9,43,0.4,8.0,".",".",".",".",".",1
1997,"Ward 3","X",".",3,"01JAN1997","31DEC1997","X","X","X","X","X",330000,682,103710.89,35,2.5,55,0.2,5.0,".",".",".",".",".",1
1998,"Ward 3","X",".",3,"01JAN1998","31DEC1998","X","X","X","X","X",343000,909,106065.10,50,2.5,55,0.3,7.0,".",".",".",".",".",1
1999,"Ward 3","X",".",3,"01JAN1999","31DEC1999","X","X","X","X","X",399900,825,110476.16,51,1.7,38,0.4,8.0,".",".",".",".",".",1
2000,"Ward 3","X",".",3,"01JAN2000","31DEC2000","X","X","X","X","X",455000,613,123577.49,47,1.2,26,0.3,6.0,".",".",".",".",".",1
2001,"Ward 3","X",".",3,"01JAN2001","31DEC2001","X","X","X","X","X",534000,585,133670.57,48,1.3,28,0.1,3.0,".",".",".",".",".",1
2002,"Ward 3","X",".",3,"01JAN2002","31DEC2002","X","X","X","X","X",623000,621,136493.42,44,1.3,30,0.0,1.0,".",".",".",".",".",1
2003,"Ward 3","X",".",3,"01JAN2003","31DEC2003","X","X","X","X","X",685250,692,128485.03,50,1.7,38,0.1,2.0,".",".",".",".",".",1
2004,"Ward 3","X",".",3,"01JAN2004","31DEC2004","X","X","X","X","X",785000,612,147824.46,48,1.4,32,0.2,4.0,".",".",".",".",".",1
2005,"Ward 3","X",".",3,"01JAN2005","31DEC2005","X","X","X","X","X",854750,564,148781.89,51,1.4,32,0.3,6.0,".",".",".",".",".",1
2006,"Ward 3","X",".",3,"01JAN2006","31DEC2006","X","X","X","X","X",871500,481,169398.39,43,1.2,29,0.3,6.0,".",".",".",".",".",1
2007,"Ward 3","X",".",3,"01JAN2007","31DEC2007","X","X","X","X","X",899000,518,183580.21,38,2.3,54,0.5,11,".",".",".",".",".",1
2008,"Ward 3","X",".",3,"01JAN2008","31DEC2008","X","X","X","X","X",875000,434,172323.29,24,3.3,78,0.9,22,".",".",".",".",".",1
2009,"Ward 3","X",".",3,"01JAN2009","31DEC2009","X","X","X","X","X",880000,445,170976.29,83,21,507,1.1,27,3638,".",".",".",".",1
2010,"Ward 3","X",".",3,"01JAN2010","31DEC2010","X","X","X","X","X",880000,457,190675.74,66,4.9,117,1.0,24,4189,".",".",".",".",1
2011,"Ward 3","X",".",3,"01JAN2011","31DEC2011","X","X","X","X","X",895000,494,187788.78,72,0.1,3.0,0.4,9.0,4639,".",".",".",".",1
