"timeframe","Zip","NumOccupiedHsgUnits","zip_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m_adj","NumMrtgOrigHomePurchPerUnit","PctSubprimeConvOrigHomePur","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","indc"
2000,"ZIP 20052",350,20052,"01JAN2000","31DEC2000",4.5,3.2,8.6,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20057",30,20057,"01JAN2000","31DEC2000",1.6,0.0,67,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20059",138,20059,"01JAN2000","31DEC2000",30,7.1,33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20064",1288,20064,"01JAN2000","31DEC2000",30,5.5,22,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20332",176,20332,"01JAN2000","31DEC2000",13,4.6,3.2,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20336",1185,20336,"01JAN2000","31DEC2000",13,4.6,3.2,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20001",11778,20001,"01JAN1990","31DEC1990",55,7.4,28,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20002",22843,20002,"01JAN1990","31DEC1990",57,6.3,40,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20003",9596,20003,"01JAN1990","31DEC1990",45,9.6,44,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20004",158,20004,"01JAN1990","31DEC1990",49,4.9,8.9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20005",5267,20005,"01JAN1990","31DEC1990",35,10,14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20006",631,20006,"01JAN1990","31DEC1990",14,9.3,8.8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20007",12434,20007,"01JAN1990","31DEC1990",38,5.1,45,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20008",15466,20008,"01JAN1990","31DEC1990",46,5.2,37,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20009",23746,20009,"01JAN1990","31DEC1990",41,7.1,24,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20010",10648,20010,"01JAN1990","31DEC1990",52,11,33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20011",23394,20011,"01JAN1990","31DEC1990",65,4.7,55,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20012",5277,20012,"01JAN1990","31DEC1990",65,3.8,64,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20015",6189,20015,"01JAN1990","31DEC1990",59,5.9,69,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20016",13324,20016,"01JAN1990","31DEC1990",45,4.6,58,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20017",6403,20017,"01JAN1990","31DEC1990",69,8.4,64,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20018",7069,20018,"01JAN1990","31DEC1990",68,5.7,58,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20019",23128,20019,"01JAN1990","31DEC1990",65,6.5,36,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20020",19982,20020,"01JAN1990","31DEC1990",59,12,30,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20024",6293,20024,"01JAN1990","31DEC1990",52,14,37,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20032",13554,20032,"01JAN1990","31DEC1990",56,12,20,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20036",2456,20036,"01JAN1990","31DEC1990",33,11,33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20037",6278,20037,"01JAN1990","31DEC1990",37,10.0,32,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20052",419,20052,"01JAN1990","31DEC1990",14,9.3,8.8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20057",15,20057,"01JAN1990","31DEC1990",13,"i",100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20059",154,20059,"01JAN1990","31DEC1990",44,8.8,33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20064",1285,20064,"01JAN1990","31DEC1990",46,5.2,21,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20332",239,20332,"01JAN1990","31DEC1990",12,6.2,0.9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1990,"ZIP 20336",1607,20336,"01JAN1990","31DEC1990",12,6.2,0.9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
1995,"ZIP 20001",".",20001,"01JAN1995","31DEC1995",".",".",".",".",".",80250,188,68000,32,0.1,21,91,5.6,25,".",".",".",1
1996,"ZIP 20001",".",20001,"01JAN1996","31DEC1996",".",".",".",".",".",83500,199,68847,46,0.2,32,143,13,56,".",".",".",1
1997,"ZIP 20001",".",20001,"01JAN1997","31DEC1997",".",".",".",".",".",88500,254,67392,56,0.1,34,150,14,63,".",".",".",1
1998,"ZIP 20001",".",20001,"01JAN1998","31DEC1998",".",".",".",".",".",100000,386,85955,72,0.1,39,171,21,92,".",".",".",1
1999,"ZIP 20001",".",20001,"01JAN1999","31DEC1999",".",".",".",".",".",105000,410,80653,79,0.0,43,191,22,97,".",".",".",1
