"timeframe","Geo2010","NumOccupiedHsgUnits","geo2010_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m_adj","NumMrtgOrigHomePurchPerUnit","PctSubprimeConvOrigHomePur","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","indc"
"2012-16","DC Tract 70",1137.00,11001007000,"01JAN2011","31DEC2015",".",4.4515,47.142,6.787,6.997,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 71",1356.00,11001007100,"01JAN2011","31DEC2015",".",2.6756,35.619,4.448,5.601,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 72",2482.00,11001007200,"01JAN2011","31DEC2015",".",3.0512,20.629,2.454,3.512,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 73.01",1211.00,11001007301,"01JAN2011","31DEC2015",".",4.7207,0.000,4.386,0.991,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 73.04",1203.00,11001007304,"01JAN2011","31DEC2015",".",7.0291,17.539,5.099,5.074,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 74.01",908.00,11001007401,"01JAN2011","31DEC2015",".",6.2983,6.608,3.498,2.939,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 74.03",1090.00,11001007403,"01JAN2011","31DEC2015",".",3.9179,5.505,3.717,2.909,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 74.04",1186.00,11001007404,"01JAN2011","31DEC2015",".",9.7179,27.150,6.320,11.490,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 74.06",900.00,11001007406,"01JAN2011","31DEC2015",".",9.3122,4.778,6.252,3.292,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 74.07",1294.00,11001007407,"01JAN2011","31DEC2015",".",3.9390,41.577,4.545,5.891,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 74.08",1102.00,11001007408,"01JAN2011","31DEC2015",".",4.7576,3.721,3.927,2.521,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 74.09",1545.00,11001007409,"01JAN2011","31DEC2015",".",1.9374,14.822,2.454,5.655,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 75.02",1808.00,11001007502,"01JAN2011","31DEC2015",".",6.1991,17.146,3.706,6.288,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 75.03",949.00,11001007503,"01JAN2011","31DEC2015",".",3.3283,32.666,3.006,6.864,".",".",".",".",".",".",".",".",".",".",".",".",1
