"start_date","end_date","Geo2010","timeframe","GEO2010_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","ucounty","indc"
"01JAN2016","31DEC2016","MD Tract 033 8005.18",2016,24033800518,".",".","Prince George's",0
"01JAN2000","31DEC2000","MD Tract 033 8005.19",2000,24033800519,".",".","Prince George's",0
"01JAN2001","31DEC2001","MD Tract 033 8005.19",2001,24033800519,".",".","Prince George's",0
"01JAN2002","31DEC2002","MD Tract 033 8005.19",2002,24033800519,".",".","Prince George's",0
"01JAN2003","31DEC2003","MD Tract 033 8005.19",2003,24033800519,".",".","Prince George's",0
"01JAN2004","31DEC2004","MD Tract 033 8005.19",2004,24033800519,".",".","Prince George's",0
"01JAN2005","31DEC2005","MD Tract 033 8005.19",2005,24033800519,".",".","Prince George's",0
"01JAN2006","31DEC2006","MD Tract 033 8005.19",2006,24033800519,".",".","Prince George's",0
"01JAN2007","31DEC2007","MD Tract 033 8005.19",2007,24033800519,".",".","Prince George's",0
"01JAN2008","31DEC2008","MD Tract 033 8005.19",2008,24033800519,".",".","Prince George's",0
"01JAN2009","31DEC2009","MD Tract 033 8005.19",2009,24033800519,".",".","Prince George's",0
"01JAN2010","31DEC2010","MD Tract 033 8005.19",2010,24033800519,".",".","Prince George's",0
"01JAN2011","31DEC2011","MD Tract 033 8005.19",2011,24033800519,".",".","Prince George's",0
"01JAN2012","31DEC2012","MD Tract 033 8005.19",2012,24033800519,".",".","Prince George's",0
"01JAN2013","31DEC2013","MD Tract 033 8005.19",2013,24033800519,".",".","Prince George's",0
"01JAN2014","31DEC2014","MD Tract 033 8005.19",2014,24033800519,".",".","Prince George's",0
"01JAN2015","31DEC2015","MD Tract 033 8005.19",2015,24033800519,".",".","Prince George's",0
"01JAN2016","31DEC2016","MD Tract 033 8005.19",2016,24033800519,".",".","Prince George's",0
"01JAN2000","31DEC2000","MD Tract 033 8005.20",2000,24033800520,".",".","Prince George's",0
"01JAN2001","31DEC2001","MD Tract 033 8005.20",2001,24033800520,".",".","Prince George's",0
"01JAN2002","31DEC2002","MD Tract 033 8005.20",2002,24033800520,".",".","Prince George's",0
"01JAN2003","31DEC2003","MD Tract 033 8005.20",2003,24033800520,".",".","Prince George's",0
"01JAN2004","31DEC2004","MD Tract 033 8005.20",2004,24033800520,".",".","Prince George's",0
"01JAN2005","31DEC2005","MD Tract 033 8005.20",2005,24033800520,".",".","Prince George's",0
"01JAN2006","31DEC2006","MD Tract 033 8005.20",2006,24033800520,".",".","Prince George's",0
"01JAN2007","31DEC2007","MD Tract 033 8005.20",2007,24033800520,".",".","Prince George's",0
"01JAN2008","31DEC2008","MD Tract 033 8005.20",2008,24033800520,".",".","Prince George's",0
"01JAN2009","31DEC2009","MD Tract 033 8005.20",2009,24033800520,".",".","Prince George's",0
"01JAN2010","31DEC2010","MD Tract 033 8005.20",2010,24033800520,".",".","Prince George's",0
"01JAN2011","31DEC2011","MD Tract 033 8005.20",2011,24033800520,".",".","Prince George's",0
"01JAN2012","31DEC2012","MD Tract 033 8005.20",2012,24033800520,".",".","Prince George's",0
"01JAN2013","31DEC2013","MD Tract 033 8005.20",2013,24033800520,".",".","Prince George's",0
"01JAN2014","31DEC2014","MD Tract 033 8005.20",2014,24033800520,".",".","Prince George's",0
"01JAN2015","31DEC2015","MD Tract 033 8005.20",2015,24033800520,".",".","Prince George's",0
"01JAN2016","31DEC2016","MD Tract 033 8005.20",2016,24033800520,".",".","Prince George's",0
"01JAN2000","31DEC2000","MD Tract 033 8006.01",2000,24033800601,".",".","Prince George's",0
