"start_date","end_date","Zip","timeframe","ZIP_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2000","31DEC2000","ZIP 20006",2000,20006,314,23,1
"01JAN2001","31DEC2001","ZIP 20006",2001,20006,214,13,1
"01JAN2002","31DEC2002","ZIP 20006",2002,20006,196,11,1
"01JAN2003","31DEC2003","ZIP 20006",2003,20006,156,9.5,1
"01JAN2004","31DEC2004","ZIP 20006",2004,20006,101,13,1
"01JAN2005","31DEC2005","ZIP 20006",2005,20006,108,5.3,1
"01JAN2006","31DEC2006","ZIP 20006",2006,20006,78,14,1
"01JAN2007","31DEC2007","ZIP 20006",2007,20006,76,7.8,1
"01JAN2008","31DEC2008","ZIP 20006",2008,20006,77,11,1
"01JAN2009","31DEC2009","ZIP 20006",2009,20006,87,8.4,1
"01JAN2010","31DEC2010","ZIP 20006",2010,20006,85,8.5,1
"01JAN2011","31DEC2011","ZIP 20006",2011,20006,87,14,1
"01JAN2012","31DEC2012","ZIP 20006",2012,20006,65,5.2,1
"01JAN2013","31DEC2013","ZIP 20006",2013,20006,69,5.2,1
"01JAN2014","31DEC2014","ZIP 20006",2014,20006,89,3.7,1
"01JAN2015","31DEC2015","ZIP 20006",2015,20006,81,6.7,1
"01JAN2016","31DEC2016","ZIP 20006",2016,20006,75,4.1,1
"01JAN2000","31DEC2000","ZIP 20007",2000,20007,47,5.6,1
"01JAN2001","31DEC2001","ZIP 20007",2001,20007,46,5.4,1
"01JAN2002","31DEC2002","ZIP 20007",2002,20007,38,5.3,1
"01JAN2003","31DEC2003","ZIP 20007",2003,20007,40,4.7,1
"01JAN2004","31DEC2004","ZIP 20007",2004,20007,37,4.3,1
"01JAN2005","31DEC2005","ZIP 20007",2005,20007,39,3.8,1
"01JAN2006","31DEC2006","ZIP 20007",2006,20007,36,3.9,1
"01JAN2007","31DEC2007","ZIP 20007",2007,20007,38,4.9,1
"01JAN2008","31DEC2008","ZIP 20007",2008,20007,41,3.3,1
"01JAN2009","31DEC2009","ZIP 20007",2009,20007,40,3.3,1
"01JAN2010","31DEC2010","ZIP 20007",2010,20007,38,4.1,1
"01JAN2011","31DEC2011","ZIP 20007",2011,20007,37,3.4,1
"01JAN2012","31DEC2012","ZIP 20007",2012,20007,39,2.3,1
"01JAN2013","31DEC2013","ZIP 20007",2013,20007,39,2.1,1
"01JAN2014","31DEC2014","ZIP 20007",2014,20007,44,2.2,1
"01JAN2015","31DEC2015","ZIP 20007",2015,20007,44,1.8,1
"01JAN2016","31DEC2016","ZIP 20007",2016,20007,41,2.3,1
"01JAN2000","31DEC2000","ZIP 20008",2000,20008,38,3.3,1
"01JAN2001","31DEC2001","ZIP 20008",2001,20008,31,4.4,1
"01JAN2002","31DEC2002","ZIP 20008",2002,20008,30,4.2,1
"01JAN2003","31DEC2003","ZIP 20008",2003,20008,35,3.0,1
"01JAN2004","31DEC2004","ZIP 20008",2004,20008,28,2.8,1
"01JAN2005","31DEC2005","ZIP 20008",2005,20008,23,2.6,1
"01JAN2006","31DEC2006","ZIP 20008",2006,20008,22,2.2,1
"01JAN2007","31DEC2007","ZIP 20008",2007,20008,23,2.2,1
"01JAN2008","31DEC2008","ZIP 20008",2008,20008,25,2.1,1
"01JAN2009","31DEC2009","ZIP 20008",2009,20008,26,2.4,1
"01JAN2010","31DEC2010","ZIP 20008",2010,20008,21,2.2,1
"01JAN2011","31DEC2011","ZIP 20008",2011,20008,23,1.8,1
"01JAN2012","31DEC2012","ZIP 20008",2012,20008,23,2.3,1
"01JAN2013","31DEC2013","ZIP 20008",2013,20008,21,1.6,1
"01JAN2014","31DEC2014","ZIP 20008",2014,20008,23,1.7,1
"01JAN2015","31DEC2015","ZIP 20008",2015,20008,25,1.5,1
"01JAN2016","31DEC2016","ZIP 20008",2016,20008,22,1.4,1
"01JAN2000","31DEC2000","ZIP 20009",2000,20009,55,13,1
"01JAN2001","31DEC2001","ZIP 20009",2001,20009,57,15,1
"01JAN2002","31DEC2002","ZIP 20009",2002,20009,60,16,1
"01JAN2003","31DEC2003","ZIP 20009",2003,20009,59,16,1
"01JAN2004","31DEC2004","ZIP 20009",2004,20009,48,14,1
"01JAN2005","31DEC2005","ZIP 20009",2005,20009,46,14,1
"01JAN2006","31DEC2006","ZIP 20009",2006,20009,53,14,1
"01JAN2007","31DEC2007","ZIP 20009",2007,20009,52,13,1
"01JAN2008","31DEC2008","ZIP 20009",2008,20009,49,13,1
"01JAN2009","31DEC2009","ZIP 20009",2009,20009,49,11,1
"01JAN2010","31DEC2010","ZIP 20009",2010,20009,43,10,1
"01JAN2011","31DEC2011","ZIP 20009",2011,20009,49,12,1
"01JAN2012","31DEC2012","ZIP 20009",2012,20009,53,10.0,1
"01JAN2013","31DEC2013","ZIP 20009",2013,20009,53,9.7,1
"01JAN2014","31DEC2014","ZIP 20009",2014,20009,59,6.6,1
"01JAN2015","31DEC2015","ZIP 20009",2015,20009,52,7.6,1
"01JAN2016","31DEC2016","ZIP 20009",2016,20009,56,6.3,1
"01JAN2000","31DEC2000","ZIP 20010",2000,20010,45,17,1
"01JAN2001","31DEC2001","ZIP 20010",2001,20010,45,13,1
"01JAN2002","31DEC2002","ZIP 20010",2002,20010,52,18,1
"01JAN2003","31DEC2003","ZIP 20010",2003,20010,48,22,1
"01JAN2004","31DEC2004","ZIP 20010",2004,20010,43,18,1
"01JAN2005","31DEC2005","ZIP 20010",2005,20010,36,17,1
"01JAN2006","31DEC2006","ZIP 20010",2006,20010,46,18,1
"01JAN2007","31DEC2007","ZIP 20010",2007,20010,45,19,1
"01JAN2008","31DEC2008","ZIP 20010",2008,20010,46,19,1
"01JAN2009","31DEC2009","ZIP 20010",2009,20010,51,17,1
"01JAN2010","31DEC2010","ZIP 20010",2010,20010,50,15,1
"01JAN2011","31DEC2011","ZIP 20010",2011,20010,52,14,1
"01JAN2012","31DEC2012","ZIP 20010",2012,20010,57,12,1
"01JAN2013","31DEC2013","ZIP 20010",2013,20010,65,14,1
