"start_date","end_date","Zip","timeframe","ZIP_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2004","31DEC2004","ZIP 20052",2004,20052,26,4.0,1
"01JAN2005","31DEC2005","ZIP 20052",2005,20052,38,0.8,1
"01JAN2006","31DEC2006","ZIP 20052",2006,20052,21,0.8,1
"01JAN2007","31DEC2007","ZIP 20052",2007,20052,15,0.0,1
"01JAN2008","31DEC2008","ZIP 20052",2008,20052,14,0.0,1
"01JAN2009","31DEC2009","ZIP 20052",2009,20052,12,1.6,1
"01JAN2010","31DEC2010","ZIP 20052",2010,20052,13,1.6,1
"01JAN2011","31DEC2011","ZIP 20052",2011,20052,10,3.1,1
"01JAN2012","31DEC2012","ZIP 20052",2012,20052,18,0.0,1
"01JAN2013","31DEC2013","ZIP 20052",2013,20052,17,0.8,1
"01JAN2014","31DEC2014","ZIP 20052",2014,20052,25,0.8,1
"01JAN2015","31DEC2015","ZIP 20052",2015,20052,30,0.8,1
"01JAN2016","31DEC2016","ZIP 20052",2016,20052,21,0.8,1
"01JAN2000","31DEC2000","ZIP 20057",2000,20057,22,1.3,1
"01JAN2001","31DEC2001","ZIP 20057",2001,20057,20,1.1,1
"01JAN2002","31DEC2002","ZIP 20057",2002,20057,15,0.9,1
"01JAN2003","31DEC2003","ZIP 20057",2003,20057,10,0.7,1
"01JAN2004","31DEC2004","ZIP 20057",2004,20057,18,1.7,1
"01JAN2005","31DEC2005","ZIP 20057",2005,20057,17,1.2,1
"01JAN2006","31DEC2006","ZIP 20057",2006,20057,13,2.4,1
"01JAN2007","31DEC2007","ZIP 20057",2007,20057,11,1.0,1
"01JAN2008","31DEC2008","ZIP 20057",2008,20057,8.5,0.0,1
"01JAN2009","31DEC2009","ZIP 20057",2009,20057,8.4,0.3,1
"01JAN2010","31DEC2010","ZIP 20057",2010,20057,12,0.8,1
"01JAN2011","31DEC2011","ZIP 20057",2011,20057,17,0.8,1
"01JAN2012","31DEC2012","ZIP 20057",2012,20057,12,0.3,1
"01JAN2013","31DEC2013","ZIP 20057",2013,20057,9.5,0.3,1
"01JAN2014","31DEC2014","ZIP 20057",2014,20057,8.7,0.5,1
"01JAN2015","31DEC2015","ZIP 20057",2015,20057,8.0,0.5,1
"01JAN2016","31DEC2016","ZIP 20057",2016,20057,1.3,0.3,1
"01JAN2000","31DEC2000","ZIP 20059",2000,20059,219,52,1
"01JAN2001","31DEC2001","ZIP 20059",2001,20059,259,74,1
"01JAN2002","31DEC2002","ZIP 20059",2002,20059,222,42,1
"01JAN2003","31DEC2003","ZIP 20059",2003,20059,276,29,1
"01JAN2004","31DEC2004","ZIP 20059",2004,20059,220,40,1
"01JAN2005","31DEC2005","ZIP 20059",2005,20059,205,77,1
"01JAN2006","31DEC2006","ZIP 20059",2006,20059,178,86,1
"01JAN2007","31DEC2007","ZIP 20059",2007,20059,147,39,1
"01JAN2008","31DEC2008","ZIP 20059",2008,20059,214,73,1
"01JAN2009","31DEC2009","ZIP 20059",2009,20059,181,48,1
"01JAN2010","31DEC2010","ZIP 20059",2010,20059,134,39,1
"01JAN2011","31DEC2011","ZIP 20059",2011,20059,121,33,1
"01JAN2012","31DEC2012","ZIP 20059",2012,20059,170,23,1
"01JAN2013","31DEC2013","ZIP 20059",2013,20059,147,20,1
"01JAN2014","31DEC2014","ZIP 20059",2014,20059,203,20,1
"01JAN2015","31DEC2015","ZIP 20059",2015,20059,134,23,1
"01JAN2016","31DEC2016","ZIP 20059",2016,20059,216,26,1
"01JAN2000","31DEC2000","ZIP 20064",2000,20064,29,3.7,1
"01JAN2001","31DEC2001","ZIP 20064",2001,20064,44,7.7,1
"01JAN2002","31DEC2002","ZIP 20064",2002,20064,43,4.0,1
"01JAN2003","31DEC2003","ZIP 20064",2003,20064,49,10,1
"01JAN2004","31DEC2004","ZIP 20064",2004,20064,50,3.7,1
"01JAN2005","31DEC2005","ZIP 20064",2005,20064,57,9.2,1
"01JAN2006","31DEC2006","ZIP 20064",2006,20064,30,8.1,1
"01JAN2007","31DEC2007","ZIP 20064",2007,20064,29,4.4,1
"01JAN2008","31DEC2008","ZIP 20064",2008,20064,27,3.9,1
"01JAN2009","31DEC2009","ZIP 20064",2009,20064,21,3.8,1
"01JAN2010","31DEC2010","ZIP 20064",2010,20064,21,3.8,1
"01JAN2011","31DEC2011","ZIP 20064",2011,20064,14,1.4,1
"01JAN2012","31DEC2012","ZIP 20064",2012,20064,30,3.5,1
"01JAN2013","31DEC2013","ZIP 20064",2013,20064,27,1.1,1
"01JAN2014","31DEC2014","ZIP 20064",2014,20064,31,4.1,1
"01JAN2015","31DEC2015","ZIP 20064",2015,20064,25,2.7,1
"01JAN2016","31DEC2016","ZIP 20064",2016,20064,17,2.5,1
"01JAN2000","31DEC2000","ZIP 20332",2000,20332,7.4,1.5,1
"01JAN2001","31DEC2001","ZIP 20332",2001,20332,2.8,2.8,1
"01JAN2002","31DEC2002","ZIP 20332",2002,20332,2.6,1.3,1
"01JAN2003","31DEC2003","ZIP 20332",2003,20332,11,1.2,1
"01JAN2004","31DEC2004","ZIP 20332",2004,20332,8.1,4.7,1
"01JAN2005","31DEC2005","ZIP 20332",2005,20332,11,3.3,1
"01JAN2006","31DEC2006","ZIP 20332",2006,20332,14,1.1,1
"01JAN2007","31DEC2007","ZIP 20332",2007,20332,2.0,0.0,1
"01JAN2008","31DEC2008","ZIP 20332",2008,20332,2.9,0.0,1
"01JAN2009","31DEC2009","ZIP 20332",2009,20332,1.8,0.9,1
"01JAN2010","31DEC2010","ZIP 20332",2010,20332,2.6,0.0,1
"01JAN2011","31DEC2011","ZIP 20332",2011,20332,1.8,0.0,1
"01JAN2012","31DEC2012","ZIP 20332",2012,20332,1.8,4.4,1
"01JAN2013","31DEC2013","ZIP 20332",2013,20332,3.5,0.9,1
"01JAN2014","31DEC2014","ZIP 20332",2014,20332,1.8,0.0,1
"01JAN2015","31DEC2015","ZIP 20332",2015,20332,2.6,0.9,1
"01JAN2016","31DEC2016","ZIP 20332",2016,20332,0.9,0.0,1
"01JAN2000","31DEC2000","ZIP 20336",2000,20336,0.7,0.2,1
"01JAN2001","31DEC2001","ZIP 20336",2001,20336,0.0,0.0,1
"01JAN2002","31DEC2002","ZIP 20336",2002,20336,0.5,0.0,1
"01JAN2003","31DEC2003","ZIP 20336",2003,20336,0.8,0.3,1
"01JAN2004","31DEC2004","ZIP 20336",2004,20336,1.4,0.3,1
"01JAN2005","31DEC2005","ZIP 20336",2005,20336,1.2,0.0,1
"01JAN2006","31DEC2006","ZIP 20336",2006,20336,1.4,0.0,1
"01JAN2007","31DEC2007","ZIP 20336",2007,20336,2.6,0.4,1
"01JAN2008","31DEC2008","ZIP 20336",2008,20336,0.4,0.0,1
"01JAN2009","31DEC2009","ZIP 20336",2009,20336,1.4,0.0,1
"01JAN2010","31DEC2010","ZIP 20336",2010,20336,1.1,0.0,1
"01JAN2011","31DEC2011","ZIP 20336",2011,20336,0.5,0.0,1
"01JAN2012","31DEC2012","ZIP 20336",2012,20336,0.0,0.0,1
"01JAN2013","31DEC2013","ZIP 20336",2013,20336,0.5,0.0,1
"01JAN2014","31DEC2014","ZIP 20336",2014,20336,0.5,0.0,1
"01JAN2015","31DEC2015","ZIP 20336",2015,20336,1.1,0.0,1
"01JAN2016","31DEC2016","ZIP 20336",2016,20336,0.5,0.0,1

