"start_date","end_date","Ward2012","timeframe","WARD2012_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2014","31DEC2014","Ward 2",2014,2,81,5.8,1
"01JAN2015","31DEC2015","Ward 2",2015,2,78,6.5,1
"01JAN2016","31DEC2016","Ward 2",2016,2,82,6.5,1
"01JAN2000","31DEC2000","Ward 3",2000,3,31,2.5,1
"01JAN2001","31DEC2001","Ward 3",2001,3,28,3.2,1
"01JAN2002","31DEC2002","Ward 3",2002,3,26,2.7,1
"01JAN2003","31DEC2003","Ward 3",2003,3,28,1.9,1
"01JAN2004","31DEC2004","Ward 3",2004,3,25,1.9,1
"01JAN2005","31DEC2005","Ward 3",2005,3,22,1.8,1
"01JAN2006","31DEC2006","Ward 3",2006,3,19,1.8,1
"01JAN2007","31DEC2007","Ward 3",2007,3,21,1.7,1
"01JAN2008","31DEC2008","Ward 3",2008,3,23,1.5,1
"01JAN2009","31DEC2009","Ward 3",2009,3,24,1.7,1
"01JAN2010","31DEC2010","Ward 3",2010,3,22,1.6,1
"01JAN2011","31DEC2011","Ward 3",2011,3,21,1.5,1
"01JAN2012","31DEC2012","Ward 3",2012,3,21,1.3,1
"01JAN2013","31DEC2013","Ward 3",2013,3,24,1.0,1
"01JAN2014","31DEC2014","Ward 3",2014,3,22,1.2,1
"01JAN2015","31DEC2015","Ward 3",2015,3,23,1.1,1
"01JAN2016","31DEC2016","Ward 3",2016,3,20,1.2,1
"01JAN2000","31DEC2000","Ward 4",2000,4,37,9.1,1
"01JAN2001","31DEC2001","Ward 4",2001,4,37,7.7,1
"01JAN2002","31DEC2002","Ward 4",2002,4,42,9.8,1
"01JAN2003","31DEC2003","Ward 4",2003,4,37,12,1
"01JAN2004","31DEC2004","Ward 4",2004,4,33,11,1
"01JAN2005","31DEC2005","Ward 4",2005,4,32,10,1
"01JAN2006","31DEC2006","Ward 4",2006,4,27,9.9,1
"01JAN2007","31DEC2007","Ward 4",2007,4,31,12,1
"01JAN2008","31DEC2008","Ward 4",2008,4,29,11,1
"01JAN2009","31DEC2009","Ward 4",2009,4,30,11,1
"01JAN2010","31DEC2010","Ward 4",2010,4,30,9.6,1
"01JAN2011","31DEC2011","Ward 4",2011,4,30,7.5,1
"01JAN2012","31DEC2012","Ward 4",2012,4,31,9.0,1
"01JAN2013","31DEC2013","Ward 4",2013,4,35,8.6,1
"01JAN2014","31DEC2014","Ward 4",2014,4,43,7.9,1
"01JAN2015","31DEC2015","Ward 4",2015,4,39,8.1,1
"01JAN2016","31DEC2016","Ward 4",2016,4,34,6.5,1
"01JAN2000","31DEC2000","Ward 5",2000,5,49,18,1
"01JAN2001","31DEC2001","Ward 5",2001,5,56,18,1
"01JAN2002","31DEC2002","Ward 5",2002,5,53,17,1
"01JAN2003","31DEC2003","Ward 5",2003,5,59,20,1
"01JAN2004","31DEC2004","Ward 5",2004,5,57,16,1
"01JAN2005","31DEC2005","Ward 5",2005,5,51,19,1
"01JAN2006","31DEC2006","Ward 5",2006,5,45,17,1
"01JAN2007","31DEC2007","Ward 5",2007,5,51,16,1
"01JAN2008","31DEC2008","Ward 5",2008,5,46,15,1
"01JAN2009","31DEC2009","Ward 5",2009,5,44,15,1
"01JAN2010","31DEC2010","Ward 5",2010,5,43,13,1
"01JAN2011","31DEC2011","Ward 5",2011,5,46,13,1
"01JAN2012","31DEC2012","Ward 5",2012,5,52,14,1
"01JAN2013","31DEC2013","Ward 5",2013,5,52,12,1
"01JAN2014","31DEC2014","Ward 5",2014,5,62,12,1
"01JAN2015","31DEC2015","Ward 5",2015,5,57,13,1
"01JAN2016","31DEC2016","Ward 5",2016,5,51,13,1
"01JAN2000","31DEC2000","Ward 6",2000,6,70,20,1
"01JAN2001","31DEC2001","Ward 6",2001,6,82,21,1
"01JAN2002","31DEC2002","Ward 6",2002,6,70,21,1
"01JAN2003","31DEC2003","Ward 6",2003,6,64,21,1
"01JAN2004","31DEC2004","Ward 6",2004,6,65,17,1
"01JAN2005","31DEC2005","Ward 6",2005,6,58,16,1
"01JAN2006","31DEC2006","Ward 6",2006,6,56,16,1
"01JAN2007","31DEC2007","Ward 6",2007,6,54,16,1
"01JAN2008","31DEC2008","Ward 6",2008,6,54,14,1
"01JAN2009","31DEC2009","Ward 6",2009,6,51,13,1
