"start_date","end_date","Cluster_tr2000","timeframe","CLUSTER_TR2000_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2011","31DEC2011","Cluster 8",2011,08,104.572,21.9764,1
"01JAN2012","31DEC2012","Cluster 8",2012,08,127.729,19.6165,1
"01JAN2013","31DEC2013","Cluster 8",2013,08,119.543,16.5192,1
"01JAN2014","31DEC2014","Cluster 8",2014,08,151.770,15.3392,1
"01JAN2015","31DEC2015","Cluster 8",2015,08,135.988,18.0678,1
"01JAN2016","31DEC2016","Cluster 8",2016,08,165.413,17.1091,1
"01JAN2000","31DEC2000","Cluster 9",2000,09,67.069,16.7247,1
"01JAN2001","31DEC2001","Cluster 9",2001,09,68.452,14.9660,1
"01JAN2002","31DEC2002","Cluster 9",2002,09,55.362,14.1385,1
"01JAN2003","31DEC2003","Cluster 9",2003,09,47.773,14.5026,1
"01JAN2004","31DEC2004","Cluster 9",2004,09,42.810,13.3299,1
"01JAN2005","31DEC2005","Cluster 9",2005,09,45.875,13.0948,1
"01JAN2006","31DEC2006","Cluster 9",2006,09,50.497,15.6893,1
"01JAN2007","31DEC2007","Cluster 9",2007,09,43.023,16.7454,1
"01JAN2008","31DEC2008","Cluster 9",2008,09,37.330,12.5581,1
"01JAN2009","31DEC2009","Cluster 9",2009,09,34.117,10.0801,1
"01JAN2010","31DEC2010","Cluster 9",2010,09,33.569,9.4063,1
"01JAN2011","31DEC2011","Cluster 9",2011,09,35.813,10.9596,1
"01JAN2012","31DEC2012","Cluster 9",2012,09,42.113,8.2844,1
"01JAN2013","31DEC2013","Cluster 9",2013,09,44.097,8.5433,1
"01JAN2014","31DEC2014","Cluster 9",2014,09,41.681,6.8174,1
"01JAN2015","31DEC2015","Cluster 9",2015,09,43.062,8.0255,1
"01JAN2016","31DEC2016","Cluster 9",2016,09,46.600,8.3707,1
"01JAN2000","31DEC2000","Cluster 10",2000,10,18.705,1.3361,1
"01JAN2001","31DEC2001","Cluster 10",2001,10,18.656,1.8972,1
"01JAN2002","31DEC2002","Cluster 10",2002,10,17.255,1.3518,1
"01JAN2003","31DEC2003","Cluster 10",2003,10,20.075,1.2797,1
"01JAN2004","31DEC2004","Cluster 10",2004,10,15.126,1.6091,1
"01JAN2005","31DEC2005","Cluster 10",2005,10,15.378,0.7285,1
"01JAN2006","31DEC2006","Cluster 10",2006,10,11.970,0.9771,1
"01JAN2007","31DEC2007","Cluster 10",2007,10,11.387,0.4096,1
"01JAN2008","31DEC2008","Cluster 10",2008,10,12.115,0.7417,1
"01JAN2009","31DEC2009","Cluster 10",2009,10,18.325,0.4146,1
"01JAN2010","31DEC2010","Cluster 10",2010,10,15.018,0.7509,1
"01JAN2011","31DEC2011","Cluster 10",2011,10,13.933,1.3349,1
"01JAN2012","31DEC2012","Cluster 10",2012,10,13.349,0.5840,1
"01JAN2013","31DEC2013","Cluster 10",2013,10,19.856,0.2503,1
"01JAN2014","31DEC2014","Cluster 10",2014,10,17.771,0.9177,1
"01JAN2015","31DEC2015","Cluster 10",2015,10,12.598,0.3337,1
"01JAN2016","31DEC2016","Cluster 10",2016,10,14.267,0.4172,1
"01JAN2000","31DEC2000","Cluster 11",2000,11,55.767,5.3384,1
"01JAN2001","31DEC2001","Cluster 11",2001,11,48.017,6.4710,1
"01JAN2002","31DEC2002","Cluster 11",2002,11,48.916,6.0914,1
"01JAN2003","31DEC2003","Cluster 11",2003,11,52.871,4.9055,1
"01JAN2004","31DEC2004","Cluster 11",2004,11,49.732,4.2039,1
"01JAN2005","31DEC2005","Cluster 11",2005,11,39.901,3.6995,1
"01JAN2006","31DEC2006","Cluster 11",2006,11,33.403,4.0777,1
"01JAN2007","31DEC2007","Cluster 11",2007,11,44.965,4.7017,1
"01JAN2008","31DEC2008","Cluster 11",2008,11,54.081,2.9484,1
"01JAN2009","31DEC2009","Cluster 11",2009,11,53.143,3.8196,1
"01JAN2010","31DEC2010","Cluster 11",2010,11,45.105,4.0111,1
"01JAN2011","31DEC2011","Cluster 11",2011,11,43.140,3.0288,1
"01JAN2012","31DEC2012","Cluster 11",2012,11,47.561,2.4558,1
"01JAN2013","31DEC2013","Cluster 11",2013,11,64.014,2.1284,1
"01JAN2014","31DEC2014","Cluster 11",2014,11,53.373,2.7014,1
"01JAN2015","31DEC2015","Cluster 11",2015,11,51.162,2.7014,1
"01JAN2016","31DEC2016","Cluster 11",2016,11,43.549,3.3563,1
"01JAN2000","31DEC2000","Cluster 12",2000,12,30.429,2.4744,1
"01JAN2001","31DEC2001","Cluster 12",2001,12,26.644,3.5303,1
"01JAN2002","31DEC2002","Cluster 12",2002,12,26.141,2.5876,1
"01JAN2003","31DEC2003","Cluster 12",2003,12,28.549,1.5200,1
"01JAN2004","31DEC2004","Cluster 12",2004,12,25.013,1.2507,1
"01JAN2005","31DEC2005","Cluster 12",2005,12,20.719,1.9670,1
"01JAN2006","31DEC2006","Cluster 12",2006,12,17.896,1.6328,1
"01JAN2007","31DEC2007","Cluster 12",2007,12,20.233,1.3662,1
"01JAN2008","31DEC2008","Cluster 12",2008,12,20.349,1.4905,1
"01JAN2009","31DEC2009","Cluster 12",2009,12,20.529,1.7431,1
"01JAN2010","31DEC2010","Cluster 12",2010,12,16.913,1.6077,1
"01JAN2011","31DEC2011","Cluster 12",2011,12,19.550,0.8360,1
"01JAN2012","31DEC2012","Cluster 12",2012,12,14.920,0.9003,1
"01JAN2013","31DEC2013","Cluster 12",2013,12,16.077,0.8360,1
"01JAN2014","31DEC2014","Cluster 12",2014,12,18.585,1.0289,1
"01JAN2015","31DEC2015","Cluster 12",2015,12,19.421,0.9003,1
"01JAN2016","31DEC2016","Cluster 12",2016,12,13.698,0.6431,1
"01JAN2000","31DEC2000","Cluster 13",2000,13,19.938,0.8552,1
"01JAN2001","31DEC2001","Cluster 13",2001,13,16.530,1.2304,1
"01JAN2002","31DEC2002","Cluster 13",2002,13,14.456,0.9102,1
"01JAN2003","31DEC2003","Cluster 13",2003,13,17.146,0.5358,1
"01JAN2004","31DEC2004","Cluster 13",2004,13,11.422,0.5363,1
"01JAN2005","31DEC2005","Cluster 13",2005,13,11.163,0.4830,1
"01JAN2006","31DEC2006","Cluster 13",2006,13,10.259,0.7520,1
"01JAN2007","31DEC2007","Cluster 13",2007,13,11.073,0.5913,1
"01JAN2008","31DEC2008","Cluster 13",2008,13,11.567,0.3766,1
"01JAN2009","31DEC2009","Cluster 13",2009,13,12.814,0.5384,1
"01JAN2010","31DEC2010","Cluster 13",2010,13,14.333,0.4850,1
"01JAN2011","31DEC2011","Cluster 13",2011,13,11.747,0.3772,1
"01JAN2012","31DEC2012","Cluster 13",2012,13,10.615,0.5389,1
"01JAN2013","31DEC2013","Cluster 13",2013,13,13.741,0.3772,1
"01JAN2014","31DEC2014","Cluster 13",2014,13,11.370,0.2694,1
"01JAN2015","31DEC2015","Cluster 13",2015,13,11.424,0.5389,1
"01JAN2016","31DEC2016","Cluster 13",2016,13,11.585,0.6466,1
"01JAN2000","31DEC2000","Cluster 14",2000,14,21.630,2.1540,1
"01JAN2001","31DEC2001","Cluster 14",2001,14,21.252,1.6073,1
"01JAN2002","31DEC2002","Cluster 14",2002,14,16.880,1.6880,1
"01JAN2003","31DEC2003","Cluster 14",2003,14,16.088,0.6188,1
"01JAN2004","31DEC2004","Cluster 14",2004,14,19.437,1.2313,1
"01JAN2005","31DEC2005","Cluster 14",2005,14,18.638,0.7875,1
"01JAN2006","31DEC2006","Cluster 14",2006,14,15.150,0.6966,1
"01JAN2007","31DEC2007","Cluster 14",2007,14,10.743,0.5198,1
"01JAN2008","31DEC2008","Cluster 14",2008,14,12.932,0.8621,1
"01JAN2009","31DEC2009","Cluster 14",2009,14,13.898,0.8579,1
"01JAN2010","31DEC2010","Cluster 14",2010,14,13.916,0.4269,1
"01JAN2011","31DEC2011","Cluster 14",2011,14,10.501,1.0245,1
"01JAN2012","31DEC2012","Cluster 14",2012,14,14.770,0.5123,1
"01JAN2013","31DEC2013","Cluster 14",2013,14,11.953,0.5976,1
"01JAN2014","31DEC2014","Cluster 14",2014,14,12.550,0.6830,1
"01JAN2015","31DEC2015","Cluster 14",2015,14,12.977,0.6830,1
"01JAN2016","31DEC2016","Cluster 14",2016,14,9.818,0.7684,1
"01JAN2000","31DEC2000","Cluster 15",2000,15,44.856,3.0879,1
"01JAN2001","31DEC2001","Cluster 15",2001,15,38.113,4.9361,1
"01JAN2002","31DEC2002","Cluster 15",2002,15,33.116,3.1424,1
"01JAN2003","31DEC2003","Cluster 15",2003,15,37.471,2.5676,1
"01JAN2004","31DEC2004","Cluster 15",2004,15,28.925,2.6368,1
"01JAN2005","31DEC2005","Cluster 15",2005,15,26.018,2.7849,1
"01JAN2006","31DEC2006","Cluster 15",2006,15,24.802,2.3772,1
"01JAN2007","31DEC2007","Cluster 15",2007,15,25.726,2.6042,1
"01JAN2008","31DEC2008","Cluster 15",2008,15,29.865,2.5149,1
"01JAN2009","31DEC2009","Cluster 15",2009,15,33.341,2.4262,1
"01JAN2010","31DEC2010","Cluster 15",2010,15,27.672,2.4943,1
"01JAN2011","31DEC2011","Cluster 15",2011,15,30.634,2.9620,1
"01JAN2012","31DEC2012","Cluster 15",2012,15,28.763,2.3385,1
"01JAN2013","31DEC2013","Cluster 15",2013,15,21.280,1.7149,1
"01JAN2014","31DEC2014","Cluster 15",2014,15,23.229,1.7928,1
"01JAN2015","31DEC2015","Cluster 15",2015,15,27.516,1.1692,1
"01JAN2016","31DEC2016","Cluster 15",2016,15,26.502,1.4031,1
"01JAN2000","31DEC2000","Cluster 16",2000,16,36.973,4.9628,1
"01JAN2001","31DEC2001","Cluster 16",2001,16,42.008,5.2200,1
