"start_date","end_date","anc2012","timeframe","anc2012_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2000","31DEC2000","ANC 2C",2000,"2C",1023,135,1
"01JAN2001","31DEC2001","ANC 2C",2001,"2C",768,123,1
"01JAN2002","31DEC2002","ANC 2C",2002,"2C",529,63,1
"01JAN2003","31DEC2003","ANC 2C",2003,"2C",375,60,1
"01JAN2004","31DEC2004","ANC 2C",2004,"2C",252,40,1
"01JAN2005","31DEC2005","ANC 2C",2005,"2C",226,30,1
"01JAN2006","31DEC2006","ANC 2C",2006,"2C",236,35,1
"01JAN2007","31DEC2007","ANC 2C",2007,"2C",242,35,1
"01JAN2008","31DEC2008","ANC 2C",2008,"2C",230,32,1
"01JAN2009","31DEC2009","ANC 2C",2009,"2C",221,28,1
"01JAN2010","31DEC2010","ANC 2C",2010,"2C",175,25,1
"01JAN2011","31DEC2011","ANC 2C",2011,"2C",195,30,1
"01JAN2012","31DEC2012","ANC 2C",2012,"2C",239,29,1
"01JAN2013","31DEC2013","ANC 2C",2013,"2C",228,23,1
"01JAN2014","31DEC2014","ANC 2C",2014,"2C",267,20,1
"01JAN2015","31DEC2015","ANC 2C",2015,"2C",228,26,1
"01JAN2016","31DEC2016","ANC 2C",2016,"2C",267,24,1
"01JAN2017","31DEC2017","ANC 2C",2017,"2C",215,14,1
"01JAN2018","31DEC2018","ANC 2C",2018,"2C",230,14,1
"01JAN2019","31DEC2019","ANC 2C",2019,"2C",287,20,1
"01JAN2000","31DEC2000","ANC 2D",2000,"2D",48,7.9,1
"01JAN2001","31DEC2001","ANC 2D",2001,"2D",42,5.5,1
"01JAN2002","31DEC2002","ANC 2D",2002,"2D",43,8.6,1
"01JAN2003","31DEC2003","ANC 2D",2003,"2D",56,5.0,1
"01JAN2004","31DEC2004","ANC 2D",2004,"2D",33,5.8,1
"01JAN2005","31DEC2005","ANC 2D",2005,"2D",31,4.6,1
"01JAN2006","31DEC2006","ANC 2D",2006,"2D",41,2.3,1
"01JAN2007","31DEC2007","ANC 2D",2007,"2D",41,4.9,1
"01JAN2008","31DEC2008","ANC 2D",2008,"2D",27,3.7,1
"01JAN2009","31DEC2009","ANC 2D",2009,"2D",36,4.5,1
"01JAN2010","31DEC2010","ANC 2D",2010,"2D",33,3.7,1
"01JAN2011","31DEC2011","ANC 2D",2011,"2D",30,2.2,1
"01JAN2012","31DEC2012","ANC 2D",2012,"2D",55,8.5,1
"01JAN2013","31DEC2013","ANC 2D",2013,"2D",32,2.6,1
"01JAN2014","31DEC2014","ANC 2D",2014,"2D",48,3.3,1
"01JAN2015","31DEC2015","ANC 2D",2015,"2D",55,1.8,1
"01JAN2016","31DEC2016","ANC 2D",2016,"2D",49,3.3,1
"01JAN2017","31DEC2017","ANC 2D",2017,"2D",37,3.7,1
"01JAN2018","31DEC2018","ANC 2D",2018,"2D",36,3.3,1
"01JAN2019","31DEC2019","ANC 2D",2019,"2D",42,3.3,1
"01JAN2000","31DEC2000","ANC 2E",2000,"2E",64,7.8,1
"01JAN2001","31DEC2001","ANC 2E",2001,"2E",63,7.4,1
"01JAN2002","31DEC2002","ANC 2E",2002,"2E",51,6.9,1
"01JAN2003","31DEC2003","ANC 2E",2003,"2E",51,6.7,1
"01JAN2004","31DEC2004","ANC 2E",2004,"2E",52,6.2,1
"01JAN2005","31DEC2005","ANC 2E",2005,"2E",54,5.3,1
"01JAN2006","31DEC2006","ANC 2E",2006,"2E",47,6.4,1
"01JAN2007","31DEC2007","ANC 2E",2007,"2E",52,7.0,1
"01JAN2008","31DEC2008","ANC 2E",2008,"2E",54,4.4,1
"01JAN2009","31DEC2009","ANC 2E",2009,"2E",52,4.2,1
"01JAN2010","31DEC2010","ANC 2E",2010,"2E",48,6.0,1
"01JAN2011","31DEC2011","ANC 2E",2011,"2E",52,4.4,1
"01JAN2012","31DEC2012","ANC 2E",2012,"2E",54,3.0,1
"01JAN2013","31DEC2013","ANC 2E",2013,"2E",55,3.0,1
"01JAN2014","31DEC2014","ANC 2E",2014,"2E",61,3.2,1
"01JAN2015","31DEC2015","ANC 2E",2015,"2E",60,2.9,1
"01JAN2016","31DEC2016","ANC 2E",2016,"2E",55,3.2,1
"01JAN2017","31DEC2017","ANC 2E",2017,"2E",57,2.1,1
"01JAN2018","31DEC2018","ANC 2E",2018,"2E",70,2.5,1
"01JAN2019","31DEC2019","ANC 2E",2019,"2E",67,1.8,1
"01JAN2000","31DEC2000","ANC 2F",2000,"2F",77,16,1
"01JAN2001","31DEC2001","ANC 2F",2001,"2F",74,18,1
"01JAN2002","31DEC2002","ANC 2F",2002,"2F",85,14,1
"01JAN2003","31DEC2003","ANC 2F",2003,"2F",66,14,1
"01JAN2004","31DEC2004","ANC 2F",2004,"2F",65,11,1
"01JAN2005","31DEC2005","ANC 2F",2005,"2F",54,13,1
"01JAN2006","31DEC2006","ANC 2F",2006,"2F",63,13,1
"01JAN2007","31DEC2007","ANC 2F",2007,"2F",60,12,1
"01JAN2008","31DEC2008","ANC 2F",2008,"2F",63,12,1
"01JAN2009","31DEC2009","ANC 2F",2009,"2F",56,10,1
"01JAN2010","31DEC2010","ANC 2F",2010,"2F",44,9.4,1
"01JAN2011","31DEC2011","ANC 2F",2011,"2F",48,9.2,1
"01JAN2012","31DEC2012","ANC 2F",2012,"2F",63,8.0,1
"01JAN2013","31DEC2013","ANC 2F",2013,"2F",57,6.9,1
"01JAN2014","31DEC2014","ANC 2F",2014,"2F",69,6.3,1
"01JAN2015","31DEC2015","ANC 2F",2015,"2F",65,6.8,1
"01JAN2016","31DEC2016","ANC 2F",2016,"2F",79,6.7,1
"01JAN2017","31DEC2017","ANC 2F",2017,"2F",59,4.5,1
"01JAN2018","31DEC2018","ANC 2F",2018,"2F",63,5.9,1
"01JAN2019","31DEC2019","ANC 2F",2019,"2F",75,5.1,1
"01JAN2000","31DEC2000","ANC 3B",2000,"3B",13,1.8,1
"01JAN2001","31DEC2001","ANC 3B",2001,"3B",18,1.5,1
"01JAN2002","31DEC2002","ANC 3B",2002,"3B",12,1.6,1
"01JAN2003","31DEC2003","ANC 3B",2003,"3B",14,0.9,1
"01JAN2004","31DEC2004","ANC 3B",2004,"3B",14,1.3,1
"01JAN2005","31DEC2005","ANC 3B",2005,"3B",15,1.4,1
"01JAN2006","31DEC2006","ANC 3B",2006,"3B",13,0.8,1
"01JAN2007","31DEC2007","ANC 3B",2007,"3B",10,0.8,1
"01JAN2008","31DEC2008","ANC 3B",2008,"3B",12,1.0,1
"01JAN2009","31DEC2009","ANC 3B",2009,"3B",12,1.4,1
"01JAN2010","31DEC2010","ANC 3B",2010,"3B",13,0.5,1
"01JAN2011","31DEC2011","ANC 3B",2011,"3B",9.4,1.0,1
"01JAN2012","31DEC2012","ANC 3B",2012,"3B",13,0.9,1
"01JAN2013","31DEC2013","ANC 3B",2013,"3B",12,0.5,1
"01JAN2014","31DEC2014","ANC 3B",2014,"3B",14,1.0,1
"01JAN2015","31DEC2015","ANC 3B",2015,"3B",16,0.2,1
"01JAN2016","31DEC2016","ANC 3B",2016,"3B",12,0.7,1
"01JAN2017","31DEC2017","ANC 3B",2017,"3B",11,0.7,1
"01JAN2018","31DEC2018","ANC 3B",2018,"3B",13,0.5,1
