"start_date","end_date","cluster2017","timeframe","cluster2017_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2015","31DEC2015","Cluster 07",2015,"Cluster 7",56,7.8,1
"01JAN2016","31DEC2016","Cluster 07",2016,"Cluster 7",68,6.8,1
"01JAN2017","31DEC2017","Cluster 07",2017,"Cluster 7",53,5.0,1
"01JAN2018","31DEC2018","Cluster 07",2018,"Cluster 7",57,5.5,1
"01JAN2019","31DEC2019","Cluster 07",2019,"Cluster 7",66,5.1,1
"01JAN2000","31DEC2000","Cluster 08",2000,"Cluster 8",245,43,1
"01JAN2001","31DEC2001","Cluster 08",2001,"Cluster 8",214,41,1
"01JAN2002","31DEC2002","Cluster 08",2002,"Cluster 8",179,35,1
"01JAN2003","31DEC2003","Cluster 08",2003,"Cluster 8",138,35,1
"01JAN2004","31DEC2004","Cluster 08",2004,"Cluster 8",111,24,1
"01JAN2005","31DEC2005","Cluster 08",2005,"Cluster 8",105,23,1
"01JAN2006","31DEC2006","Cluster 08",2006,"Cluster 8",109,24,1
"01JAN2007","31DEC2007","Cluster 08",2007,"Cluster 8",113,23,1
"01JAN2008","31DEC2008","Cluster 08",2008,"Cluster 8",111,21,1
"01JAN2009","31DEC2009","Cluster 08",2009,"Cluster 8",102,18,1
"01JAN2010","31DEC2010","Cluster 08",2010,"Cluster 8",81,18,1
"01JAN2011","31DEC2011","Cluster 08",2011,"Cluster 8",95,20,1
"01JAN2012","31DEC2012","Cluster 08",2012,"Cluster 8",117,18,1
"01JAN2013","31DEC2013","Cluster 08",2013,"Cluster 8",111,16,1
"01JAN2014","31DEC2014","Cluster 08",2014,"Cluster 8",141,14,1
"01JAN2015","31DEC2015","Cluster 08",2015,"Cluster 8",127,16,1
"01JAN2016","31DEC2016","Cluster 08",2016,"Cluster 8",155,15,1
"01JAN2017","31DEC2017","Cluster 08",2017,"Cluster 8",118,8.5,1
"01JAN2018","31DEC2018","Cluster 08",2018,"Cluster 8",131,9.6,1
"01JAN2019","31DEC2019","Cluster 08",2019,"Cluster 8",143,11,1
"01JAN2000","31DEC2000","Cluster 09",2000,"Cluster 9",67,17,1
"01JAN2001","31DEC2001","Cluster 09",2001,"Cluster 9",69,15,1
"01JAN2002","31DEC2002","Cluster 09",2002,"Cluster 9",56,14,1
"01JAN2003","31DEC2003","Cluster 09",2003,"Cluster 9",48,15,1
"01JAN2004","31DEC2004","Cluster 09",2004,"Cluster 9",43,13,1
"01JAN2005","31DEC2005","Cluster 09",2005,"Cluster 9",47,13,1
"01JAN2006","31DEC2006","Cluster 09",2006,"Cluster 9",51,16,1
"01JAN2007","31DEC2007","Cluster 09",2007,"Cluster 9",44,17,1
"01JAN2008","31DEC2008","Cluster 09",2008,"Cluster 9",38,13,1
"01JAN2009","31DEC2009","Cluster 09",2009,"Cluster 9",35,10,1
"01JAN2010","31DEC2010","Cluster 09",2010,"Cluster 9",34,9.6,1
"01JAN2011","31DEC2011","Cluster 09",2011,"Cluster 9",37,11,1
"01JAN2012","31DEC2012","Cluster 09",2012,"Cluster 9",42,8.3,1
"01JAN2013","31DEC2013","Cluster 09",2013,"Cluster 9",44,8.6,1
"01JAN2014","31DEC2014","Cluster 09",2014,"Cluster 9",42,6.8,1
"01JAN2015","31DEC2015","Cluster 09",2015,"Cluster 9",43,8.1,1
"01JAN2016","31DEC2016","Cluster 09",2016,"Cluster 9",47,8.5,1
"01JAN2017","31DEC2017","Cluster 09",2017,"Cluster 9",49,6.0,1
"01JAN2018","31DEC2018","Cluster 09",2018,"Cluster 9",49,5.6,1
"01JAN2019","31DEC2019","Cluster 09",2019,"Cluster 9",53,6.4,1
"01JAN2000","31DEC2000","Cluster 10",2000,"Cluster 10",19,1.3,1
"01JAN2001","31DEC2001","Cluster 10",2001,"Cluster 10",19,2.6,1
"01JAN2002","31DEC2002","Cluster 10",2002,"Cluster 10",18,2.1,1
"01JAN2003","31DEC2003","Cluster 10",2003,"Cluster 10",22,1.8,1
"01JAN2004","31DEC2004","Cluster 10",2004,"Cluster 10",17,1.8,1
"01JAN2005","31DEC2005","Cluster 10",2005,"Cluster 10",16,0.8,1
"01JAN2006","31DEC2006","Cluster 10",2006,"Cluster 10",13,1.0,1
"01JAN2007","31DEC2007","Cluster 10",2007,"Cluster 10",14,1.0,1
"01JAN2008","31DEC2008","Cluster 10",2008,"Cluster 10",15,1.0,1
"01JAN2009","31DEC2009","Cluster 10",2009,"Cluster 10",21,0.9,1
"01JAN2010","31DEC2010","Cluster 10",2010,"Cluster 10",17,0.8,1
"01JAN2011","31DEC2011","Cluster 10",2011,"Cluster 10",17,1.3,1
"01JAN2012","31DEC2012","Cluster 10",2012,"Cluster 10",18,0.9,1
"01JAN2013","31DEC2013","Cluster 10",2013,"Cluster 10",25,0.6,1
"01JAN2014","31DEC2014","Cluster 10",2014,"Cluster 10",21,1.3,1
"01JAN2015","31DEC2015","Cluster 10",2015,"Cluster 10",16,1.0,1
"01JAN2016","31DEC2016","Cluster 10",2016,"Cluster 10",18,1.3,1
"01JAN2017","31DEC2017","Cluster 10",2017,"Cluster 10",16,0.8,1
"01JAN2018","31DEC2018","Cluster 10",2018,"Cluster 10",20,0.3,1
"01JAN2019","31DEC2019","Cluster 10",2019,"Cluster 10",19,0.5,1
"01JAN2000","31DEC2000","Cluster 11",2000,"Cluster 11",59,6.3,1
"01JAN2001","31DEC2001","Cluster 11",2001,"Cluster 11",52,6.3,1
"01JAN2002","31DEC2002","Cluster 11",2002,"Cluster 11",52,5.4,1
"01JAN2003","31DEC2003","Cluster 11",2003,"Cluster 11",53,4.6,1
"01JAN2004","31DEC2004","Cluster 11",2004,"Cluster 11",51,4.0,1
"01JAN2005","31DEC2005","Cluster 11",2005,"Cluster 11",42,4.0,1
"01JAN2006","31DEC2006","Cluster 11",2006,"Cluster 11",34,4.1,1
"01JAN2007","31DEC2007","Cluster 11",2007,"Cluster 11",46,4.3,1
"01JAN2008","31DEC2008","Cluster 11",2008,"Cluster 11",53,3.6,1
"01JAN2009","31DEC2009","Cluster 11",2009,"Cluster 11",52,3.9,1
"01JAN2010","31DEC2010","Cluster 11",2010,"Cluster 11",44,4.3,1
"01JAN2011","31DEC2011","Cluster 11",2011,"Cluster 11",43,3.4,1
"01JAN2012","31DEC2012","Cluster 11",2012,"Cluster 11",46,2.6,1
"01JAN2013","31DEC2013","Cluster 11",2013,"Cluster 11",59,1.9,1
"01JAN2014","31DEC2014","Cluster 11",2014,"Cluster 11",53,2.7,1
"01JAN2015","31DEC2015","Cluster 11",2015,"Cluster 11",52,2.4,1
"01JAN2016","31DEC2016","Cluster 11",2016,"Cluster 11",41,2.6,1
"01JAN2017","31DEC2017","Cluster 11",2017,"Cluster 11",39,1.6,1
"01JAN2018","31DEC2018","Cluster 11",2018,"Cluster 11",49,2.2,1
"01JAN2019","31DEC2019","Cluster 11",2019,"Cluster 11",49,2.3,1
"01JAN2000","31DEC2000","Cluster 12",2000,"Cluster 12",28,1.8,1
"01JAN2001","31DEC2001","Cluster 12",2001,"Cluster 12",25,2.5,1
"01JAN2002","31DEC2002","Cluster 12",2002,"Cluster 12",22,2.2,1
"01JAN2003","31DEC2003","Cluster 12",2003,"Cluster 12",22,1.2,1
"01JAN2004","31DEC2004","Cluster 12",2004,"Cluster 12",24,1.0,1
"01JAN2005","31DEC2005","Cluster 12",2005,"Cluster 12",19,1.5,1
"01JAN2006","31DEC2006","Cluster 12",2006,"Cluster 12",17,1.4,1
"01JAN2007","31DEC2007","Cluster 12",2007,"Cluster 12",19,1.3,1
"01JAN2008","31DEC2008","Cluster 12",2008,"Cluster 12",22,1.0,1
"01JAN2009","31DEC2009","Cluster 12",2009,"Cluster 12",18,1.2,1
"01JAN2010","31DEC2010","Cluster 12",2010,"Cluster 12",16,1.1,1
"01JAN2011","31DEC2011","Cluster 12",2011,"Cluster 12",20,0.6,1
"01JAN2012","31DEC2012","Cluster 12",2012,"Cluster 12",15,0.6,1
"01JAN2013","31DEC2013","Cluster 12",2013,"Cluster 12",18,1.1,1
"01JAN2014","31DEC2014","Cluster 12",2014,"Cluster 12",19,0.9,1
"01JAN2015","31DEC2015","Cluster 12",2015,"Cluster 12",20,0.9,1
"01JAN2016","31DEC2016","Cluster 12",2016,"Cluster 12",13,0.8,1
"01JAN2017","31DEC2017","Cluster 12",2017,"Cluster 12",15,0.7,1
"01JAN2018","31DEC2018","Cluster 12",2018,"Cluster 12",20,1.2,1
"01JAN2019","31DEC2019","Cluster 12",2019,"Cluster 12",21,1.1,1
"01JAN2000","31DEC2000","Cluster 13",2000,"Cluster 13",22,0.9,1
"01JAN2001","31DEC2001","Cluster 13",2001,"Cluster 13",17,1.3,1
"01JAN2002","31DEC2002","Cluster 13",2002,"Cluster 13",16,1.0,1
"01JAN2003","31DEC2003","Cluster 13",2003,"Cluster 13",19,0.6,1
"01JAN2004","31DEC2004","Cluster 13",2004,"Cluster 13",12,0.5,1
"01JAN2005","31DEC2005","Cluster 13",2005,"Cluster 13",12,0.5,1
"01JAN2006","31DEC2006","Cluster 13",2006,"Cluster 13",11,0.9,1
"01JAN2007","31DEC2007","Cluster 13",2007,"Cluster 13",12,0.6,1
"01JAN2008","31DEC2008","Cluster 13",2008,"Cluster 13",12,0.4,1
"01JAN2009","31DEC2009","Cluster 13",2009,"Cluster 13",14,0.7,1
"01JAN2010","31DEC2010","Cluster 13",2010,"Cluster 13",16,0.6,1
"01JAN2011","31DEC2011","Cluster 13",2011,"Cluster 13",13,0.5,1
"01JAN2012","31DEC2012","Cluster 13",2012,"Cluster 13",11,0.6,1
"01JAN2013","31DEC2013","Cluster 13",2013,"Cluster 13",15,0.3,1
"01JAN2014","31DEC2014","Cluster 13",2014,"Cluster 13",11,0.2,1
"01JAN2015","31DEC2015","Cluster 13",2015,"Cluster 13",10,0.6,1
"01JAN2016","31DEC2016","Cluster 13",2016,"Cluster 13",12,0.8,1
"01JAN2017","31DEC2017","Cluster 13",2017,"Cluster 13",12,0.5,1
"01JAN2018","31DEC2018","Cluster 13",2018,"Cluster 13",19,0.3,1
"01JAN2019","31DEC2019","Cluster 13",2019,"Cluster 13",14,0.6,1
"01JAN2000","31DEC2000","Cluster 14",2000,"Cluster 14",17,1.7,1
"01JAN2001","31DEC2001","Cluster 14",2001,"Cluster 14",20,1.5,1
"01JAN2002","31DEC2002","Cluster 14",2002,"Cluster 14",14,1.6,1
"01JAN2003","31DEC2003","Cluster 14",2003,"Cluster 14",14,0.7,1
"01JAN2004","31DEC2004","Cluster 14",2004,"Cluster 14",16,1.4,1
"01JAN2005","31DEC2005","Cluster 14",2005,"Cluster 14",16,1.2,1
"01JAN2006","31DEC2006","Cluster 14",2006,"Cluster 14",14,0.6,1
"01JAN2007","31DEC2007","Cluster 14",2007,"Cluster 14",12,0.9,1
"01JAN2008","31DEC2008","Cluster 14",2008,"Cluster 14",13,0.9,1
"01JAN2009","31DEC2009","Cluster 14",2009,"Cluster 14",14,0.9,1
"01JAN2010","31DEC2010","Cluster 14",2010,"Cluster 14",13,0.5,1
"01JAN2011","31DEC2011","Cluster 14",2011,"Cluster 14",9.6,0.9,1
"01JAN2012","31DEC2012","Cluster 14",2012,"Cluster 14",13,0.7,1
"01JAN2013","31DEC2013","Cluster 14",2013,"Cluster 14",12,0.5,1
"01JAN2014","31DEC2014","Cluster 14",2014,"Cluster 14",14,0.7,1
"01JAN2015","31DEC2015","Cluster 14",2015,"Cluster 14",15,0.5,1
"01JAN2016","31DEC2016","Cluster 14",2016,"Cluster 14",11,0.6,1
"01JAN2017","31DEC2017","Cluster 14",2017,"Cluster 14",10,0.7,1
"01JAN2018","31DEC2018","Cluster 14",2018,"Cluster 14",14,0.4,1
"01JAN2019","31DEC2019","Cluster 14",2019,"Cluster 14",15,0.8,1
"01JAN2000","31DEC2000","Cluster 15",2000,"Cluster 15",42,2.9,1
"01JAN2001","31DEC2001","Cluster 15",2001,"Cluster 15",34,4.8,1
"01JAN2002","31DEC2002","Cluster 15",2002,"Cluster 15",32,3.3,1
"01JAN2003","31DEC2003","Cluster 15",2003,"Cluster 15",38,2.4,1
"01JAN2004","31DEC2004","Cluster 15",2004,"Cluster 15",28,2.2,1
"01JAN2005","31DEC2005","Cluster 15",2005,"Cluster 15",24,2.8,1
"01JAN2006","31DEC2006","Cluster 15",2006,"Cluster 15",22,2.5,1
"01JAN2007","31DEC2007","Cluster 15",2007,"Cluster 15",22,1.7,1
"01JAN2008","31DEC2008","Cluster 15",2008,"Cluster 15",26,2.3,1
"01JAN2009","31DEC2009","Cluster 15",2009,"Cluster 15",30,2.4,1
"01JAN2010","31DEC2010","Cluster 15",2010,"Cluster 15",24,2.2,1
"01JAN2011","31DEC2011","Cluster 15",2011,"Cluster 15",27,2.3,1
"01JAN2012","31DEC2012","Cluster 15",2012,"Cluster 15",25,2.0,1
"01JAN2013","31DEC2013","Cluster 15",2013,"Cluster 15",20,1.6,1
"01JAN2014","31DEC2014","Cluster 15",2014,"Cluster 15",21,1.6,1
"01JAN2015","31DEC2015","Cluster 15",2015,"Cluster 15",24,1.1,1
"01JAN2016","31DEC2016","Cluster 15",2016,"Cluster 15",24,1.2,1
"01JAN2017","31DEC2017","Cluster 15",2017,"Cluster 15",19,1.1,1
"01JAN2018","31DEC2018","Cluster 15",2018,"Cluster 15",25,0.7,1
"01JAN2019","31DEC2019","Cluster 15",2019,"Cluster 15",27,1.3,1
"01JAN2000","31DEC2000","Cluster 16",2000,"Cluster 16",36,5.0,1
"01JAN2001","31DEC2001","Cluster 16",2001,"Cluster 16",42,5.3,1
"01JAN2002","31DEC2002","Cluster 16",2002,"Cluster 16",42,2.5,1
"01JAN2003","31DEC2003","Cluster 16",2003,"Cluster 16",45,5.3,1
"01JAN2004","31DEC2004","Cluster 16",2004,"Cluster 16",28,4.3,1
"01JAN2005","31DEC2005","Cluster 16",2005,"Cluster 16",31,5.4,1
"01JAN2006","31DEC2006","Cluster 16",2006,"Cluster 16",27,5.4,1
"01JAN2007","31DEC2007","Cluster 16",2007,"Cluster 16",35,6.2,1
"01JAN2008","31DEC2008","Cluster 16",2008,"Cluster 16",36,6.7,1
"01JAN2009","31DEC2009","Cluster 16",2009,"Cluster 16",44,2.8,1
"01JAN2010","31DEC2010","Cluster 16",2010,"Cluster 16",35,4.2,1
"01JAN2011","31DEC2011","Cluster 16",2011,"Cluster 16",34,2.9,1
"01JAN2012","31DEC2012","Cluster 16",2012,"Cluster 16",50,5.7,1
"01JAN2013","31DEC2013","Cluster 16",2013,"Cluster 16",38,5.5,1
"01JAN2014","31DEC2014","Cluster 16",2014,"Cluster 16",56,3.6,1
"01JAN2015","31DEC2015","Cluster 16",2015,"Cluster 16",46,2.9,1
"01JAN2016","31DEC2016","Cluster 16",2016,"Cluster 16",35,5.5,1
"01JAN2017","31DEC2017","Cluster 16",2017,"Cluster 16",34,2.1,1
"01JAN2018","31DEC2018","Cluster 16",2018,"Cluster 16",54,3.4,1
"01JAN2019","31DEC2019","Cluster 16",2019,"Cluster 16",70,2.3,1
"01JAN2000","31DEC2000","Cluster 17",2000,"Cluster 17",39,9.3,1
"01JAN2001","31DEC2001","Cluster 17",2001,"Cluster 17",44,8.5,1
"01JAN2002","31DEC2002","Cluster 17",2002,"Cluster 17",48,11,1
"01JAN2003","31DEC2003","Cluster 17",2003,"Cluster 17",43,15,1
"01JAN2004","31DEC2004","Cluster 17",2004,"Cluster 17",37,13,1
"01JAN2005","31DEC2005","Cluster 17",2005,"Cluster 17",36,11,1
"01JAN2006","31DEC2006","Cluster 17",2006,"Cluster 17",29,11,1
"01JAN2007","31DEC2007","Cluster 17",2007,"Cluster 17",33,13,1
"01JAN2008","31DEC2008","Cluster 17",2008,"Cluster 17",34,9.9,1
"01JAN2009","31DEC2009","Cluster 17",2009,"Cluster 17",31,11,1
"01JAN2010","31DEC2010","Cluster 17",2010,"Cluster 17",31,8.3,1
"01JAN2011","31DEC2011","Cluster 17",2011,"Cluster 17",35,8.1,1
"01JAN2012","31DEC2012","Cluster 17",2012,"Cluster 17",32,9.5,1
"01JAN2013","31DEC2013","Cluster 17",2013,"Cluster 17",40,7.9,1
"01JAN2014","31DEC2014","Cluster 17",2014,"Cluster 17",54,6.8,1
"01JAN2015","31DEC2015","Cluster 17",2015,"Cluster 17",51,8.6,1
"01JAN2016","31DEC2016","Cluster 17",2016,"Cluster 17",39,6.7,1
"01JAN2017","31DEC2017","Cluster 17",2017,"Cluster 17",36,3.8,1
"01JAN2018","31DEC2018","Cluster 17",2018,"Cluster 17",46,4.2,1
"01JAN2019","31DEC2019","Cluster 17",2019,"Cluster 17",39,4.0,1
"01JAN2000","31DEC2000","Cluster 18",2000,"Cluster 18",42,12,1
"01JAN2001","31DEC2001","Cluster 18",2001,"Cluster 18",38,9.2,1
"01JAN2002","31DEC2002","Cluster 18",2002,"Cluster 18",46,12,1
