"start_date","end_date","psa2012","timeframe","psa2012_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2017","31DEC2017","PSA 104",2017,104,77,7.4,1
"01JAN2018","31DEC2018","PSA 104",2018,104,82,7.1,1
"01JAN2000","31DEC2000","PSA 105",2000,105,67,17,1
"01JAN2001","31DEC2001","PSA 105",2001,105,69,15,1
"01JAN2002","31DEC2002","PSA 105",2002,105,56,14,1
"01JAN2003","31DEC2003","PSA 105",2003,105,48,15,1
"01JAN2004","31DEC2004","PSA 105",2004,105,43,13,1
"01JAN2005","31DEC2005","PSA 105",2005,105,46,13,1
"01JAN2006","31DEC2006","PSA 105",2006,105,51,16,1
"01JAN2007","31DEC2007","PSA 105",2007,105,44,17,1
"01JAN2008","31DEC2008","PSA 105",2008,105,38,13,1
"01JAN2009","31DEC2009","PSA 105",2009,105,35,10,1
"01JAN2010","31DEC2010","PSA 105",2010,105,34,9.5,1
"01JAN2011","31DEC2011","PSA 105",2011,105,36,11,1
"01JAN2012","31DEC2012","PSA 105",2012,105,43,8.3,1
"01JAN2013","31DEC2013","PSA 105",2013,105,44,8.5,1
"01JAN2014","31DEC2014","PSA 105",2014,105,42,6.8,1
"01JAN2015","31DEC2015","PSA 105",2015,105,43,8.1,1
"01JAN2016","31DEC2016","PSA 105",2016,105,47,8.4,1
"01JAN2017","31DEC2017","PSA 105",2017,105,49,6.0,1
"01JAN2018","31DEC2018","PSA 105",2018,105,49,5.6,1
"01JAN2000","31DEC2000","PSA 106",2000,106,109,29,1
"01JAN2001","31DEC2001","PSA 106",2001,106,119,26,1
"01JAN2002","31DEC2002","PSA 106",2002,106,96,27,1
"01JAN2003","31DEC2003","PSA 106",2003,106,68,25,1
"01JAN2004","31DEC2004","PSA 106",2004,106,59,17,1
"01JAN2005","31DEC2005","PSA 106",2005,106,48,16,1
"01JAN2006","31DEC2006","PSA 106",2006,106,51,11,1
"01JAN2007","31DEC2007","PSA 106",2007,106,48,12,1
"01JAN2008","31DEC2008","PSA 106",2008,106,40,10,1
"01JAN2009","31DEC2009","PSA 106",2009,106,47,10,1
"01JAN2010","31DEC2010","PSA 106",2010,106,40,10,1
"01JAN2011","31DEC2011","PSA 106",2011,106,46,7.3,1
"01JAN2012","31DEC2012","PSA 106",2012,106,51,8.6,1
"01JAN2013","31DEC2013","PSA 106",2013,106,56,7.3,1
"01JAN2014","31DEC2014","PSA 106",2014,106,57,6.3,1
"01JAN2015","31DEC2015","PSA 106",2015,106,61,9.0,1
"01JAN2016","31DEC2016","PSA 106",2016,106,60,9.3,1
"01JAN2017","31DEC2017","PSA 106",2017,106,53,4.1,1
"01JAN2018","31DEC2018","PSA 106",2018,106,67,4.0,1
"01JAN2000","31DEC2000","PSA 107",2000,107,64,12,1
"01JAN2001","31DEC2001","PSA 107",2001,107,89,13,1
"01JAN2002","31DEC2002","PSA 107",2002,107,71,15,1
"01JAN2003","31DEC2003","PSA 107",2003,107,67,13,1
"01JAN2004","31DEC2004","PSA 107",2004,107,64,9.4,1
"01JAN2005","31DEC2005","PSA 107",2005,107,64,8.6,1
"01JAN2006","31DEC2006","PSA 107",2006,107,44,8.7,1
"01JAN2007","31DEC2007","PSA 107",2007,107,51,8.6,1
"01JAN2008","31DEC2008","PSA 107",2008,107,56,9.1,1
"01JAN2009","31DEC2009","PSA 107",2009,107,52,8.8,1
"01JAN2010","31DEC2010","PSA 107",2010,107,43,4.5,1
"01JAN2011","31DEC2011","PSA 107",2011,107,48,5.8,1
"01JAN2012","31DEC2012","PSA 107",2012,107,64,6.1,1
"01JAN2013","31DEC2013","PSA 107",2013,107,69,5.7,1
"01JAN2014","31DEC2014","PSA 107",2014,107,70,4.8,1
"01JAN2015","31DEC2015","PSA 107",2015,107,67,6.3,1
"01JAN2016","31DEC2016","PSA 107",2016,107,62,5.9,1
"01JAN2017","31DEC2017","PSA 107",2017,107,55,3.4,1
"01JAN2018","31DEC2018","PSA 107",2018,107,54,3.5,1
"01JAN2000","31DEC2000","PSA 108",2000,108,37,11,1
"01JAN2001","31DEC2001","PSA 108",2001,108,55,14,1
"01JAN2002","31DEC2002","PSA 108",2002,108,43,12,1
"01JAN2003","31DEC2003","PSA 108",2003,108,45,11,1
"01JAN2004","31DEC2004","PSA 108",2004,108,40,9.6,1
"01JAN2005","31DEC2005","PSA 108",2005,108,44,10,1
"01JAN2006","31DEC2006","PSA 108",2006,108,37,11,1
"01JAN2007","31DEC2007","PSA 108",2007,108,36,11,1
"01JAN2008","31DEC2008","PSA 108",2008,108,43,11,1
"01JAN2009","31DEC2009","PSA 108",2009,108,39,11,1
"01JAN2010","31DEC2010","PSA 108",2010,108,35,8.6,1
"01JAN2011","31DEC2011","PSA 108",2011,108,34,7.5,1
"01JAN2012","31DEC2012","PSA 108",2012,108,37,8.4,1
"01JAN2013","31DEC2013","PSA 108",2013,108,40,7.4,1
"01JAN2014","31DEC2014","PSA 108",2014,108,41,7.1,1
"01JAN2015","31DEC2015","PSA 108",2015,108,37,8.3,1
"01JAN2016","31DEC2016","PSA 108",2016,108,35,7.6,1
"01JAN2017","31DEC2017","PSA 108",2017,108,29,4.9,1
"01JAN2018","31DEC2018","PSA 108",2018,108,29,5.8,1
"01JAN2000","31DEC2000","PSA 201",2000,201,19,1.3,1
"01JAN2001","31DEC2001","PSA 201",2001,201,18,2.5,1
"01JAN2002","31DEC2002","PSA 201",2002,201,17,1.8,1
"01JAN2003","31DEC2003","PSA 201",2003,201,21,1.6,1
"01JAN2004","31DEC2004","PSA 201",2004,201,15,1.7,1
"01JAN2005","31DEC2005","PSA 201",2005,201,16,0.8,1
"01JAN2006","31DEC2006","PSA 201",2006,201,12,1.0,1
"01JAN2007","31DEC2007","PSA 201",2007,201,14,1.0,1
"01JAN2008","31DEC2008","PSA 201",2008,201,14,1.0,1
"01JAN2009","31DEC2009","PSA 201",2009,201,20,0.9,1
"01JAN2010","31DEC2010","PSA 201",2010,201,17,0.6,1
"01JAN2011","31DEC2011","PSA 201",2011,201,16,1.2,1
"01JAN2012","31DEC2012","PSA 201",2012,201,18,0.8,1
"01JAN2013","31DEC2013","PSA 201",2013,201,24,0.6,1
"01JAN2014","31DEC2014","PSA 201",2014,201,21,1.3,1
"01JAN2015","31DEC2015","PSA 201",2015,201,16,0.8,1
"01JAN2016","31DEC2016","PSA 201",2016,201,18,1.0,1
"01JAN2017","31DEC2017","PSA 201",2017,201,15,0.7,1
"01JAN2018","31DEC2018","PSA 201",2018,201,20,0.2,1
"01JAN2000","31DEC2000","PSA 202",2000,202,59,6.3,1
"01JAN2001","31DEC2001","PSA 202",2001,202,52,6.3,1
"01JAN2002","31DEC2002","PSA 202",2002,202,52,5.4,1
"01JAN2003","31DEC2003","PSA 202",2003,202,53,4.6,1
"01JAN2004","31DEC2004","PSA 202",2004,202,51,4.0,1
"01JAN2005","31DEC2005","PSA 202",2005,202,42,4.0,1
"01JAN2006","31DEC2006","PSA 202",2006,202,34,4.1,1
"01JAN2007","31DEC2007","PSA 202",2007,202,46,4.3,1
"01JAN2008","31DEC2008","PSA 202",2008,202,53,3.6,1
"01JAN2009","31DEC2009","PSA 202",2009,202,52,3.9,1
"01JAN2010","31DEC2010","PSA 202",2010,202,44,4.3,1
"01JAN2011","31DEC2011","PSA 202",2011,202,43,3.4,1
"01JAN2012","31DEC2012","PSA 202",2012,202,46,2.6,1
"01JAN2013","31DEC2013","PSA 202",2013,202,59,1.9,1
"01JAN2014","31DEC2014","PSA 202",2014,202,53,2.7,1
"01JAN2015","31DEC2015","PSA 202",2015,202,52,2.4,1
"01JAN2016","31DEC2016","PSA 202",2016,202,41,2.6,1
"01JAN2017","31DEC2017","PSA 202",2017,202,39,1.6,1
"01JAN2018","31DEC2018","PSA 202",2018,202,49,2.2,1
"01JAN2000","31DEC2000","PSA 203",2000,203,32,2.5,1
"01JAN2001","31DEC2001","PSA 203",2001,203,28,3.5,1
"01JAN2002","31DEC2002","PSA 203",2002,203,27,3.0,1
"01JAN2003","31DEC2003","PSA 203",2003,203,31,1.8,1
"01JAN2004","31DEC2004","PSA 203",2004,203,26,1.4,1
"01JAN2005","31DEC2005","PSA 203",2005,203,21,1.7,1
"01JAN2006","31DEC2006","PSA 203",2006,203,19,1.8,1
"01JAN2007","31DEC2007","PSA 203",2007,203,20,1.3,1
"01JAN2008","31DEC2008","PSA 203",2008,203,24,1.3,1
"01JAN2009","31DEC2009","PSA 203",2009,203,24,1.6,1
"01JAN2010","31DEC2010","PSA 203",2010,203,20,1.6,1
"01JAN2011","31DEC2011","PSA 203",2011,203,21,1.2,1
"01JAN2012","31DEC2012","PSA 203",2012,203,18,1.0,1
"01JAN2013","31DEC2013","PSA 203",2013,203,20,1.2,1
"01JAN2014","31DEC2014","PSA 203",2014,203,20,1.0,1
"01JAN2015","31DEC2015","PSA 203",2015,203,21,0.9,1
"01JAN2016","31DEC2016","PSA 203",2016,203,17,1.1,1
"01JAN2017","31DEC2017","PSA 203",2017,203,16,0.7,1
"01JAN2018","31DEC2018","PSA 203",2018,203,23,1.0,1
"01JAN2000","31DEC2000","PSA 204",2000,204,31,2.3,1
"01JAN2001","31DEC2001","PSA 204",2001,204,28,2.9,1
"01JAN2002","31DEC2002","PSA 204",2002,204,23,2.4,1
"01JAN2003","31DEC2003","PSA 204",2003,204,24,1.4,1
"01JAN2004","31DEC2004","PSA 204",2004,204,22,2.1,1
"01JAN2005","31DEC2005","PSA 204",2005,204,21,2.1,1
"01JAN2006","31DEC2006","PSA 204",2006,204,19,1.5,1
"01JAN2007","31DEC2007","PSA 204",2007,204,17,1.7,1
"01JAN2008","31DEC2008","PSA 204",2008,204,19,1.5,1
"01JAN2009","31DEC2009","PSA 204",2009,204,21,1.6,1
"01JAN2010","31DEC2010","PSA 204",2010,204,19,1.5,1
"01JAN2011","31DEC2011","PSA 204",2011,204,18,1.8,1
"01JAN2012","31DEC2012","PSA 204",2012,204,19,1.4,1
"01JAN2013","31DEC2013","PSA 204",2013,204,15,0.9,1
"01JAN2014","31DEC2014","PSA 204",2014,204,17,1.1,1
"01JAN2015","31DEC2015","PSA 204",2015,204,19,0.9,1
"01JAN2016","31DEC2016","PSA 204",2016,204,17,0.9,1
"01JAN2017","31DEC2017","PSA 204",2017,204,15,1.0,1
"01JAN2018","31DEC2018","PSA 204",2018,204,18,0.5,1
"01JAN2000","31DEC2000","PSA 205",2000,205,20,0.8,1
"01JAN2001","31DEC2001","PSA 205",2001,205,17,1.2,1
"01JAN2002","31DEC2002","PSA 205",2002,205,14,0.8,1
"01JAN2003","31DEC2003","PSA 205",2003,205,17,0.5,1
"01JAN2004","31DEC2004","PSA 205",2004,205,11,0.6,1
"01JAN2005","31DEC2005","PSA 205",2005,205,11,0.5,1
"01JAN2006","31DEC2006","PSA 205",2006,205,10,0.8,1
"01JAN2007","31DEC2007","PSA 205",2007,205,11,0.6,1
"01JAN2008","31DEC2008","PSA 205",2008,205,12,0.4,1
"01JAN2009","31DEC2009","PSA 205",2009,205,13,0.6,1
"01JAN2010","31DEC2010","PSA 205",2010,205,14,0.5,1
"01JAN2011","31DEC2011","PSA 205",2011,205,12,0.4,1
"01JAN2012","31DEC2012","PSA 205",2012,205,10,0.5,1
"01JAN2013","31DEC2013","PSA 205",2013,205,13,0.4,1
"01JAN2014","31DEC2014","PSA 205",2014,205,12,0.3,1
"01JAN2015","31DEC2015","PSA 205",2015,205,11,0.5,1
"01JAN2016","31DEC2016","PSA 205",2016,205,12,0.6,1
"01JAN2017","31DEC2017","PSA 205",2017,205,11,0.5,1
"01JAN2018","31DEC2018","PSA 205",2018,205,16,0.3,1
"01JAN2000","31DEC2000","PSA 206",2000,206,64,7.8,1
"01JAN2001","31DEC2001","PSA 206",2001,206,63,7.5,1
"01JAN2002","31DEC2002","PSA 206",2002,206,51,6.9,1
"01JAN2003","31DEC2003","PSA 206",2003,206,51,6.7,1
"01JAN2004","31DEC2004","PSA 206",2004,206,53,6.3,1
"01JAN2005","31DEC2005","PSA 206",2005,206,54,5.3,1
"01JAN2006","31DEC2006","PSA 206",2006,206,48,6.5,1
"01JAN2007","31DEC2007","PSA 206",2007,206,53,7.1,1
"01JAN2008","31DEC2008","PSA 206",2008,206,55,4.5,1
"01JAN2009","31DEC2009","PSA 206",2009,206,53,4.3,1
"01JAN2010","31DEC2010","PSA 206",2010,206,49,6.0,1
"01JAN2011","31DEC2011","PSA 206",2011,206,53,4.5,1
"01JAN2012","31DEC2012","PSA 206",2012,206,55,3.0,1
"01JAN2013","31DEC2013","PSA 206",2013,206,56,3.1,1
"01JAN2014","31DEC2014","PSA 206",2014,206,62,3.2,1
"01JAN2015","31DEC2015","PSA 206",2015,206,62,2.9,1
"01JAN2016","31DEC2016","PSA 206",2016,206,56,3.2,1
"01JAN2017","31DEC2017","PSA 206",2017,206,58,2.1,1
"01JAN2018","31DEC2018","PSA 206",2018,206,71,2.5,1
"01JAN2000","31DEC2000","PSA 207",2000,207,193,15,1
"01JAN2001","31DEC2001","PSA 207",2001,207,142,13,1
"01JAN2002","31DEC2002","PSA 207",2002,207,132,12,1
"01JAN2003","31DEC2003","PSA 207",2003,207,105,10,1
"01JAN2004","31DEC2004","PSA 207",2004,207,84,10,1
"01JAN2005","31DEC2005","PSA 207",2005,207,84,8.2,1
"01JAN2006","31DEC2006","PSA 207",2006,207,68,7.8,1
"01JAN2007","31DEC2007","PSA 207",2007,207,69,7.2,1
"01JAN2008","31DEC2008","PSA 207",2008,207,78,8.8,1
"01JAN2009","31DEC2009","PSA 207",2009,207,72,7.8,1
"01JAN2010","31DEC2010","PSA 207",2010,207,64,7.3,1
"01JAN2011","31DEC2011","PSA 207",2011,207,64,8.2,1
"01JAN2012","31DEC2012","PSA 207",2012,207,75,7.0,1
"01JAN2013","31DEC2013","PSA 207",2013,207,65,5.4,1
"01JAN2014","31DEC2014","PSA 207",2014,207,78,5.3,1
"01JAN2015","31DEC2015","PSA 207",2015,207,77,5.9,1
"01JAN2016","31DEC2016","PSA 207",2016,207,75,6.2,1
"01JAN2017","31DEC2017","PSA 207",2017,207,58,5.1,1
"01JAN2018","31DEC2018","PSA 207",2018,207,71,5.6,1
"01JAN2000","31DEC2000","PSA 208",2000,208,97,10,1
"01JAN2001","31DEC2001","PSA 208",2001,208,90,12,1
"01JAN2002","31DEC2002","PSA 208",2002,208,88,12,1
"01JAN2003","31DEC2003","PSA 208",2003,208,82,13,1
"01JAN2004","31DEC2004","PSA 208",2004,208,66,11,1
"01JAN2005","31DEC2005","PSA 208",2005,208,65,9.4,1
"01JAN2006","31DEC2006","PSA 208",2006,208,60,8.4,1
"01JAN2007","31DEC2007","PSA 208",2007,208,64,9.6,1
"01JAN2008","31DEC2008","PSA 208",2008,208,68,9.0,1
"01JAN2009","31DEC2009","PSA 208",2009,208,68,7.8,1
"01JAN2010","31DEC2010","PSA 208",2010,208,57,8.7,1
"01JAN2011","31DEC2011","PSA 208",2011,208,68,10,1
"01JAN2012","31DEC2012","PSA 208",2012,208,74,9.2,1
"01JAN2013","31DEC2013","PSA 208",2013,208,65,5.9,1
"01JAN2014","31DEC2014","PSA 208",2014,208,72,5.6,1
"01JAN2015","31DEC2015","PSA 208",2015,208,76,5.4,1
"01JAN2016","31DEC2016","PSA 208",2016,208,79,6.2,1
"01JAN2017","31DEC2017","PSA 208",2017,208,60,5.0,1
"01JAN2018","31DEC2018","PSA 208",2018,208,63,5.8,1
"01JAN2000","31DEC2000","PSA 301",2000,301,52,13,1
"01JAN2001","31DEC2001","PSA 301",2001,301,47,12,1
"01JAN2002","31DEC2002","PSA 301",2002,301,52,11,1
"01JAN2003","31DEC2003","PSA 301",2003,301,52,11,1
"01JAN2004","31DEC2004","PSA 301",2004,301,42,9.5,1
"01JAN2005","31DEC2005","PSA 301",2005,301,40,9.2,1
"01JAN2006","31DEC2006","PSA 301",2006,301,47,8.9,1
"01JAN2007","31DEC2007","PSA 301",2007,301,47,11,1
"01JAN2008","31DEC2008","PSA 301",2008,301,47,10,1
"01JAN2009","31DEC2009","PSA 301",2009,301,53,8.4,1
"01JAN2010","31DEC2010","PSA 301",2010,301,42,8.1,1
"01JAN2011","31DEC2011","PSA 301",2011,301,49,8.3,1
"01JAN2012","31DEC2012","PSA 301",2012,301,60,8.6,1
"01JAN2013","31DEC2013","PSA 301",2013,301,52,10,1
"01JAN2014","31DEC2014","PSA 301",2014,301,65,5.9,1
"01JAN2015","31DEC2015","PSA 301",2015,301,60,6.0,1
"01JAN2016","31DEC2016","PSA 301",2016,301,58,4.2,1
"01JAN2017","31DEC2017","PSA 301",2017,301,49,5.8,1
"01JAN2018","31DEC2018","PSA 301",2018,301,58,4.1,1
"01JAN2000","31DEC2000","PSA 302",2000,302,46,24,1
"01JAN2001","31DEC2001","PSA 302",2001,302,47,18,1
"01JAN2002","31DEC2002","PSA 302",2002,302,52,26,1
"01JAN2003","31DEC2003","PSA 302",2003,302,51,31,1
"01JAN2004","31DEC2004","PSA 302",2004,302,46,20,1
"01JAN2005","31DEC2005","PSA 302",2005,302,40,21,1
"01JAN2006","31DEC2006","PSA 302",2006,302,49,21,1
"01JAN2007","31DEC2007","PSA 302",2007,302,50,23,1
"01JAN2008","31DEC2008","PSA 302",2008,302,59,24,1
"01JAN2009","31DEC2009","PSA 302",2009,302,61,21,1
"01JAN2010","31DEC2010","PSA 302",2010,302,63,21,1
"01JAN2011","31DEC2011","PSA 302",2011,302,64,20,1
"01JAN2012","31DEC2012","PSA 302",2012,302,85,17,1
"01JAN2013","31DEC2013","PSA 302",2013,302,89,19,1
"01JAN2014","31DEC2014","PSA 302",2014,302,90,14,1
"01JAN2015","31DEC2015","PSA 302",2015,302,93,16,1
"01JAN2016","31DEC2016","PSA 302",2016,302,80,12,1
"01JAN2017","31DEC2017","PSA 302",2017,302,80,7.8,1
"01JAN2018","31DEC2018","PSA 302",2018,302,75,8.8,1
"01JAN2000","31DEC2000","PSA 303",2000,303,53,9.1,1
"01JAN2001","31DEC2001","PSA 303",2001,303,62,13,1
"01JAN2002","31DEC2002","PSA 303",2002,303,60,15,1
"01JAN2003","31DEC2003","PSA 303",2003,303,63,14,1
"01JAN2004","31DEC2004","PSA 303",2004,303,44,14,1
"01JAN2005","31DEC2005","PSA 303",2005,303,45,13,1
"01JAN2006","31DEC2006","PSA 303",2006,303,51,12,1
"01JAN2007","31DEC2007","PSA 303",2007,303,49,13,1
"01JAN2008","31DEC2008","PSA 303",2008,303,43,12,1
"01JAN2009","31DEC2009","PSA 303",2009,303,40,11,1
"01JAN2010","31DEC2010","PSA 303",2010,303,37,9.9,1
"01JAN2011","31DEC2011","PSA 303",2011,303,43,10,1
"01JAN2012","31DEC2012","PSA 303",2012,303,43,9.4,1
"01JAN2013","31DEC2013","PSA 303",2013,303,46,8.9,1
"01JAN2014","31DEC2014","PSA 303",2014,303,48,4.9,1
"01JAN2015","31DEC2015","PSA 303",2015,303,40,7.0,1
"01JAN2016","31DEC2016","PSA 303",2016,303,40,5.1,1
"01JAN2017","31DEC2017","PSA 303",2017,303,31,3.4,1
"01JAN2018","31DEC2018","PSA 303",2018,303,32,3.5,1
"01JAN2000","31DEC2000","PSA 304",2000,304,41,16,1
"01JAN2001","31DEC2001","PSA 304",2001,304,49,21,1
"01JAN2002","31DEC2002","PSA 304",2002,304,50,18,1
"01JAN2003","31DEC2003","PSA 304",2003,304,47,19,1
"01JAN2004","31DEC2004","PSA 304",2004,304,43,16,1
"01JAN2005","31DEC2005","PSA 304",2005,304,39,19,1
"01JAN2006","31DEC2006","PSA 304",2006,304,43,16,1
"01JAN2007","31DEC2007","PSA 304",2007,304,40,11,1
"01JAN2008","31DEC2008","PSA 304",2008,304,40,14,1
"01JAN2009","31DEC2009","PSA 304",2009,304,37,11,1
"01JAN2010","31DEC2010","PSA 304",2010,304,33,9.9,1
"01JAN2011","31DEC2011","PSA 304",2011,304,43,12,1
"01JAN2012","31DEC2012","PSA 304",2012,304,37,9.2,1
"01JAN2013","31DEC2013","PSA 304",2013,304,46,9.1,1
"01JAN2014","31DEC2014","PSA 304",2014,304,53,8.4,1
"01JAN2015","31DEC2015","PSA 304",2015,304,46,8.0,1
"01JAN2016","31DEC2016","PSA 304",2016,304,52,8.2,1
"01JAN2017","31DEC2017","PSA 304",2017,304,45,5.9,1
"01JAN2018","31DEC2018","PSA 304",2018,304,47,6.6,1
"01JAN2000","31DEC2000","PSA 305",2000,305,202,39,1
"01JAN2001","31DEC2001","PSA 305",2001,305,152,42,1
"01JAN2002","31DEC2002","PSA 305",2002,305,152,36,1
"01JAN2003","31DEC2003","PSA 305",2003,305,137,30,1
"01JAN2004","31DEC2004","PSA 305",2004,305,138,28,1
"01JAN2005","31DEC2005","PSA 305",2005,305,116,29,1
"01JAN2006","31DEC2006","PSA 305",2006,305,129,33,1
"01JAN2007","31DEC2007","PSA 305",2007,305,125,29,1
"01JAN2008","31DEC2008","PSA 305",2008,305,130,25,1
"01JAN2009","31DEC2009","PSA 305",2009,305,124,24,1
"01JAN2010","31DEC2010","PSA 305",2010,305,89,23,1
"01JAN2011","31DEC2011","PSA 305",2011,305,100,33,1
"01JAN2012","31DEC2012","PSA 305",2012,305,122,25,1
"01JAN2013","31DEC2013","PSA 305",2013,305,127,23,1
"01JAN2014","31DEC2014","PSA 305",2014,305,131,14,1
"01JAN2015","31DEC2015","PSA 305",2015,305,127,15,1
"01JAN2016","31DEC2016","PSA 305",2016,305,171,15,1
"01JAN2017","31DEC2017","PSA 305",2017,305,140,13,1
"01JAN2018","31DEC2018","PSA 305",2018,305,179,17,1
"01JAN2000","31DEC2000","PSA 306",2000,306,82,23,1
"01JAN2001","31DEC2001","PSA 306",2001,306,90,26,1
"01JAN2002","31DEC2002","PSA 306",2002,306,84,22,1
"01JAN2003","31DEC2003","PSA 306",2003,306,116,17,1
"01JAN2004","31DEC2004","PSA 306",2004,306,78,17,1
"01JAN2005","31DEC2005","PSA 306",2005,306,84,21,1
"01JAN2006","31DEC2006","PSA 306",2006,306,68,23,1
"01JAN2007","31DEC2007","PSA 306",2007,306,62,24,1
"01JAN2008","31DEC2008","PSA 306",2008,306,72,24,1
"01JAN2009","31DEC2009","PSA 306",2009,306,51,18,1
"01JAN2010","31DEC2010","PSA 306",2010,306,48,20,1
"01JAN2011","31DEC2011","PSA 306",2011,306,51,16,1
"01JAN2012","31DEC2012","PSA 306",2012,306,74,15,1
"01JAN2013","31DEC2013","PSA 306",2013,306,60,16,1
"01JAN2014","31DEC2014","PSA 306",2014,306,70,15,1
"01JAN2015","31DEC2015","PSA 306",2015,306,66,11,1
"01JAN2016","31DEC2016","PSA 306",2016,306,78,12,1
"01JAN2017","31DEC2017","PSA 306",2017,306,52,5.5,1
"01JAN2018","31DEC2018","PSA 306",2018,306,78,7.1,1
"01JAN2000","31DEC2000","PSA 307",2000,307,55,16,1
