"start_date","end_date","anc2012","timeframe","anc2012_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN2006","31DEC2006","ANC 2E",2006,"2E",7.5,0.0,1
"01JAN2007","31DEC2007","ANC 2E",2007,"2E",2.5,0.0,1
"01JAN2008","31DEC2008","ANC 2E",2008,"2E",3.9,0.0,1
"01JAN2009","31DEC2009","ANC 2E",2009,"2E",4.5,0.0,1
"01JAN2010","31DEC2010","ANC 2E",2010,"2E",1.4,0.0,1
"01JAN2011","31DEC2011","ANC 2E",2011,"2E",4.9,0.0,1
"01JAN2012","31DEC2012","ANC 2E",2012,"2E",6.5,0.0,1
"01JAN2013","31DEC2013","ANC 2E",2013,"2E",9.9,0.0,1
"01JAN2014","31DEC2014","ANC 2E",2014,"2E",6.8,0.0,1
"01JAN2015","31DEC2015","ANC 2E",2015,"2E",5.6,0.0,1
"01JAN2016","31DEC2016","ANC 2E",2016,"2E",4.8,0.0,1
"01JAN2003","31DEC2003","ANC 2F",2003,"2F",8.4,3.9,1
"01JAN2004","31DEC2004","ANC 2F",2004,"2F",8.2,8.9,1
"01JAN2005","31DEC2005","ANC 2F",2005,"2F",8.3,5.1,1
"01JAN2006","31DEC2006","ANC 2F",2006,"2F",9.3,9.9,1
"01JAN2007","31DEC2007","ANC 2F",2007,"2F",5.4,7.5,1
"01JAN2008","31DEC2008","ANC 2F",2008,"2F",9.7,8.3,1
"01JAN2009","31DEC2009","ANC 2F",2009,"2F",12,6.6,1
"01JAN2010","31DEC2010","ANC 2F",2010,"2F",5.8,3.4,1
"01JAN2011","31DEC2011","ANC 2F",2011,"2F",6.8,2.3,1
"01JAN2012","31DEC2012","ANC 2F",2012,"2F",9.0,4.0,1
"01JAN2013","31DEC2013","ANC 2F",2013,"2F",7.2,3.8,1
"01JAN2014","31DEC2014","ANC 2F",2014,"2F",11,2.9,1
"01JAN2015","31DEC2015","ANC 2F",2015,"2F",4.5,3.2,1
"01JAN2016","31DEC2016","ANC 2F",2016,"2F",11,1.8,1
"01JAN2003","31DEC2003","ANC 3B",2003,"3B",2.0,1.0,1
"01JAN2004","31DEC2004","ANC 3B",2004,"3B",4.6,0.9,1
"01JAN2005","31DEC2005","ANC 3B",2005,"3B",7.0,0.0,1
"01JAN2006","31DEC2006","ANC 3B",2006,"3B",10,1.0,1
"01JAN2007","31DEC2007","ANC 3B",2007,"3B",7.9,0.8,1
"01JAN2008","31DEC2008","ANC 3B",2008,"3B",8.0,1.4,1
"01JAN2009","31DEC2009","ANC 3B",2009,"3B",3.0,0.0,1
"01JAN2010","31DEC2010","ANC 3B",2010,"3B",7.4,0.0,1
"01JAN2011","31DEC2011","ANC 3B",2011,"3B",5.2,0.0,1
"01JAN2012","31DEC2012","ANC 3B",2012,"3B",7.5,0.6,1
"01JAN2013","31DEC2013","ANC 3B",2013,"3B",3.4,0.7,1
"01JAN2014","31DEC2014","ANC 3B",2014,"3B",7.2,0.0,1
"01JAN2015","31DEC2015","ANC 3B",2015,"3B",12,0.0,1
"01JAN2016","31DEC2016","ANC 3B",2016,"3B",7.3,0.0,1
"01JAN2003","31DEC2003","ANC 3C",2003,"3C",5.7,0.5,1
"01JAN2004","31DEC2004","ANC 3C",2004,"3C",5.0,0.5,1
"01JAN2005","31DEC2005","ANC 3C",2005,"3C",4.9,0.6,1
"01JAN2006","31DEC2006","ANC 3C",2006,"3C",7.5,0.5,1
"01JAN2007","31DEC2007","ANC 3C",2007,"3C",9.3,2.6,1
"01JAN2008","31DEC2008","ANC 3C",2008,"3C",6.8,0.5,1
"01JAN2009","31DEC2009","ANC 3C",2009,"3C",5.7,1.1,1
"01JAN2010","31DEC2010","ANC 3C",2010,"3C",4.0,0.0,1
"01JAN2011","31DEC2011","ANC 3C",2011,"3C",9.0,0.0,1
"01JAN2012","31DEC2012","ANC 3C",2012,"3C",6.3,0.0,1
"01JAN2013","31DEC2013","ANC 3C",2013,"3C",2.0,1.0,1
"01JAN2014","31DEC2014","ANC 3C",2014,"3C",2.8,0.0,1
"01JAN2015","31DEC2015","ANC 3C",2015,"3C",5.7,0.0,1
"01JAN2016","31DEC2016","ANC 3C",2016,"3C",7.4,0.0,1
"01JAN2003","31DEC2003","ANC 3D",2003,"3D",8.1,0.0,1
"01JAN2004","31DEC2004","ANC 3D",2004,"3D",5.7,0.5,1
"01JAN2005","31DEC2005","ANC 3D",2005,"3D",8.3,0.6,1
"01JAN2006","31DEC2006","ANC 3D",2006,"3D",7.9,0.0,1
"01JAN2007","31DEC2007","ANC 3D",2007,"3D",7.5,1.1,1
"01JAN2008","31DEC2008","ANC 3D",2008,"3D",5.8,0.5,1
"01JAN2009","31DEC2009","ANC 3D",2009,"3D",9.2,0.0,1
"01JAN2010","31DEC2010","ANC 3D",2010,"3D",6.2,0.6,1
"01JAN2011","31DEC2011","ANC 3D",2011,"3D",4.9,0.0,1
"01JAN2012","31DEC2012","ANC 3D",2012,"3D",6.4,0.6,1
"01JAN2013","31DEC2013","ANC 3D",2013,"3D",8.0,0.0,1
"01JAN2014","31DEC2014","ANC 3D",2014,"3D",6.6,0.0,1
"01JAN2015","31DEC2015","ANC 3D",2015,"3D",9.0,0.0,1
"01JAN2016","31DEC2016","ANC 3D",2016,"3D",8.3,0.0,1
"01JAN2003","31DEC2003","ANC 3E",2003,"3E",5.7,0.6,1
"01JAN2004","31DEC2004","ANC 3E",2004,"3E",2.5,0.0,1
"01JAN2005","31DEC2005","ANC 3E",2005,"3E",7.4,0.0,1
"01JAN2006","31DEC2006","ANC 3E",2006,"3E",6.9,0.0,1
"01JAN2007","31DEC2007","ANC 3E",2007,"3E",2.3,0.8,1
"01JAN2008","31DEC2008","ANC 3E",2008,"3E",11,0.8,1
"01JAN2009","31DEC2009","ANC 3E",2009,"3E",5.6,0.0,1
"01JAN2010","31DEC2010","ANC 3E",2010,"3E",3.8,0.0,1
"01JAN2011","31DEC2011","ANC 3E",2011,"3E",6.1,0.0,1
"01JAN2012","31DEC2012","ANC 3E",2012,"3E",9.1,0.0,1
"01JAN2013","31DEC2013","ANC 3E",2013,"3E",4.3,0.9,1
"01JAN2014","31DEC2014","ANC 3E",2014,"3E",5.0,0.0,1
"01JAN2015","31DEC2015","ANC 3E",2015,"3E",8.5,1.1,1
"01JAN2016","31DEC2016","ANC 3E",2016,"3E",8.7,1.0,1
"01JAN2003","31DEC2003","ANC 3F",2003,"3F",4.4,0.0,1
"01JAN2004","31DEC2004","ANC 3F",2004,"3F",2.8,0.7,1
"01JAN2005","31DEC2005","ANC 3F",2005,"3F",10,0.0,1
"01JAN2006","31DEC2006","ANC 3F",2006,"3F",12,0.0,1
"01JAN2007","31DEC2007","ANC 3F",2007,"3F",6.0,0.8,1
"01JAN2008","31DEC2008","ANC 3F",2008,"3F",7.4,0.9,1
"01JAN2009","31DEC2009","ANC 3F",2009,"3F",6.3,0.8,1
"01JAN2010","31DEC2010","ANC 3F",2010,"3F",8.4,0.0,1
"01JAN2011","31DEC2011","ANC 3F",2011,"3F",11,0.0,1
"01JAN2012","31DEC2012","ANC 3F",2012,"3F",7.7,0.7,1
"01JAN2013","31DEC2013","ANC 3F",2013,"3F",4.0,0.0,1
"01JAN2014","31DEC2014","ANC 3F",2014,"3F",1.6,0.0,1
"01JAN2015","31DEC2015","ANC 3F",2015,"3F",7.9,0.0,1
"01JAN2016","31DEC2016","ANC 3F",2016,"3F",4.3,0.7,1
"01JAN2003","31DEC2003","ANC 3G",2003,"3G",8.1,0.0,1
"01JAN2004","31DEC2004","ANC 3G",2004,"3G",7.4,0.5,1
"01JAN2005","31DEC2005","ANC 3G",2005,"3G",9.7,0.5,1
"01JAN2006","31DEC2006","ANC 3G",2006,"3G",5.5,0.0,1
"01JAN2007","31DEC2007","ANC 3G",2007,"3G",9.6,0.0,1
"01JAN2008","31DEC2008","ANC 3G",2008,"3G",6.8,0.6,1
"01JAN2009","31DEC2009","ANC 3G",2009,"3G",6.7,0.0,1
"01JAN2010","31DEC2010","ANC 3G",2010,"3G",4.6,0.7,1
"01JAN2011","31DEC2011","ANC 3G",2011,"3G",5.3,0.0,1
"01JAN2012","31DEC2012","ANC 3G",2012,"3G",4.0,0.0,1
"01JAN2013","31DEC2013","ANC 3G",2013,"3G",7.8,0.0,1
"01JAN2014","31DEC2014","ANC 3G",2014,"3G",5.1,0.0,1
"01JAN2015","31DEC2015","ANC 3G",2015,"3G",7.8,0.8,1
"01JAN2016","31DEC2016","ANC 3G",2016,"3G",6.7,0.0,1
"01JAN2003","31DEC2003","ANC 4A",2003,"4A",13,5.1,1
"01JAN2004","31DEC2004","ANC 4A",2004,"4A",8.9,6.5,1
"01JAN2005","31DEC2005","ANC 4A",2005,"4A",10,4.9,1
"01JAN2006","31DEC2006","ANC 4A",2006,"4A",9.9,5.7,1
"01JAN2007","31DEC2007","ANC 4A",2007,"4A",5.3,5.6,1
"01JAN2008","31DEC2008","ANC 4A",2008,"4A",4.7,6.1,1
"01JAN2009","31DEC2009","ANC 4A",2009,"4A",7.2,3.9,1
"01JAN2010","31DEC2010","ANC 4A",2010,"4A",7.5,5.0,1
"01JAN2011","31DEC2011","ANC 4A",2011,"4A",6.7,5.2,1
"01JAN2012","31DEC2012","ANC 4A",2012,"4A",8.1,2.9,1
"01JAN2013","31DEC2013","ANC 4A",2013,"4A",11,4.8,1
"01JAN2014","31DEC2014","ANC 4A",2014,"4A",8.0,4.3,1
"01JAN2015","31DEC2015","ANC 4A",2015,"4A",5.9,3.5,1
"01JAN2016","31DEC2016","ANC 4A",2016,"4A",6.7,4.1,1
"01JAN2003","31DEC2003","ANC 4B",2003,"4B",14,10,1
"01JAN2004","31DEC2004","ANC 4B",2004,"4B",9.6,11,1
"01JAN2005","31DEC2005","ANC 4B",2005,"4B",11,8.8,1
"01JAN2006","31DEC2006","ANC 4B",2006,"4B",9.6,9.3,1
"01JAN2007","31DEC2007","ANC 4B",2007,"4B",11,10,1
"01JAN2008","31DEC2008","ANC 4B",2008,"4B",13,11,1
"01JAN2009","31DEC2009","ANC 4B",2009,"4B",10.0,11,1
"01JAN2010","31DEC2010","ANC 4B",2010,"4B",9.5,11,1
"01JAN2011","31DEC2011","ANC 4B",2011,"4B",7.8,8.1,1
"01JAN2012","31DEC2012","ANC 4B",2012,"4B",6.4,5.2,1
"01JAN2013","31DEC2013","ANC 4B",2013,"4B",8.2,4.8,1
"01JAN2014","31DEC2014","ANC 4B",2014,"4B",7.0,5.7,1
"01JAN2015","31DEC2015","ANC 4B",2015,"4B",7.4,3.4,1
"01JAN2016","31DEC2016","ANC 4B",2016,"4B",9.1,4.1,1
"01JAN2003","31DEC2003","ANC 4C",2003,"4C",8.4,12,1
"01JAN2004","31DEC2004","ANC 4C",2004,"4C",8.3,14,1
"01JAN2005","31DEC2005","ANC 4C",2005,"4C",11,12,1
"01JAN2006","31DEC2006","ANC 4C",2006,"4C",11,12,1
"01JAN2007","31DEC2007","ANC 4C",2007,"4C",12,12,1
"01JAN2008","31DEC2008","ANC 4C",2008,"4C",7.9,12,1
"01JAN2009","31DEC2009","ANC 4C",2009,"4C",6.2,9.5,1
"01JAN2010","31DEC2010","ANC 4C",2010,"4C",10,8.3,1
"01JAN2011","31DEC2011","ANC 4C",2011,"4C",5.4,6.7,1
"01JAN2012","31DEC2012","ANC 4C",2012,"4C",11,6.7,1
"01JAN2013","31DEC2013","ANC 4C",2013,"4C",6.7,5.9,1
"01JAN2014","31DEC2014","ANC 4C",2014,"4C",6.0,5.5,1
"01JAN2015","31DEC2015","ANC 4C",2015,"4C",9.1,5.5,1
"01JAN2016","31DEC2016","ANC 4C",2016,"4C",9.6,4.7,1
"01JAN2003","31DEC2003","ANC 4D",2003,"4D",11,18,1
"01JAN2004","31DEC2004","ANC 4D",2004,"4D",9.8,13,1
"01JAN2005","31DEC2005","ANC 4D",2005,"4D",11,14,1
"01JAN2006","31DEC2006","ANC 4D",2006,"4D",9.8,18,1
"01JAN2007","31DEC2007","ANC 4D",2007,"4D",11,14,1
"01JAN2008","31DEC2008","ANC 4D",2008,"4D",8.8,12,1
"01JAN2009","31DEC2009","ANC 4D",2009,"4D",9.1,11,1
"01JAN2010","31DEC2010","ANC 4D",2010,"4D",7.9,15,1
"01JAN2011","31DEC2011","ANC 4D",2011,"4D",11,9.9,1
"01JAN2012","31DEC2012","ANC 4D",2012,"4D",5.5,7.6,1
"01JAN2013","31DEC2013","ANC 4D",2013,"4D",11,7.1,1
"01JAN2014","31DEC2014","ANC 4D",2014,"4D",11,5.9,1
"01JAN2015","31DEC2015","ANC 4D",2015,"4D",5.8,5.4,1
"01JAN2016","31DEC2016","ANC 4D",2016,"4D",8.9,5.6,1
"01JAN2003","31DEC2003","ANC 5A",2003,"5A",12,6.9,1
"01JAN2004","31DEC2004","ANC 5A",2004,"5A",8.9,8.2,1
"01JAN2005","31DEC2005","ANC 5A",2005,"5A",12,7.6,1
"01JAN2006","31DEC2006","ANC 5A",2006,"5A",11,14,1
"01JAN2007","31DEC2007","ANC 5A",2007,"5A",14,9.6,1
"01JAN2008","31DEC2008","ANC 5A",2008,"5A",9.8,14,1
"01JAN2009","31DEC2009","ANC 5A",2009,"5A",7.9,13,1
"01JAN2010","31DEC2010","ANC 5A",2010,"5A",7.8,9.8,1
"01JAN2011","31DEC2011","ANC 5A",2011,"5A",6.8,12,1
"01JAN2012","31DEC2012","ANC 5A",2012,"5A",4.7,7.0,1
"01JAN2013","31DEC2013","ANC 5A",2013,"5A",10,8.0,1
"01JAN2014","31DEC2014","ANC 5A",2014,"5A",9.8,5.4,1
"01JAN2015","31DEC2015","ANC 5A",2015,"5A",11,6.6,1
"01JAN2016","31DEC2016","ANC 5A",2016,"5A",9.0,3.2,1
"01JAN2003","31DEC2003","ANC 5B",2003,"5B",5.1,5.1,1
"01JAN2004","31DEC2004","ANC 5B",2004,"5B",7.7,14,1
"01JAN2005","31DEC2005","ANC 5B",2005,"5B",16,12,1
"01JAN2006","31DEC2006","ANC 5B",2006,"5B",15,11,1
"01JAN2007","31DEC2007","ANC 5B",2007,"5B",7.0,7.1,1
"01JAN2008","31DEC2008","ANC 5B",2008,"5B",10,8.5,1
"01JAN2009","31DEC2009","ANC 5B",2009,"5B",2.1,6.3,1
"01JAN2010","31DEC2010","ANC 5B",2010,"5B",12,4.9,1
"01JAN2011","31DEC2011","ANC 5B",2011,"5B",9.4,7.9,1
"01JAN2012","31DEC2012","ANC 5B",2012,"5B",6.2,7.8,1
"01JAN2013","31DEC2013","ANC 5B",2013,"5B",8.1,4.8,1
"01JAN2014","31DEC2014","ANC 5B",2014,"5B",6.3,4.6,1
"01JAN2015","31DEC2015","ANC 5B",2015,"5B",11,2.0,1
"01JAN2016","31DEC2016","ANC 5B",2016,"5B",7.9,2.4,1
"01JAN2003","31DEC2003","ANC 5C",2003,"5C",10,14,1
"01JAN2004","31DEC2004","ANC 5C",2004,"5C",12,17,1
"01JAN2005","31DEC2005","ANC 5C",2005,"5C",17,18,1
"01JAN2006","31DEC2006","ANC 5C",2006,"5C",15,15,1
"01JAN2007","31DEC2007","ANC 5C",2007,"5C",14,18,1
"01JAN2008","31DEC2008","ANC 5C",2008,"5C",15,22,1
"01JAN2009","31DEC2009","ANC 5C",2009,"5C",12,16,1
"01JAN2010","31DEC2010","ANC 5C",2010,"5C",13,15,1
"01JAN2011","31DEC2011","ANC 5C",2011,"5C",13,12,1
"01JAN2012","31DEC2012","ANC 5C",2012,"5C",11,13,1
"01JAN2013","31DEC2013","ANC 5C",2013,"5C",10,7.0,1
"01JAN2014","31DEC2014","ANC 5C",2014,"5C",16,9.7,1
"01JAN2015","31DEC2015","ANC 5C",2015,"5C",10,7.3,1
"01JAN2016","31DEC2016","ANC 5C",2016,"5C",15,4.6,1
"01JAN2003","31DEC2003","ANC 5D",2003,"5D",14,21,1
"01JAN2004","31DEC2004","ANC 5D",2004,"5D",17,17,1
"01JAN2005","31DEC2005","ANC 5D",2005,"5D",14,16,1
"01JAN2006","31DEC2006","ANC 5D",2006,"5D",16,22,1
"01JAN2007","31DEC2007","ANC 5D",2007,"5D",15,20,1
"01JAN2008","31DEC2008","ANC 5D",2008,"5D",13,23,1
"01JAN2009","31DEC2009","ANC 5D",2009,"5D",14,20,1
"01JAN2010","31DEC2010","ANC 5D",2010,"5D",14,18,1
"01JAN2011","31DEC2011","ANC 5D",2011,"5D",12,20,1
"01JAN2012","31DEC2012","ANC 5D",2012,"5D",14,14,1
"01JAN2013","31DEC2013","ANC 5D",2013,"5D",12,13,1
"01JAN2014","31DEC2014","ANC 5D",2014,"5D",11,8.5,1
"01JAN2015","31DEC2015","ANC 5D",2015,"5D",11,9.1,1
"01JAN2016","31DEC2016","ANC 5D",2016,"5D",11,5.1,1
"01JAN2003","31DEC2003","ANC 5E",2003,"5E",10,16,1
"01JAN2004","31DEC2004","ANC 5E",2004,"5E",14,13,1
"01JAN2005","31DEC2005","ANC 5E",2005,"5E",11,9.9,1
"01JAN2006","31DEC2006","ANC 5E",2006,"5E",12,11,1
"01JAN2007","31DEC2007","ANC 5E",2007,"5E",13,12,1
"01JAN2008","31DEC2008","ANC 5E",2008,"5E",7.1,12,1
"01JAN2009","31DEC2009","ANC 5E",2009,"5E",12,13,1
"01JAN2010","31DEC2010","ANC 5E",2010,"5E",9.8,10,1
"01JAN2011","31DEC2011","ANC 5E",2011,"5E",11,5.9,1
"01JAN2012","31DEC2012","ANC 5E",2012,"5E",7.6,8.9,1
"01JAN2013","31DEC2013","ANC 5E",2013,"5E",8.3,3.8,1
"01JAN2014","31DEC2014","ANC 5E",2014,"5E",11,3.9,1
"01JAN2015","31DEC2015","ANC 5E",2015,"5E",10,4.5,1
"01JAN2016","31DEC2016","ANC 5E",2016,"5E",8.2,2.3,1
"01JAN2003","31DEC2003","ANC 6A",2003,"6A",13,12,1
"01JAN2004","31DEC2004","ANC 6A",2004,"6A",12,15,1
"01JAN2005","31DEC2005","ANC 6A",2005,"6A",11,8.9,1
"01JAN2006","31DEC2006","ANC 6A",2006,"6A",8.3,11,1
"01JAN2007","31DEC2007","ANC 6A",2007,"6A",11,8.5,1
"01JAN2008","31DEC2008","ANC 6A",2008,"6A",9.6,7.8,1
"01JAN2009","31DEC2009","ANC 6A",2009,"6A",9.2,5.0,1
"01JAN2010","31DEC2010","ANC 6A",2010,"6A",9.2,5.0,1
"01JAN2011","31DEC2011","ANC 6A",2011,"6A",12,5.7,1
"01JAN2012","31DEC2012","ANC 6A",2012,"6A",7.9,4.9,1
"01JAN2013","31DEC2013","ANC 6A",2013,"6A",6.4,3.4,1
"01JAN2014","31DEC2014","ANC 6A",2014,"6A",9.8,2.9,1
"01JAN2015","31DEC2015","ANC 6A",2015,"6A",7.7,2.5,1
"01JAN2016","31DEC2016","ANC 6A",2016,"6A",6.8,2.4,1
"01JAN2003","31DEC2003","ANC 6B",2003,"6B",7.9,7.4,1
