"start_date","end_date","geo2010","timeframe","geo2010_nf","Pct_births_low_wt","Pct_births_teen","ucounty","indc"
"01JAN2003","31DEC2003","DC Tract 33.02",2003,11001003302,0.0,4.5,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 33.02",2004,11001003302,8.7,4.3,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 33.02",2005,11001003302,17,3.3,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 33.02",2006,11001003302,10,15,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 33.02",2007,11001003302,12,4.0,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 33.02",2008,11001003302,4.3,4.3,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 33.02",2009,11001003302,11,0.0,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 33.02",2010,11001003302,8.0,12,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 33.02",2011,11001003302,12,2.3,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 33.02",2012,11001003302,0.0,13,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 33.02",2013,11001003302,0.0,2.9,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 33.02",2014,11001003302,5.3,0.0,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 33.02",2015,11001003302,5.4,0.0,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 33.02",2016,11001003302,11,0.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 34",2003,11001003400,8.3,4.2,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 34",2004,11001003400,23,9.7,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 34",2005,11001003400,0.0,19,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 34",2006,11001003400,19,12,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 34",2007,11001003400,17,10,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 34",2008,11001003400,0.0,8.6,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 34",2009,11001003400,19,14,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 34",2010,11001003400,11,17,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 34",2011,11001003400,20,11,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 34",2012,11001003400,5.9,0.0,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 34",2013,11001003400,6.5,9.7,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 34",2014,11001003400,16,8.2,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 34",2015,11001003400,9.1,6.1,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 34",2016,11001003400,8.3,0.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 35",2003,11001003500,3.4,14,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 35",2004,11001003500,14,8.6,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 35",2005,11001003500,8.8,8.8,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 35",2006,11001003500,21,18,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 35",2007,11001003500,12,18,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 35",2008,11001003500,11,11,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 35",2009,11001003500,7.3,24,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 35",2010,11001003500,14,12,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 35",2011,11001003500,15,6.1,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 35",2012,11001003500,9.5,9.5,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 35",2013,11001003500,8.6,2.9,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 35",2014,11001003500,5.1,7.7,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 35",2015,11001003500,8.6,8.6,"District of Columbia",1
