start_date,end_date,cluster2017,timeframe,cluster2017_nf,Pct_births_low_wt,Pct_births_teen,indc
1-Jan-11,31-Dec-11,"Shaw, Logan Circle",2011,Cluster 7,8.4,4.1,1
1-Jan-98,31-Dec-98,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",1998,Cluster 8,15,16,1
1-Jan-99,31-Dec-99,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",1999,Cluster 8,13,11,1
1-Jan-00,31-Dec-00,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2000,Cluster 8,12,13,1
1-Jan-01,31-Dec-01,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2001,Cluster 8,17,15,1
1-Jan-02,31-Dec-02,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2002,Cluster 8,15,12,1
1-Jan-03,31-Dec-03,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2003,Cluster 8,15,13,1
1-Jan-04,31-Dec-04,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2004,Cluster 8,15,12,1
1-Jan-05,31-Dec-05,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2005,Cluster 8,14,14,1
1-Jan-06,31-Dec-06,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2006,Cluster 8,10,14,1
1-Jan-07,31-Dec-07,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2007,Cluster 8,10,7.5,1
1-Jan-08,31-Dec-08,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2008,Cluster 8,7.8,9.9,1
1-Jan-09,31-Dec-09,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2009,Cluster 8,12,9.4,1
