"start_date","end_date","Cluster_tr2000","timeframe","CLUSTER_TR2000_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN2010","31DEC2010","Cluster 7",2010,07,0.07166,0.05863,1
"01JAN2011","31DEC2011","Cluster 7",2011,07,0.07937,0.04127,1
"01JAN1998","31DEC1998","Cluster 8",1998,08,0.17593,0.16514,1
"01JAN1999","31DEC1999","Cluster 8",1999,08,0.14583,0.11458,1
"01JAN2000","31DEC2000","Cluster 8",2000,08,0.11650,0.12621,1
"01JAN2001","31DEC2001","Cluster 8",2001,08,0.18966,0.18103,1
"01JAN2002","31DEC2002","Cluster 8",2002,08,0.14414,0.13514,1
"01JAN2003","31DEC2003","Cluster 8",2003,08,0.17117,0.15315,1
"01JAN2004","31DEC2004","Cluster 8",2004,08,0.16393,0.12295,1
"01JAN2005","31DEC2005","Cluster 8",2005,08,0.14844,0.16406,1
"01JAN2006","31DEC2006","Cluster 8",2006,08,0.10687,0.14504,1
"01JAN2007","31DEC2007","Cluster 8",2007,08,0.11111,0.06579,1
"01JAN2008","31DEC2008","Cluster 8",2008,08,0.07092,0.09929,1
"01JAN2009","31DEC2009","Cluster 8",2009,08,0.12838,0.10135,1
"01JAN2010","31DEC2010","Cluster 8",2010,08,0.09917,0.06504,1
"01JAN2011","31DEC2011","Cluster 8",2011,08,0.09993,0.07713,1
"01JAN1998","31DEC1998","Cluster 9",1998,09,0.15702,0.14050,1
"01JAN1999","31DEC1999","Cluster 9",1999,09,0.16418,0.13433,1
"01JAN2000","31DEC2000","Cluster 9",2000,09,0.15038,0.12030,1
"01JAN2001","31DEC2001","Cluster 9",2001,09,0.17742,0.14516,1
"01JAN2002","31DEC2002","Cluster 9",2002,09,0.10638,0.12903,1
"01JAN2003","31DEC2003","Cluster 9",2003,09,0.08532,0.12442,1
"01JAN2004","31DEC2004","Cluster 9",2004,09,0.12563,0.14495,1
"01JAN2005","31DEC2005","Cluster 9",2005,09,0.12613,0.13514,1
"01JAN2006","31DEC2006","Cluster 9",2006,09,0.13587,0.12077,1
"01JAN2007","31DEC2007","Cluster 9",2007,09,0.16393,0.13223,1
"01JAN2008","31DEC2008","Cluster 9",2008,09,0.11806,0.14583,1
"01JAN2009","31DEC2009","Cluster 9",2009,09,0.09917,0.14050,1
"01JAN2010","31DEC2010","Cluster 9",2010,09,0.11538,0.12214,1
"01JAN2011","31DEC2011","Cluster 9",2011,09,0.07813,0.14063,1
"01JAN1998","31DEC1998","Cluster 10",1998,10,0.07042,0.00000,1
"01JAN1999","31DEC1999","Cluster 10",1999,10,0.07031,0.02344,1
"01JAN2000","31DEC2000","Cluster 10",2000,10,0.07843,0.00000,1
"01JAN2001","31DEC2001","Cluster 10",2001,10,0.05882,0.00000,1
"01JAN2002","31DEC2002","Cluster 10",2002,10,0.03977,0.00000,1
"01JAN2003","31DEC2003","Cluster 10",2003,10,0.08696,0.00000,1
