"start_date","end_date","zip","timeframe","zip_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN2008","31DEC2008","ZIP 20008",2008,20008,6.9,0.3,1
"01JAN2009","31DEC2009","ZIP 20008",2009,20008,6.6,0.6,1
"01JAN2010","31DEC2010","ZIP 20008",2010,20008,7.8,0.1,1
"01JAN2011","31DEC2011","ZIP 20008",2011,20008,8.0,0.1,1
"01JAN1998","31DEC1998","ZIP 20009",1998,20009,8.8,12,1
"01JAN1999","31DEC1999","ZIP 20009",1999,20009,9.6,13,1
"01JAN2000","31DEC2000","ZIP 20009",2000,20009,10,14,1
"01JAN2001","31DEC2001","ZIP 20009",2001,20009,8.9,11,1
"01JAN2002","31DEC2002","ZIP 20009",2002,20009,8.1,11,1
"01JAN2003","31DEC2003","ZIP 20009",2003,20009,9.2,5.4,1
"01JAN2004","31DEC2004","ZIP 20009",2004,20009,9.1,7.8,1
"01JAN2005","31DEC2005","ZIP 20009",2005,20009,9.7,6.3,1
"01JAN2006","31DEC2006","ZIP 20009",2006,20009,9.4,9.7,1
"01JAN2007","31DEC2007","ZIP 20009",2007,20009,8.2,9.3,1
"01JAN2008","31DEC2008","ZIP 20009",2008,20009,8.1,9.1,1
"01JAN2009","31DEC2009","ZIP 20009",2009,20009,8.6,6.5,1
"01JAN2010","31DEC2010","ZIP 20009",2010,20009,7.0,5.0,1
"01JAN2011","31DEC2011","ZIP 20009",2011,20009,8.8,3.2,1
"01JAN1998","31DEC1998","ZIP 20010",1998,20010,8.5,14,1
"01JAN1999","31DEC1999","ZIP 20010",1999,20010,11,14,1
"01JAN2000","31DEC2000","ZIP 20010",2000,20010,11,10,1
"01JAN2001","31DEC2001","ZIP 20010",2001,20010,8.9,12,1
"01JAN2002","31DEC2002","ZIP 20010",2002,20010,11,12,1
"01JAN2003","31DEC2003","ZIP 20010",2003,20010,7.9,9.1,1
"01JAN2004","31DEC2004","ZIP 20010",2004,20010,10,8.0,1
"01JAN2005","31DEC2005","ZIP 20010",2005,20010,7.3,12,1
"01JAN2006","31DEC2006","ZIP 20010",2006,20010,8.9,11,1
"01JAN2007","31DEC2007","ZIP 20010",2007,20010,8.8,13,1
"01JAN2008","31DEC2008","ZIP 20010",2008,20010,7.0,10.0,1
"01JAN2009","31DEC2009","ZIP 20010",2009,20010,7.2,8.6,1
"01JAN2010","31DEC2010","ZIP 20010",2010,20010,8.6,8.1,1
"01JAN2011","31DEC2011","ZIP 20010",2011,20010,8.0,7.1,1
"01JAN1998","31DEC1998","ZIP 20011",1998,20011,14,16,1
"01JAN1999","31DEC1999","ZIP 20011",1999,20011,13,12,1
"01JAN2000","31DEC2000","ZIP 20011",2000,20011,8.4,13,1
"01JAN2001","31DEC2001","ZIP 20011",2001,20011,12,14,1
"01JAN2002","31DEC2002","ZIP 20011",2002,20011,12,13,1
"01JAN2003","31DEC2003","ZIP 20011",2003,20011,11,11,1
"01JAN2004","31DEC2004","ZIP 20011",2004,20011,9.0,12,1
"01JAN2005","31DEC2005","ZIP 20011",2005,20011,10,10,1
"01JAN2006","31DEC2006","ZIP 20011",2006,20011,10,12,1
"01JAN2007","31DEC2007","ZIP 20011",2007,20011,10,11,1
"01JAN2008","31DEC2008","ZIP 20011",2008,20011,8.2,11,1
"01JAN2009","31DEC2009","ZIP 20011",2009,20011,8.7,9.3,1
"01JAN2010","31DEC2010","ZIP 20011",2010,20011,9.3,10,1
"01JAN2011","31DEC2011","ZIP 20011",2011,20011,7.4,7.6,1
"01JAN1998","31DEC1998","ZIP 20012",1998,20012,12,10,1
"01JAN1999","31DEC1999","ZIP 20012",1999,20012,14,10,1
"01JAN2000","31DEC2000","ZIP 20012",2000,20012,18,6.1,1
"01JAN2001","31DEC2001","ZIP 20012",2001,20012,6.6,5.7,1
"01JAN2002","31DEC2002","ZIP 20012",2002,20012,8.8,8.1,1
"01JAN2003","31DEC2003","ZIP 20012",2003,20012,15,7.1,1
"01JAN2004","31DEC2004","ZIP 20012",2004,20012,9.6,8.0,1
"01JAN2005","31DEC2005","ZIP 20012",2005,20012,13,6.6,1
"01JAN2006","31DEC2006","ZIP 20012",2006,20012,9.5,6.9,1
"01JAN2007","31DEC2007","ZIP 20012",2007,20012,9.2,6.8,1
"01JAN2008","31DEC2008","ZIP 20012",2008,20012,11,8.6,1
"01JAN2009","31DEC2009","ZIP 20012",2009,20012,5.6,6.4,1
"01JAN2010","31DEC2010","ZIP 20012",2010,20012,6.6,5.1,1
"01JAN2011","31DEC2011","ZIP 20012",2011,20012,7.1,5.3,1
"01JAN1998","31DEC1998","ZIP 20015",1998,20015,6.6,0.0,1
"01JAN1999","31DEC1999","ZIP 20015",1999,20015,5.9,1.8,1
"01JAN2000","31DEC2000","ZIP 20015",2000,20015,7.5,0.0,1
"01JAN2001","31DEC2001","ZIP 20015",2001,20015,6.9,1.0,1
"01JAN2002","31DEC2002","ZIP 20015",2002,20015,5.0,0.0,1
"01JAN2003","31DEC2003","ZIP 20015",2003,20015,8.0,0.3,1
"01JAN2004","31DEC2004","ZIP 20015",2004,20015,6.6,0.4,1
"01JAN2005","31DEC2005","ZIP 20015",2005,20015,10,0.4,1
"01JAN2006","31DEC2006","ZIP 20015",2006,20015,5.3,0.0,1
"01JAN2007","31DEC2007","ZIP 20015",2007,20015,8.7,0.0,1
"01JAN2008","31DEC2008","ZIP 20015",2008,20015,6.8,0.9,1
"01JAN2009","31DEC2009","ZIP 20015",2009,20015,6.1,0.0,1
"01JAN2010","31DEC2010","ZIP 20015",2010,20015,4.9,0.5,1
"01JAN2011","31DEC2011","ZIP 20015",2011,20015,5.6,0.5,1
"01JAN1998","31DEC1998","ZIP 20016",1998,20016,5.7,0.6,1
"01JAN1999","31DEC1999","ZIP 20016",1999,20016,8.7,0.3,1
"01JAN2000","31DEC2000","ZIP 20016",2000,20016,6.1,1.3,1
"01JAN2001","31DEC2001","ZIP 20016",2001,20016,5.2,0.7,1
"01JAN2002","31DEC2002","ZIP 20016",2002,20016,8.0,0.9,1
"01JAN2003","31DEC2003","ZIP 20016",2003,20016,6.1,0.3,1
"01JAN2004","31DEC2004","ZIP 20016",2004,20016,6.0,1.0,1
"01JAN2005","31DEC2005","ZIP 20016",2005,20016,5.1,0.3,1
"01JAN2006","31DEC2006","ZIP 20016",2006,20016,9.3,0.6,1
"01JAN2007","31DEC2007","ZIP 20016",2007,20016,5.1,2.0,1
"01JAN2008","31DEC2008","ZIP 20016",2008,20016,8.5,0.4,1
"01JAN2009","31DEC2009","ZIP 20016",2009,20016,6.2,0.4,1
"01JAN2010","31DEC2010","ZIP 20016",2010,20016,4.3,0.0,1
"01JAN2011","31DEC2011","ZIP 20016",2011,20016,7.4,0.0,1
"01JAN1998","31DEC1998","ZIP 20017",1998,20017,17,13,1
"01JAN1999","31DEC1999","ZIP 20017",1999,20017,15,16,1
"01JAN2000","31DEC2000","ZIP 20017",2000,20017,12,17,1
"01JAN2001","31DEC2001","ZIP 20017",2001,20017,11,15,1
"01JAN2002","31DEC2002","ZIP 20017",2002,20017,12,16,1
"01JAN2003","31DEC2003","ZIP 20017",2003,20017,8.0,12,1
"01JAN2004","31DEC2004","ZIP 20017",2004,20017,11,12,1
"01JAN2005","31DEC2005","ZIP 20017",2005,20017,15,12,1
"01JAN2006","31DEC2006","ZIP 20017",2006,20017,14,14,1
"01JAN2007","31DEC2007","ZIP 20017",2007,20017,13,9.9,1
"01JAN2008","31DEC2008","ZIP 20017",2008,20017,8.7,10,1
"01JAN2009","31DEC2009","ZIP 20017",2009,20017,4.3,9.8,1
"01JAN2010","31DEC2010","ZIP 20017",2010,20017,8.7,8.9,1
"01JAN2011","31DEC2011","ZIP 20017",2011,20017,9.7,10,1
"01JAN1998","31DEC1998","ZIP 20018",1998,20018,15,17,1
"01JAN1999","31DEC1999","ZIP 20018",1999,20018,12,18,1
"01JAN2000","31DEC2000","ZIP 20018",2000,20018,8.3,16,1
"01JAN2001","31DEC2001","ZIP 20018",2001,20018,15,19,1
"01JAN2002","31DEC2002","ZIP 20018",2002,20018,19,18,1
"01JAN2003","31DEC2003","ZIP 20018",2003,20018,9.5,12,1
"01JAN2004","31DEC2004","ZIP 20018",2004,20018,11,17,1
"01JAN2005","31DEC2005","ZIP 20018",2005,20018,17,16,1
"01JAN2006","31DEC2006","ZIP 20018",2006,20018,16,13,1
"01JAN2007","31DEC2007","ZIP 20018",2007,20018,11,15,1
"01JAN2008","31DEC2008","ZIP 20018",2008,20018,13,18,1
"01JAN2009","31DEC2009","ZIP 20018",2009,20018,10.0,13,1
"01JAN2010","31DEC2010","ZIP 20018",2010,20018,13,14,1
"01JAN2011","31DEC2011","ZIP 20018",2011,20018,12,11,1
"01JAN1998","31DEC1998","ZIP 20019",1998,20019,16,21,1
"01JAN1999","31DEC1999","ZIP 20019",1999,20019,16,22,1
"01JAN2000","31DEC2000","ZIP 20019",2000,20019,13,20,1
"01JAN2001","31DEC2001","ZIP 20019",2001,20019,17,20,1
"01JAN2002","31DEC2002","ZIP 20019",2002,20019,14,20,1
"01JAN2003","31DEC2003","ZIP 20019",2003,20019,16,20,1
"01JAN2004","31DEC2004","ZIP 20019",2004,20019,15,19,1
"01JAN2005","31DEC2005","ZIP 20019",2005,20019,15,19,1
"01JAN2006","31DEC2006","ZIP 20019",2006,20019,14,21,1
"01JAN2007","31DEC2007","ZIP 20019",2007,20019,14,20,1
"01JAN2008","31DEC2008","ZIP 20019",2008,20019,14,19,1
"01JAN2009","31DEC2009","ZIP 20019",2009,20019,14,25,1
"01JAN2010","31DEC2010","ZIP 20019",2010,20019,12,20,1
"01JAN2011","31DEC2011","ZIP 20019",2011,20019,14,19,1
"01JAN1998","31DEC1998","ZIP 20020",1998,20020,17,21,1
"01JAN1999","31DEC1999","ZIP 20020",1999,20020,15,22,1
"01JAN2000","31DEC2000","ZIP 20020",2000,20020,16,21,1
"01JAN2001","31DEC2001","ZIP 20020",2001,20020,14,19,1
"01JAN2002","31DEC2002","ZIP 20020",2002,20020,15,19,1
"01JAN2003","31DEC2003","ZIP 20020",2003,20020,15,17,1
"01JAN2004","31DEC2004","ZIP 20020",2004,20020,15,17,1
"01JAN2005","31DEC2005","ZIP 20020",2005,20020,12,18,1
"01JAN2006","31DEC2006","ZIP 20020",2006,20020,16,19,1
"01JAN2007","31DEC2007","ZIP 20020",2007,20020,14,20,1
"01JAN2008","31DEC2008","ZIP 20020",2008,20020,14,21,1
"01JAN2009","31DEC2009","ZIP 20020",2009,20020,14,20,1
"01JAN2010","31DEC2010","ZIP 20020",2010,20020,14,19,1
"01JAN2011","31DEC2011","ZIP 20020",2011,20020,15,20,1
"01JAN1998","31DEC1998","ZIP 20024",1998,20024,16,14,1
"01JAN1999","31DEC1999","ZIP 20024",1999,20024,16,13,1
"01JAN2000","31DEC2000","ZIP 20024",2000,20024,15,12,1
"01JAN2001","31DEC2001","ZIP 20024",2001,20024,17,14,1
"01JAN2002","31DEC2002","ZIP 20024",2002,20024,11,12,1
"01JAN2003","31DEC2003","ZIP 20024",2003,20024,8.5,12,1
"01JAN2004","31DEC2004","ZIP 20024",2004,20024,13,14,1
"01JAN2005","31DEC2005","ZIP 20024",2005,20024,13,13,1
"01JAN2006","31DEC2006","ZIP 20024",2006,20024,14,12,1
"01JAN2007","31DEC2007","ZIP 20024",2007,20024,16,13,1
"01JAN2008","31DEC2008","ZIP 20024",2008,20024,12,14,1
"01JAN2009","31DEC2009","ZIP 20024",2009,20024,10,14,1
"01JAN2010","31DEC2010","ZIP 20024",2010,20024,11,12,1
"01JAN2011","31DEC2011","ZIP 20024",2011,20024,7.8,14,1
"01JAN1998","31DEC1998","ZIP 20032",1998,20032,15,22,1
"01JAN1999","31DEC1999","ZIP 20032",1999,20032,19,22,1
"01JAN2000","31DEC2000","ZIP 20032",2000,20032,18,21,1
"01JAN2001","31DEC2001","ZIP 20032",2001,20032,18,21,1
"01JAN2002","31DEC2002","ZIP 20032",2002,20032,14,18,1
"01JAN2003","31DEC2003","ZIP 20032",2003,20032,15,21,1
"01JAN2004","31DEC2004","ZIP 20032",2004,20032,13,17,1
"01JAN2005","31DEC2005","ZIP 20032",2005,20032,13,18,1
"01JAN2006","31DEC2006","ZIP 20032",2006,20032,15,16,1
"01JAN2007","31DEC2007","ZIP 20032",2007,20032,15,19,1
"01JAN2008","31DEC2008","ZIP 20032",2008,20032,14,20,1
"01JAN2009","31DEC2009","ZIP 20032",2009,20032,15,21,1
"01JAN2010","31DEC2010","ZIP 20032",2010,20032,12,20,1
"01JAN2011","31DEC2011","ZIP 20032",2011,20032,11,18,1
"01JAN1998","31DEC1998","ZIP 20036",1998,20036,12,5.3,1
"01JAN1999","31DEC1999","ZIP 20036",1999,20036,2.8,0.7,1
"01JAN2000","31DEC2000","ZIP 20036",2000,20036,7.1,2.6,1
"01JAN2001","31DEC2001","ZIP 20036",2001,20036,5.3,2.6,1
"01JAN2002","31DEC2002","ZIP 20036",2002,20036,6.2,0.0,1
"01JAN2003","31DEC2003","ZIP 20036",2003,20036,4.9,0.0,1
"01JAN2004","31DEC2004","ZIP 20036",2004,20036,9.6,4.4,1
"01JAN2005","31DEC2005","ZIP 20036",2005,20036,9.8,0.7,1
"01JAN2006","31DEC2006","ZIP 20036",2006,20036,15,0.0,1
"01JAN2007","31DEC2007","ZIP 20036",2007,20036,7.7,4.0,1
"01JAN2008","31DEC2008","ZIP 20036",2008,20036,16,7.1,1
"01JAN2009","31DEC2009","ZIP 20036",2009,20036,4.7,0.0,1
"01JAN2010","31DEC2010","ZIP 20036",2010,20036,2.2,0.5,1
"01JAN2011","31DEC2011","ZIP 20036",2011,20036,13,1.2,1
"01JAN1998","31DEC1998","ZIP 20037",1998,20037,6.0,2.4,1
"01JAN1999","31DEC1999","ZIP 20037",1999,20037,6.6,2.3,1
"01JAN2000","31DEC2000","ZIP 20037",2000,20037,8.6,1.1,1
"01JAN2001","31DEC2001","ZIP 20037",2001,20037,6.6,0.0,1
"01JAN2002","31DEC2002","ZIP 20037",2002,20037,11,0.6,1
"01JAN2003","31DEC2003","ZIP 20037",2003,20037,9.7,0.0,1
"01JAN2004","31DEC2004","ZIP 20037",2004,20037,7.0,0.0,1
"01JAN2005","31DEC2005","ZIP 20037",2005,20037,13,4.1,1
"01JAN2006","31DEC2006","ZIP 20037",2006,20037,5.7,1.1,1
"01JAN2007","31DEC2007","ZIP 20037",2007,20037,8.7,0.6,1
"01JAN2008","31DEC2008","ZIP 20037",2008,20037,8.8,0.0,1
"01JAN2009","31DEC2009","ZIP 20037",2009,20037,6.1,0.0,1
"01JAN2010","31DEC2010","ZIP 20037",2010,20037,3.7,0.8,1
"01JAN2011","31DEC2011","ZIP 20037",2011,20037,11,1.4,1
"01JAN1998","31DEC1998","ZIP 20052",1998,20052,0.0,0.0,1
"01JAN1999","31DEC1999","ZIP 20052",1999,20052,0.0,10,1
"01JAN2000","31DEC2000","ZIP 20052",2000,20052,0.0,0.0,1
"01JAN2001","31DEC2001","ZIP 20052",2001,20052,40,0.0,1
"01JAN2002","31DEC2002","ZIP 20052",2002,20052,33,33,1
"01JAN2003","31DEC2003","ZIP 20052",2003,20052,25,0.0,1
"01JAN2004","31DEC2004","ZIP 20052",2004,20052,33,0.0,1
"01JAN2005","31DEC2005","ZIP 20052",2005,20052,0.0,0.0,1
"01JAN2006","31DEC2006","ZIP 20052",2006,20052,0.0,0.0,1
"01JAN2007","31DEC2007","ZIP 20052",2007,20052,0.0,17,1
"01JAN2008","31DEC2008","ZIP 20052",2008,20052,0.0,0.0,1
"01JAN2009","31DEC2009","ZIP 20052",2009,20052,0.0,0.0,1
"01JAN2010","31DEC2010","ZIP 20052",2010,20052,20,0.0,1
"01JAN2011","31DEC2011","ZIP 20052",2011,20052,17,0.0,1
"01JAN1998","31DEC1998","ZIP 20057",1998,20057,4.0,4.0,1
"01JAN1999","31DEC1999","ZIP 20057",1999,20057,10,0.0,1
"01JAN2000","31DEC2000","ZIP 20057",2000,20057,7.1,0.0,1
"01JAN2001","31DEC2001","ZIP 20057",2001,20057,2.3,0.0,1
"01JAN2002","31DEC2002","ZIP 20057",2002,20057,0.0,0.0,1
"01JAN2003","31DEC2003","ZIP 20057",2003,20057,11,0.0,1
"01JAN2004","31DEC2004","ZIP 20057",2004,20057,7.2,0.0,1
"01JAN2005","31DEC2005","ZIP 20057",2005,20057,0.0,0.0,1
"01JAN2006","31DEC2006","ZIP 20057",2006,20057,3.0,0.0,1
"01JAN2007","31DEC2007","ZIP 20057",2007,20057,0.0,0.0,1
"01JAN2008","31DEC2008","ZIP 20057",2008,20057,0.0,0.0,1
"01JAN2009","31DEC2009","ZIP 20057",2009,20057,0.0,0.0,1
"01JAN2010","31DEC2010","ZIP 20057",2010,20057,".",".",1
"01JAN2011","31DEC2011","ZIP 20057",2011,20057,".",".",1
"01JAN1998","31DEC1998","ZIP 20059",1998,20059,16,24,1
"01JAN1999","31DEC1999","ZIP 20059",1999,20059,15,23,1
"01JAN2000","31DEC2000","ZIP 20059",2000,20059,12,21,1
"01JAN2001","31DEC2001","ZIP 20059",2001,20059,24,18,1
"01JAN2002","31DEC2002","ZIP 20059",2002,20059,21,7.1,1
"01JAN2003","31DEC2003","ZIP 20059",2003,20059,8.0,4.0,1
"01JAN2004","31DEC2004","ZIP 20059",2004,20059,24,9.1,1
"01JAN2005","31DEC2005","ZIP 20059",2005,20059,0.0,18,1
"01JAN2006","31DEC2006","ZIP 20059",2006,20059,19,12,1
"01JAN2007","31DEC2007","ZIP 20059",2007,20059,17,10,1
"01JAN2008","31DEC2008","ZIP 20059",2008,20059,2.8,8.3,1
"01JAN2009","31DEC2009","ZIP 20059",2009,20059,19,14,1
"01JAN2010","31DEC2010","ZIP 20059",2010,20059,12,18,1
"01JAN2011","31DEC2011","ZIP 20059",2011,20059,18,12,1
"01JAN1998","31DEC1998","ZIP 20064",1998,20064,18,5.6,1
"01JAN1999","31DEC1999","ZIP 20064",1999,20064,11,12,1
"01JAN2000","31DEC2000","ZIP 20064",2000,20064,9.0,13,1
"01JAN2001","31DEC2001","ZIP 20064",2001,20064,7.7,15,1
"01JAN2002","31DEC2002","ZIP 20064",2002,20064,8.3,15,1
"01JAN2003","31DEC2003","ZIP 20064",2003,20064,20,7.3,1
"01JAN2004","31DEC2004","ZIP 20064",2004,20064,6.6,5.9,1
"01JAN2005","31DEC2005","ZIP 20064",2005,20064,10.0,8.0,1
"01JAN2006","31DEC2006","ZIP 20064",2006,20064,8.2,6.5,1
"01JAN2007","31DEC2007","ZIP 20064",2007,20064,13,11,1
"01JAN2008","31DEC2008","ZIP 20064",2008,20064,11,12,1
"01JAN2009","31DEC2009","ZIP 20064",2009,20064,9.1,10,1
"01JAN2010","31DEC2010","ZIP 20064",2010,20064,8.4,11,1
"01JAN2011","31DEC2011","ZIP 20064",2011,20064,5.3,9.8,1
"01JAN1998","31DEC1998","ZIP 20332",1998,20332,8.3,4.8,1
"01JAN1999","31DEC1999","ZIP 20332",1999,20332,8.7,1.7,1
"01JAN2000","31DEC2000","ZIP 20332",2000,20332,6.0,3.8,1
"01JAN2001","31DEC2001","ZIP 20332",2001,20332,7.9,2.4,1
"01JAN2002","31DEC2002","ZIP 20332",2002,20332,7.8,7.8,1
"01JAN2003","31DEC2003","ZIP 20332",2003,20332,6.7,9.6,1
"01JAN2004","31DEC2004","ZIP 20332",2004,20332,7.3,2.4,1
"01JAN2005","31DEC2005","ZIP 20332",2005,20332,8.5,6.6,1
"01JAN2006","31DEC2006","ZIP 20332",2006,20332,7.2,2.1,1
