"start_date","end_date","psa2012","timeframe","psa2012_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN2006","31DEC2006","PSA 207",2006,207,8.0,2.0,1
"01JAN2007","31DEC2007","PSA 207",2007,207,7.5,1.9,1
"01JAN2008","31DEC2008","PSA 207",2008,207,12,0.0,1
"01JAN2009","31DEC2009","PSA 207",2009,207,10,0.0,1
"01JAN2010","31DEC2010","PSA 207",2010,207,4.2,1.4,1
"01JAN2011","31DEC2011","PSA 207",2011,207,10,0.0,1
"01JAN2012","31DEC2012","PSA 207",2012,207,4.2,0.0,1
"01JAN2013","31DEC2013","PSA 207",2013,207,9.5,0.0,1
"01JAN2014","31DEC2014","PSA 207",2014,207,7.6,1.7,1
"01JAN2015","31DEC2015","PSA 207",2015,207,1.3,0.0,1
"01JAN2016","31DEC2016","PSA 207",2016,207,7.8,0.0,1
"01JAN2003","31DEC2003","PSA 208",2003,208,8.9,0.0,1
"01JAN2004","31DEC2004","PSA 208",2004,208,10,1.9,1
"01JAN2005","31DEC2005","PSA 208",2005,208,8.9,1.0,1
"01JAN2006","31DEC2006","PSA 208",2006,208,6.8,2.5,1
"01JAN2007","31DEC2007","PSA 208",2007,208,7.9,2.9,1
"01JAN2008","31DEC2008","PSA 208",2008,208,7.2,2.7,1
"01JAN2009","31DEC2009","PSA 208",2009,208,11,0.0,1
"01JAN2010","31DEC2010","PSA 208",2010,208,8.2,0.7,1
"01JAN2011","31DEC2011","PSA 208",2011,208,5.0,0.8,1
"01JAN2012","31DEC2012","PSA 208",2012,208,7.2,0.0,1
"01JAN2013","31DEC2013","PSA 208",2013,208,3.6,1.4,1
"01JAN2014","31DEC2014","PSA 208",2014,208,4.2,0.0,1
"01JAN2015","31DEC2015","PSA 208",2015,208,8.1,0.8,1
"01JAN2016","31DEC2016","PSA 208",2016,208,7.3,0.0,1
"01JAN2003","31DEC2003","PSA 301",2003,301,11,3.6,1
"01JAN2004","31DEC2004","PSA 301",2004,301,11,11,1
"01JAN2005","31DEC2005","PSA 301",2005,301,8.5,3.8,1
"01JAN2006","31DEC2006","PSA 301",2006,301,8.1,6.1,1
"01JAN2007","31DEC2007","PSA 301",2007,301,5.4,8.7,1
"01JAN2008","31DEC2008","PSA 301",2008,301,8.9,8.1,1
"01JAN2009","31DEC2009","PSA 301",2009,301,7.0,7.0,1
"01JAN2010","31DEC2010","PSA 301",2010,301,4.6,1.8,1
"01JAN2011","31DEC2011","PSA 301",2011,301,12,0.8,1
"01JAN2012","31DEC2012","PSA 301",2012,301,8.3,2.5,1
"01JAN2013","31DEC2013","PSA 301",2013,301,7.2,0.8,1
"01JAN2014","31DEC2014","PSA 301",2014,301,4.8,1.0,1
"01JAN2015","31DEC2015","PSA 301",2015,301,8.7,0.8,1
"01JAN2016","31DEC2016","PSA 301",2016,301,5.8,0.8,1
"01JAN2003","31DEC2003","PSA 302",2003,302,8.3,8.0,1
"01JAN2004","31DEC2004","PSA 302",2004,302,10,7.2,1
"01JAN2005","31DEC2005","PSA 302",2005,302,7.6,9.8,1
"01JAN2006","31DEC2006","PSA 302",2006,302,8.0,11,1
"01JAN2007","31DEC2007","PSA 302",2007,302,7.5,11,1
"01JAN2008","31DEC2008","PSA 302",2008,302,8.7,9.4,1
"01JAN2009","31DEC2009","PSA 302",2009,302,7.6,9.1,1
"01JAN2010","31DEC2010","PSA 302",2010,302,8.7,6.0,1
"01JAN2011","31DEC2011","PSA 302",2011,302,11,5.2,1
"01JAN2012","31DEC2012","PSA 302",2012,302,10,4.9,1
"01JAN2013","31DEC2013","PSA 302",2013,302,4.9,2.8,1
"01JAN2014","31DEC2014","PSA 302",2014,302,6.9,4.9,1
"01JAN2015","31DEC2015","PSA 302",2015,302,5.6,4.6,1
"01JAN2016","31DEC2016","PSA 302",2016,302,8.4,4.7,1
"01JAN2003","31DEC2003","PSA 303",2003,303,9.5,4.1,1
"01JAN2004","31DEC2004","PSA 303",2004,303,6.6,3.3,1
"01JAN2005","31DEC2005","PSA 303",2005,303,7.6,3.8,1
"01JAN2006","31DEC2006","PSA 303",2006,303,6.4,5.8,1
"01JAN2007","31DEC2007","PSA 303",2007,303,6.2,6.8,1
"01JAN2008","31DEC2008","PSA 303",2008,303,9.7,6.7,1
"01JAN2009","31DEC2009","PSA 303",2009,303,7.1,3.8,1
"01JAN2010","31DEC2010","PSA 303",2010,303,5.1,1.7,1
"01JAN2011","31DEC2011","PSA 303",2011,303,8.9,3.1,1
"01JAN2012","31DEC2012","PSA 303",2012,303,5.8,1.6,1
"01JAN2013","31DEC2013","PSA 303",2013,303,8.3,1.8,1
"01JAN2014","31DEC2014","PSA 303",2014,303,7.1,0.5,1
"01JAN2015","31DEC2015","PSA 303",2015,303,5.4,0.4,1
"01JAN2016","31DEC2016","PSA 303",2016,303,7.4,1.1,1
"01JAN2003","31DEC2003","PSA 304",2003,304,8.6,6.4,1
"01JAN2004","31DEC2004","PSA 304",2004,304,11,10,1
"01JAN2005","31DEC2005","PSA 304",2005,304,12,7.4,1
"01JAN2006","31DEC2006","PSA 304",2006,304,15,16,1
"01JAN2007","31DEC2007","PSA 304",2007,304,10,15,1
"01JAN2008","31DEC2008","PSA 304",2008,304,7.7,15,1
"01JAN2009","31DEC2009","PSA 304",2009,304,8.4,11,1
"01JAN2010","31DEC2010","PSA 304",2010,304,11,9.5,1
"01JAN2011","31DEC2011","PSA 304",2011,304,8.1,4.1,1
"01JAN2012","31DEC2012","PSA 304",2012,304,7.9,9.3,1
"01JAN2013","31DEC2013","PSA 304",2013,304,12,3.3,1
"01JAN2014","31DEC2014","PSA 304",2014,304,6.0,5.0,1
"01JAN2015","31DEC2015","PSA 304",2015,304,6.0,3.5,1
"01JAN2016","31DEC2016","PSA 304",2016,304,9.0,4.7,1
"01JAN2003","31DEC2003","PSA 305",2003,305,7.7,3.8,1
"01JAN2004","31DEC2004","PSA 305",2004,305,8.8,0.0,1
"01JAN2005","31DEC2005","PSA 305",2005,305,12,1.8,1
"01JAN2006","31DEC2006","PSA 305",2006,305,2.6,2.6,1
"01JAN2007","31DEC2007","PSA 305",2007,305,18,4.6,1
"01JAN2008","31DEC2008","PSA 305",2008,305,6.3,1.6,1
"01JAN2009","31DEC2009","PSA 305",2009,305,14,3.4,1
"01JAN2010","31DEC2010","PSA 305",2010,305,11,2.7,1
"01JAN2011","31DEC2011","PSA 305",2011,305,6.7,0.0,1
"01JAN2012","31DEC2012","PSA 305",2012,305,2.7,4.1,1
"01JAN2013","31DEC2013","PSA 305",2013,305,3.9,2.6,1
"01JAN2014","31DEC2014","PSA 305",2014,305,4.9,1.6,1
"01JAN2015","31DEC2015","PSA 305",2015,305,2.6,1.3,1
"01JAN2016","31DEC2016","PSA 305",2016,305,7.6,0.0,1
"01JAN2003","31DEC2003","PSA 306",2003,306,14,4.3,1
"01JAN2004","31DEC2004","PSA 306",2004,306,19,8.6,1
"01JAN2005","31DEC2005","PSA 306",2005,306,7.5,16,1
"01JAN2006","31DEC2006","PSA 306",2006,306,14,8.4,1
"01JAN2007","31DEC2007","PSA 306",2007,306,16,11,1
"01JAN2008","31DEC2008","PSA 306",2008,306,2.6,7.8,1
"01JAN2009","31DEC2009","PSA 306",2009,306,19,14,1
"01JAN2010","31DEC2010","PSA 306",2010,306,10,7.9,1
"01JAN2011","31DEC2011","PSA 306",2011,306,14,7.4,1
"01JAN2012","31DEC2012","PSA 306",2012,306,6.2,2.5,1
"01JAN2013","31DEC2013","PSA 306",2013,306,8.2,5.7,1
"01JAN2014","31DEC2014","PSA 306",2014,306,14,6.3,1
"01JAN2015","31DEC2015","PSA 306",2015,306,12,3.6,1
"01JAN2016","31DEC2016","PSA 306",2016,306,8.0,1.1,1
"01JAN2003","31DEC2003","PSA 307",2003,307,7.1,5.8,1
"01JAN2004","31DEC2004","PSA 307",2004,307,7.7,9.0,1
"01JAN2005","31DEC2005","PSA 307",2005,307,10,5.4,1
"01JAN2006","31DEC2006","PSA 307",2006,307,12,10,1
"01JAN2007","31DEC2007","PSA 307",2007,307,9.9,9.9,1
"01JAN2008","31DEC2008","PSA 307",2008,307,9.3,8.3,1
"01JAN2009","31DEC2009","PSA 307",2009,307,12,9.6,1
"01JAN2010","31DEC2010","PSA 307",2010,307,4.0,6.2,1
"01JAN2011","31DEC2011","PSA 307",2011,307,8.9,5.3,1
"01JAN2012","31DEC2012","PSA 307",2012,307,9.8,6.0,1
"01JAN2013","31DEC2013","PSA 307",2013,307,9.0,4.0,1
"01JAN2014","31DEC2014","PSA 307",2014,307,12,3.1,1
"01JAN2015","31DEC2015","PSA 307",2015,307,5.9,3.3,1
"01JAN2016","31DEC2016","PSA 307",2016,307,10,2.4,1
"01JAN2003","31DEC2003","PSA 308",2003,308,7.9,13,1
"01JAN2004","31DEC2004","PSA 308",2004,308,15,9.9,1
"01JAN2005","31DEC2005","PSA 308",2005,308,13,8.1,1
"01JAN2006","31DEC2006","PSA 308",2006,308,9.5,8.8,1
"01JAN2007","31DEC2007","PSA 308",2007,308,11,11,1
"01JAN2008","31DEC2008","PSA 308",2008,308,12,12,1
"01JAN2009","31DEC2009","PSA 308",2009,308,9.4,6.3,1
"01JAN2010","31DEC2010","PSA 308",2010,308,12,9.6,1
"01JAN2011","31DEC2011","PSA 308",2011,308,9.8,4.6,1
"01JAN2012","31DEC2012","PSA 308",2012,308,5.6,7.6,1
"01JAN2013","31DEC2013","PSA 308",2013,308,6.4,4.5,1
"01JAN2014","31DEC2014","PSA 308",2014,308,5.9,1.3,1
"01JAN2015","31DEC2015","PSA 308",2015,308,9.7,2.6,1
"01JAN2016","31DEC2016","PSA 308",2016,308,7.7,2.4,1
"01JAN2003","31DEC2003","PSA 401",2003,401,15,8.8,1
"01JAN2004","31DEC2004","PSA 401",2004,401,8.8,7.3,1
"01JAN2005","31DEC2005","PSA 401",2005,401,14,5.7,1
"01JAN2006","31DEC2006","PSA 401",2006,401,11,6.9,1
"01JAN2007","31DEC2007","PSA 401",2007,401,11,6.5,1
"01JAN2008","31DEC2008","PSA 401",2008,401,13,7.9,1
"01JAN2009","31DEC2009","PSA 401",2009,401,3.1,3.9,1
