"timeframe","zip","zip_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
1990,"ZIP 20015",20015,"01JAN1990","31DEC1990",4.0,1.0,7.2,208754,".",".",".",".","X","X","X"
1990,"ZIP 20016",20016,"01JAN1990","31DEC1990",6.2,2.2,3.8,259284,".",".",".",".","X","X","X"
1990,"ZIP 20017",20017,"01JAN1990","31DEC1990",9.2,13,12,104327,".",".",".",".","X","X","X"
1990,"ZIP 20018",20018,"01JAN1990","31DEC1990",14,17,21,86554,".",".",".",".","X","X","X"
1990,"ZIP 20019",20019,"01JAN1990","31DEC1990",23,34,20,62499,".",".",".",".","X","X","X"
1990,"ZIP 20020",20020,"01JAN1990","31DEC1990",24,38,22,64813,".",".",".",".","X","X","X"
1990,"ZIP 20024",20024,"01JAN1990","31DEC1990",19,47,11,98910,".",".",".",".","X","X","X"
1990,"ZIP 20032",20032,"01JAN1990","31DEC1990",27,39,19,53689,".",".",".",".","X","X","X"
1990,"ZIP 20036",20036,"01JAN1990","31DEC1990",12,26,9.1,139717,".",".",".",".","X","X","X"
1990,"ZIP 20037",20037,"01JAN1990","31DEC1990",16,5.7,9.0,246713,".",".",".",".","X","X","X"
1990,"ZIP 20052",20052,"01JAN1990","31DEC1990",40,35,7.3,131984,".",".",".",".","X","X","X"
1990,"ZIP 20057",20057,"01JAN1990","31DEC1990",22,"i",23,215073,".",".",".",".","X","X","X"
1990,"ZIP 20059",20059,"01JAN1990","31DEC1990",30,27,38,52820,".",".",".",".","X","X","X"
1990,"ZIP 20064",20064,"01JAN1990","31DEC1990",14,11,15,80156,".",".",".",".","X","X","X"
1990,"ZIP 20332",20332,"01JAN1990","31DEC1990",7.4,9.3,0.0,72297,".",".",".",".","X","X","X"
1990,"ZIP 20336",20336,"01JAN1990","31DEC1990",7.4,9.3,0.0,72297,".",".",".",".","X","X","X"
"2012-16","ZIP 20001",20001,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",113,"X","X"
"2012-16","ZIP 20002",20002,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",63,"X","X"
"2012-16","ZIP 20003",20003,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",59,"X","X"
