"timeframe","Cluster_tr2000","cluster_tr2000_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2012-16","Cluster 31",31,"01JAN2011","31DEC2015",26.5360,39.7425,19.5985,61651.07,5.0003,7.4932,5.9345,9957.23,".",".","."
"2012-16","Cluster 32",32,"01JAN2011","31DEC2015",28.0766,33.1149,22.0580,52494.72,6.1226,8.7996,7.4688,10811.63,".",".","."
"2012-16","Cluster 33",33,"01JAN2011","31DEC2015",30.6356,46.4714,13.7649,56303.09,5.0301,6.7084,4.5866,8036.57,".",".","."
"2012-16","Cluster 34",34,"01JAN2011","31DEC2015",21.3673,26.1486,20.8856,75658.85,3.2705,6.3803,5.4137,10235.56,".",".","."
"2012-16","Cluster 35",35,"01JAN2011","31DEC2015",26.5101,52.4405,20.4731,77760.07,8.3852,12.8650,13.0749,20089.97,".",".","."
"2012-16","Cluster 36",36,"01JAN2011","31DEC2015",50.8769,69.4461,43.9679,37007.86,6.7382,6.8031,14.9898,8416.92,".",".","."
"2012-16","Cluster 37",37,"01JAN2011","31DEC2015",42.3765,52.1040,23.7207,53100.52,5.5081,6.4738,11.5714,23026.82,".",".","."
"2012-16","Cluster 38",38,"01JAN2011","31DEC2015",36.0535,49.1981,26.8860,45533.54,8.2364,7.6831,11.5621,10072.74,".",".","."
"2012-16","Cluster 39",39,"01JAN2011","31DEC2015",37.5384,50.3011,24.0627,49394.13,3.6470,4.0239,4.9117,6204.07,".",".","."
"2012-16","Non-cluster area",99,"01JAN2011","31DEC2015",17.7821,14.4755,17.9939,89933.52,6.7211,6.4359,12.3997,14253.52,".",".","."
2000,"Cluster 1",01,"01JAN2000","31DEC2000",9.9624,25.6167,6.7249,122708.99,".",".",".",".",".",".","."
2000,"Cluster 2",02,"01JAN2000","31DEC2000",25.6179,34.6522,27.1730,48718.90,".",".",".",".",".",".","."
2000,"Cluster 3",03,"01JAN2000","31DEC2000",25.8968,43.2879,38.9908,55453.28,".",".",".",".",".",".","."
2000,"Cluster 4",04,"01JAN2000","31DEC2000",15.3846,6.8722,6.5278,208355.79,".",".",".",".",".",".","."
2000,"Cluster 5",05,"01JAN2000","31DEC2000",28.3612,10.2040,10.9760,198219.79,".",".",".",".",".",".","."
2000,"Cluster 6",06,"01JAN2000","31DEC2000",10.5797,17.1217,7.9778,123930.93,".",".",".",".",".",".","."
2000,"Cluster 7",07,"01JAN2000","31DEC2000",24.7372,32.2620,41.5148,51263.79,".",".",".",".",".",".","."
2000,"Cluster 8",08,"01JAN2000","31DEC2000",33.3833,36.6213,39.8477,43382.76,".",".",".",".",".",".","."
2000,"Cluster 9",09,"01JAN2000","31DEC2000",21.9371,42.0787,20.3505,50491.46,".",".",".",".",".",".","."
2000,"Cluster 10",10,"01JAN2000","31DEC2000",4.7907,1.0670,11.3363,165008.49,".",".",".",".",".",".","."
2000,"Cluster 11",11,"01JAN2000","31DEC2000",3.5395,0.8634,5.6119,184507.42,".",".",".",".",".",".","."
2000,"Cluster 12",12,"01JAN2000","31DEC2000",6.1777,3.8889,5.4162,168257.54,".",".",".",".",".",".","."
2000,"Cluster 13",13,"01JAN2000","31DEC2000",7.1906,2.4728,0.9955,237637.98,".",".",".",".",".",".","."
2000,"Cluster 14",14,"01JAN2000","31DEC2000",13.4837,10.0567,5.0000,104010.49,".",".",".",".",".",".","."
2000,"Cluster 15",15,"01JAN2000","31DEC2000",4.7075,0.4566,4.0593,212835.61,".",".",".",".",".",".","."
2000,"Cluster 16",16,"01JAN2000","31DEC2000",4.9423,6.8613,5.5617,141185.96,".",".",".",".",".",".","."
2000,"Cluster 17",17,"01JAN2000","31DEC2000",12.0520,16.5809,10.3670,66554.12,".",".",".",".",".",".","."
2000,"Cluster 18",18,"01JAN2000","31DEC2000",14.7878,20.0838,13.2973,65317.58,".",".",".",".",".",".","."
2000,"Cluster 19",19,"01JAN2000","31DEC2000",10.4824,10.2244,9.5547,60266.41,".",".",".",".",".",".","."
2000,"Cluster 20",20,"01JAN2000","31DEC2000",8.7484,10.7815,7.0256,68828.47,".",".",".",".",".",".","."
2000,"Cluster 21",21,"01JAN2000","31DEC2000",23.2657,31.3230,18.6115,48130.40,".",".",".",".",".",".","."
2000,"Cluster 22",22,"01JAN2000","31DEC2000",20.8914,33.1931,13.9818,59223.51,".",".",".",".",".",".","."
2000,"Cluster 23",23,"01JAN2000","31DEC2000",30.9247,45.2567,21.6246,37518.79,".",".",".",".",".",".","."
2000,"Cluster 24",24,"01JAN2000","31DEC2000",14.7947,13.1362,20.4659,65285.63,".",".",".",".",".",".","."
2000,"Cluster 25",25,"01JAN2000","31DEC2000",16.7332,28.4910,18.4586,68512.06,".",".",".",".",".",".","."
2000,"Cluster 26",26,"01JAN2000","31DEC2000",12.5197,21.4326,17.0160,100413.94,".",".",".",".",".",".","."
2000,"Cluster 27",27,"01JAN2000","31DEC2000",50.3354,67.0110,61.7155,28864.08,".",".",".",".",".",".","."
2000,"Cluster 28",28,"01JAN2000","31DEC2000",37.7320,49.8569,29.7229,30282.91,".",".",".",".",".",".","."
2000,"Cluster 29",29,"01JAN2000","31DEC2000",28.3846,43.2900,12.7490,42772.51,".",".",".",".",".",".","."
2000,"Cluster 30",30,"01JAN2000","31DEC2000",28.9641,35.2749,31.8584,32836.47,".",".",".",".",".",".","."
2000,"Cluster 31",31,"01JAN2000","31DEC2000",28.9110,39.8608,22.4393,39790.64,".",".",".",".",".",".","."
2000,"Cluster 32",32,"01JAN2000","31DEC2000",24.8108,36.1728,16.7579,37350.96,".",".",".",".",".",".","."
2000,"Cluster 33",33,"01JAN2000","31DEC2000",32.8462,47.9281,20.8780,39830.95,".",".",".",".",".",".","."
2000,"Cluster 34",34,"01JAN2000","31DEC2000",15.5091,20.1862,12.7813,59012.59,".",".",".",".",".",".","."
2000,"Cluster 35",35,"01JAN2000","31DEC2000",15.4506,26.6786,10.5121,59495.85,".",".",".",".",".",".","."
2000,"Cluster 36",36,"01JAN2000","31DEC2000",47.3124,61.0844,41.9725,28848.67,".",".",".",".",".",".","."
2000,"Cluster 37",37,"01JAN2000","31DEC2000",46.0953,59.4175,24.5652,24415.71,".",".",".",".",".",".","."
2000,"Cluster 38",38,"01JAN2000","31DEC2000",46.1504,56.0897,30.6839,27677.16,".",".",".",".",".",".","."
2000,"Cluster 39",39,"01JAN2000","31DEC2000",34.0743,46.4134,17.6963,36576.35,".",".",".",".",".",".","."
2000,"Non-cluster area",99,"01JAN2000","31DEC2000",14.5145,7.2368,0.0000,56496.16,".",".",".",".",".",".","."
1990,"Cluster 1",01,"01JAN1990","31DEC1990",10.4932,21.0221,10.9668,68880.94,".",".",".",".",".",".","."
1990,"Cluster 2",02,"01JAN1990","31DEC1990",24.2724,33.0964,29.9482,31976.75,".",".",".",".",".",".","."
1990,"Cluster 3",03,"01JAN1990","31DEC1990",22.0820,24.0102,31.9444,35059.02,".",".",".",".",".",".","."
1990,"Cluster 4",04,"01JAN1990","31DEC1990",16.0707,9.8537,9.5738,130086.02,".",".",".",".",".",".","."
1990,"Cluster 5",05,"01JAN1990","31DEC1990",21.3266,9.2297,8.7061,127672.49,".",".",".",".",".",".","."
1990,"Cluster 6",06,"01JAN1990","31DEC1990",11.3041,17.0620,14.1785,68899.28,".",".",".",".",".",".","."
1990,"Cluster 7",07,"01JAN1990","31DEC1990",25.1503,27.7606,40.2334,33967.71,".",".",".",".",".",".","."
1990,"Cluster 8",08,"01JAN1990","31DEC1990",35.6389,36.9475,51.0511,23322.46,".",".",".",".",".",".","."
1990,"Cluster 9",09,"01JAN1990","31DEC1990",19.5477,47.0788,10.7717,49437.93,".",".",".",".",".",".","."
1990,"Cluster 10",10,"01JAN1990","31DEC1990",3.5937,0.9050,7.0915,100787.08,".",".",".",".",".",".","."
1990,"Cluster 11",11,"01JAN1990","31DEC1990",6.4896,1.9573,6.2207,106640.28,".",".",".",".",".",".","."
1990,"Cluster 12",12,"01JAN1990","31DEC1990",4.1661,0.0000,3.7464,111954.27,".",".",".",".",".",".","."
1990,"Cluster 13",13,"01JAN1990","31DEC1990",7.1336,4.2071,2.6702,156636.16,".",".",".",".",".",".","."
1990,"Cluster 14",14,"01JAN1990","31DEC1990",7.7794,4.5580,2.9554,91280.71,".",".",".",".",".",".","."
1990,"Cluster 15",15,"01JAN1990","31DEC1990",4.4889,0.4412,7.3010,146246.51,".",".",".",".",".",".","."
1990,"Cluster 16",16,"01JAN1990","31DEC1990",2.4072,0.0000,3.7565,101623.21,".",".",".",".",".",".","."
1990,"Cluster 17",17,"01JAN1990","31DEC1990",7.5774,7.8664,9.7833,51041.89,".",".",".",".",".",".","."
1990,"Cluster 18",18,"01JAN1990","31DEC1990",10.4000,12.4272,14.8572,46182.42,".",".",".",".",".",".","."
1990,"Cluster 19",19,"01JAN1990","31DEC1990",7.5113,5.7174,8.6879,45895.95,".",".",".",".",".",".","."
1990,"Cluster 20",20,"01JAN1990","31DEC1990",4.3635,3.3267,6.7776,57997.44,".",".",".",".",".",".","."
1990,"Cluster 21",21,"01JAN1990","31DEC1990",17.3296,19.8330,19.4325,37674.62,".",".",".",".",".",".","."
1990,"Cluster 22",22,"01JAN1990","31DEC1990",16.4508,23.3997,18.5567,40499.61,".",".",".",".",".",".","."
1990,"Cluster 23",23,"01JAN1990","31DEC1990",23.3423,30.8968,24.5012,28607.04,".",".",".",".",".",".","."
1990,"Cluster 24",24,"01JAN1990","31DEC1990",11.3722,7.7689,19.8666,47709.67,".",".",".",".",".",".","."
1990,"Cluster 25",25,"01JAN1990","31DEC1990",14.3524,17.8621,20.8366,47796.01,".",".",".",".",".",".","."
1990,"Cluster 26",26,"01JAN1990","31DEC1990",10.2148,16.3740,12.9260,66999.22,".",".",".",".",".",".","."
1990,"Cluster 27",27,"01JAN1990","31DEC1990",42.3253,56.0268,55.5916,24656.99,".",".",".",".",".",".","."
1990,"Cluster 28",28,"01JAN1990","31DEC1990",33.3452,43.9512,33.0769,25382.14,".",".",".",".",".",".","."
1990,"Cluster 29",29,"01JAN1990","31DEC1990",9.7688,5.5016,21.1470,48408.40,".",".",".",".",".",".","."
1990,"Cluster 30",30,"01JAN1990","31DEC1990",23.2968,34.8710,14.1289,28150.13,".",".",".",".",".",".","."
1990,"Cluster 31",31,"01JAN1990","31DEC1990",28.0694,40.6612,24.8610,29850.10,".",".",".",".",".",".","."
1990,"Cluster 32",32,"01JAN1990","31DEC1990",19.3266,30.1914,20.5850,30981.36,".",".",".",".",".",".","."
1990,"Cluster 33",33,"01JAN1990","31DEC1990",23.1508,36.2719,19.0546,31292.35,".",".",".",".",".",".","."
1990,"Cluster 34",34,"01JAN1990","31DEC1990",10.4485,13.9779,16.0588,43787.59,".",".",".",".",".",".","."
1990,"Cluster 35",35,"01JAN1990","31DEC1990",10.9449,18.8714,10.6238,45921.07,".",".",".",".",".",".","."
1990,"Cluster 36",36,"01JAN1990","31DEC1990",35.2995,48.0752,28.0992,23687.47,".",".",".",".",".",".","."
1990,"Cluster 37",37,"01JAN1990","31DEC1990",34.2760,49.3294,19.1589,23815.41,".",".",".",".",".",".","."
1990,"Cluster 38",38,"01JAN1990","31DEC1990",35.0522,46.4501,42.1488,22450.10,".",".",".",".",".",".","."
1990,"Cluster 39",39,"01JAN1990","31DEC1990",27.1562,38.8357,19.0892,27184.99,".",".",".",".",".",".","."
1990,"Non-cluster area",99,"01JAN1990","31DEC1990",10.8440,12.4136,17.5824,38359.59,".",".",".",".",".",".","."
"2000 to 2012-16","Cluster 1",01,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",29.263,".","."
"2000 to 2012-16","Cluster 2",02,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",51.019,".","."
"2000 to 2012-16","Cluster 3",03,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",126.726,".","."
"2000 to 2012-16","Cluster 4",04,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",8.169,".","."
"2000 to 2012-16","Cluster 5",05,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",-22.439,".","."
"2000 to 2012-16","Cluster 6",06,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",8.019,".","."
"2000 to 2012-16","Cluster 7",07,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",91.855,".","."
"2000 to 2012-16","Cluster 8",08,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",132.453,".","."
"2000 to 2012-16","Cluster 9",09,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",70.429,".","."
"2000 to 2012-16","Cluster 10",10,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",28.201,".","."
"2000 to 2012-16","Cluster 11",11,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",-2.537,".","."
"2000 to 2012-16","Cluster 12",12,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",0.795,".","."
"2000 to 2012-16","Cluster 13",13,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",11.882,".","."
"2000 to 2012-16","Cluster 14",14,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",22.645,".","."
"2000 to 2012-16","Cluster 15",15,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",9.401,".","."
"2000 to 2012-16","Cluster 16",16,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",16.197,".","."
"2000 to 2012-16","Cluster 17",17,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",6.861,".","."
"2000 to 2012-16","Cluster 18",18,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",35.175,".","."
"2000 to 2012-16","Cluster 19",19,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",2.627,".","."
"2000 to 2012-16","Cluster 20",20,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",19.439,".","."
"2000 to 2012-16","Cluster 21",21,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",76.129,".","."
"2000 to 2012-16","Cluster 22",22,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",20.734,".","."
"2000 to 2012-16","Cluster 23",23,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",18.541,".","."
"2000 to 2012-16","Cluster 24",24,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",16.166,".","."
"2000 to 2012-16","Cluster 25",25,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",74.074,".","."
"2000 to 2012-16","Cluster 26",26,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",56.411,".","."
"2000 to 2012-16","Cluster 27",27,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",204.489,".","."
"2000 to 2012-16","Cluster 28",28,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",23.047,".","."
"2000 to 2012-16","Cluster 29",29,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",-19.879,".","."
"2000 to 2012-16","Cluster 30",30,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",2.899,".","."
"2000 to 2012-16","Cluster 31",31,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",11.165,".","."
"2000 to 2012-16","Cluster 32",32,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",0.838,".","."
"2000 to 2012-16","Cluster 33",33,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",1.419,".","."
"2000 to 2012-16","Cluster 34",34,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",-8.013,".","."
"2000 to 2012-16","Cluster 35",35,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",-6.227,".","."
"2000 to 2012-16","Cluster 36",36,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",-7.960,".","."
"2000 to 2012-16","Cluster 37",37,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",56.041,".","."
"2000 to 2012-16","Cluster 38",38,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",18.037,".","."
"2000 to 2012-16","Cluster 39",39,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",-3.109,".","."
"2000 to 2012-16","Non-cluster area",99,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",14.212,".","."
"1990 to 2000","Cluster 1",01,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",35.213,".","."
"1990 to 2000","Cluster 2",02,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",15.639,".","."
"1990 to 2000","Cluster 3",03,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",20.052,".","."
"1990 to 2000","Cluster 4",04,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",21.567,".","."
"1990 to 2000","Cluster 5",05,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",17.840,".","."
"1990 to 2000","Cluster 6",06,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",36.524,".","."
"1990 to 2000","Cluster 7",07,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",14.548,".","."
"1990 to 2000","Cluster 8",08,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",41.184,".","."
"1990 to 2000","Cluster 9",09,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-22.482,".","."
"1990 to 2000","Cluster 10",10,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",24.264,".","."
"1990 to 2000","Cluster 11",11,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",31.321,".","."
"1990 to 2000","Cluster 12",12,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",14.071,".","."
"1990 to 2000","Cluster 13",13,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",15.151,".","."
"1990 to 2000","Cluster 14",14,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-13.515,".","."
"1990 to 2000","Cluster 15",15,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",10.459,".","."
"1990 to 2000","Cluster 16",16,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",5.449,".","."
"1990 to 2000","Cluster 17",17,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-1.033,".","."
"1990 to 2000","Cluster 18",18,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",7.348,".","."
"1990 to 2000","Cluster 19",19,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-0.335,".","."
"1990 to 2000","Cluster 20",20,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-9.926,".","."
"1990 to 2000","Cluster 21",21,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-3.035,".","."
"1990 to 2000","Cluster 22",22,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",10.990,".","."
"1990 to 2000","Cluster 23",23,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-0.455,".","."
"1990 to 2000","Cluster 24",24,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",3.861,".","."
"1990 to 2000","Cluster 25",25,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",8.797,".","."
"1990 to 2000","Cluster 26",26,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",13.754,".","."
"1990 to 2000","Cluster 27",27,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-11.149,".","."
"1990 to 2000","Cluster 28",28,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-9.445,".","."
"1990 to 2000","Cluster 29",29,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-32.936,".","."
"1990 to 2000","Cluster 30",30,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-11.464,".","."
"1990 to 2000","Cluster 31",31,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",1.176,".","."
"1990 to 2000","Cluster 32",32,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-8.495,".","."
"1990 to 2000","Cluster 33",33,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-3.389,".","."
"1990 to 2000","Cluster 34",34,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",2.291,".","."
"1990 to 2000","Cluster 35",35,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-1.663,".","."
"1990 to 2000","Cluster 36",36,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-7.562,".","."
"1990 to 2000","Cluster 37",37,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-22.187,".","."
"1990 to 2000","Cluster 38",38,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",-6.428,".","."
"1990 to 2000","Cluster 39",39,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",2.121,".","."
"1990 to 2000","Non-cluster area",99,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",11.786,".","."
2000,"Cluster 1",01,"01JAN2000","31DEC2000",".",".",".",".",".",".",".",".",".",247.00,546.00
2001,"Cluster 1",01,"01JAN2001","31DEC2001",".",".",".",".",".",".",".",".",".",241.00,526.00
2002,"Cluster 1",01,"01JAN2002","31DEC2002",".",".",".",".",".",".",".",".",".",233.50,536.50
2003,"Cluster 1",01,"01JAN2003","31DEC2003",".",".",".",".",".",".",".",".",".",212.00,550.50
2004,"Cluster 1",01,"01JAN2004","31DEC2004",".",".",".",".",".",".",".",".",".",178.50,566.00
2005,"Cluster 1",01,"01JAN2005","31DEC2005",".",".",".",".",".",".",".",".",".",155.00,534.00
2006,"Cluster 1",01,"01JAN2006","31DEC2006",".",".",".",".",".",".",".",".",".",128.50,527.00
2007,"Cluster 1",01,"01JAN2007","31DEC2007",".",".",".",".",".",".",".",".",".",121.50,516.50
2008,"Cluster 1",01,"01JAN2008","31DEC2008",".",".",".",".",".",".",".",".",".",118.50,464.50
2009,"Cluster 1",01,"01JAN2009","31DEC2009",".",".",".",".",".",".",".",".",".",137.00,562.00
2010,"Cluster 1",01,"01JAN2010","31DEC2010",".",".",".",".",".",".",".",".",".",145.50,655.50
2011,"Cluster 1",01,"01JAN2011","31DEC2011",".",".",".",".",".",".",".",".",".",163.50,790.50
2012,"Cluster 1",01,"01JAN2012","31DEC2012",".",".",".",".",".",".",".",".",".",133.50,856.50
2013,"Cluster 1",01,"01JAN2013","31DEC2013",".",".",".",".",".",".",".",".",".",147.50,858.00
2014,"Cluster 1",01,"01JAN2014","31DEC2014",".",".",".",".",".",".",".",".",".",125.50,767.50
2015,"Cluster 1",01,"01JAN2015","31DEC2015",".",".",".",".",".",".",".",".",".",139.50,760.00
2000,"Cluster 2",02,"01JAN2000","31DEC2000",".",".",".",".",".",".",".",".",".",3423.29,6455.90
2001,"Cluster 2",02,"01JAN2001","31DEC2001",".",".",".",".",".",".",".",".",".",3448.16,6179.38
