"timeframe","county","county_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
1990,"Spotsylvania County, VA",51177,"01JAN1990","31DEC1990",4.9463,5.3407,10.4409,48208.30,".",".",".",".",".",".","."
1990,"Stafford County, VA",51179,"01JAN1990","31DEC1990",4.0680,4.3689,9.4815,52350.92,".",".",".",".",".",".","."
1990,"Warren County, VA",51187,"01JAN1990","31DEC1990",7.6794,8.7973,11.5598,39495.71,".",".",".",".",".",".","."
1990,"Alexandria city, VA",51510,"01JAN1990","31DEC1990",7.0696,10.9076,9.3913,64160.81,".",".",".",".",".",".","."
1990,"Fairfax city, VA",51600,"01JAN1990","31DEC1990",6.0221,5.3366,5.3962,63911.73,".",".",".",".",".",".","."
1990,"Falls Church city, VA",51610,"01JAN1990","31DEC1990",5.1931,3.9747,12.3429,73096.69,".",".",".",".",".",".","."
1990,"Fredericksburg city, VA",51630,"01JAN1990","31DEC1990",12.1503,15.5833,13.2556,42310.07,".",".",".",".",".",".","."
1990,"Manassas city, VA",51683,"01JAN1990","31DEC1990",3.8091,4.6125,7.1826,56940.63,".",".",".",".",".",".","."
1990,"Manassas Park city, VA",51685,"01JAN1990","31DEC1990",3.7664,4.7127,6.1683,43483.10,".",".",".",".",".",".","."
1990,"Jefferson County, WV",54037,"01JAN1990","31DEC1990",10.5788,13.6769,15.4186,40734.41,".",".",".",".",".",".","."
"2000 to 2012-16","District of Columbia, DC",11001,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",27.7842,".","."
"2000 to 2012-16","Calvert County, MD",24009,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",9.1447,".","."
"2000 to 2012-16","Charles County, MD",24017,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",11.8705,".","."
"2000 to 2012-16","Frederick County, MD",24021,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",6.8288,".","."
"2000 to 2012-16","Montgomery County, MD",24031,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",3.0891,".","."
"2000 to 2012-16","Prince George's County, MD",24033,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",3.8815,".","."
"2000 to 2012-16","Arlington County, VA",51013,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",29.2823,".","."
"2000 to 2012-16","Clarke County, VA",51043,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",9.2793,".","."
"2000 to 2012-16","Culpeper County, VA",51047,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",8.4992,".","."
