"timeframe","anc2012","anc2012_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2010-14","ANC 6A","6A","01JAN2010","31DEC2014",11,12,17,149605,2.3,5.4,6.3,17250,"X","X","X"
"2010-14","ANC 6B","6B","01JAN2010","31DEC2014",13,24,8.2,210971,3.2,7.9,4.1,21608,"X","X","X"
"2010-14","ANC 6C","6C","01JAN2010","31DEC2014",14,8.4,13,175897,3.2,9.0,9.2,25120,"X","X","X"
"2010-14","ANC 6D","6D","01JAN2010","31DEC2014",13,24,11,130555,2.0,9.2,4.1,23700,"X","X","X"
"2010-14","ANC 6E","6E","01JAN2010","31DEC2014",21,33,28,98439,4.5,13,8.3,18394,"X","X","X"
"2010-14","ANC 7B","7B","01JAN2010","31DEC2014",17,23,15,86968,3.9,8.1,6.0,12140,"X","X","X"
"2010-14","ANC 7C","7C","01JAN2010","31DEC2014",27,33,20,66344,5.1,6.3,4.4,12827,"X","X","X"
"2010-14","ANC 7D","7D","01JAN2010","31DEC2014",28,42,16,54298,4.2,8.1,4.6,8477,"X","X","X"
"2010-14","ANC 7E","7E","01JAN2010","31DEC2014",24,35,14,59272,4.7,6.2,5.2,7808,"X","X","X"
"2010-14","ANC 7F","7F","01JAN2010","31DEC2014",37,54,16,54279,7.3,9.8,7.0,14858,"X","X","X"
"2010-14","ANC 8A","8A","01JAN2010","31DEC2014",32,50,19,56653,4.3,6.3,7.0,9660,"X","X","X"
"2010-14","ANC 8B","8B","01JAN2010","31DEC2014",44,58,34,45819,5.9,4.7,12,9860,"X","X","X"
"2010-14","ANC 8C","8C","01JAN2010","31DEC2014",35,50,23,53154,4.9,5.2,7.5,7250,"X","X","X"
"2010-14","ANC 8D","8D","01JAN2010","31DEC2014",37,44,27,49722,5.9,6.0,9.3,9218,"X","X","X"
"2010-14","ANC 8E","8E","01JAN2010","31DEC2014",39,50,27,48210,5.4,5.3,8.1,6752,"X","X","X"
2000,"ANC 1A","1A","01JAN2000","31DEC2000",27,35,23,66794,".",".",".",".","X","X","X"
2000,"ANC 1B","1B","01JAN2000","31DEC2000",30,39,37,63335,".",".",".",".","X","X","X"
2000,"ANC 1C","1C","01JAN2000","31DEC2000",11,28,8.6,145219,".",".",".",".","X","X","X"
2000,"ANC 1D","1D","01JAN2000","31DEC2000",18,29,26,104606,".",".",".",".","X","X","X"
2000,"ANC 2A","2A","01JAN2000","31DEC2000",27,7.7,12,290573,".",".",".",".","X","X","X"
2000,"ANC 2B","2B","01JAN2000","31DEC2000",12,24,13,175016,".",".",".",".","X","X","X"
2000,"ANC 2C","2C","01JAN2000","31DEC2000",33,37,56,125890,".",".",".",".","X","X","X"
2000,"ANC 2D","2D","01JAN2000","31DEC2000",3.6,4.3,1.8,360143,".",".",".",".","X","X","X"
2000,"ANC 2E","2E","01JAN2000","31DEC2000",15,5.5,7.8,350953,".",".",".",".","X","X","X"
2000,"ANC 2F","2F","01JAN2000","31DEC2000",23,36,42,87834,".",".",".",".","X","X","X"
2000,"ANC 3B","3B","01JAN2000","31DEC2000",14,13,5.7,170637,".",".",".",".","X","X","X"
2000,"ANC 3C","3C","01JAN2000","31DEC2000",5.8,1.2,4.1,274946,".",".",".",".","X","X","X"
