"timeframe","cluster2017","cluster2017_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2014-18","Cluster 46","Cluster 46","01JAN2014","31DEC2018",15,3.7,14,122006,21,26,41,132076,"X","X","X"
"2010-14","Cluster 01","Cluster 1","01JAN2010","31DEC2014",7.2,5.3,5.4,206689,1.7,10,4.3,34929,"X","X","X"
"2010-14","Cluster 02","Cluster 2","01JAN2010","31DEC2014",14,27,21,103048,1.8,4.8,4.9,10117,"X","X","X"
"2010-14","Cluster 03","Cluster 3","01JAN2010","31DEC2014",15,25,35,158470,4.1,14,13,33563,"X","X","X"
"2010-14","Cluster 04","Cluster 4","01JAN2010","31DEC2014",11,1.1,2.8,344196,3.1,5.1,3.8,61144,"X","X","X"
"2010-14","Cluster 05","Cluster 5","01JAN2010","31DEC2014",20,20,11,264894,4.0,59,8.3,95547,"X","X","X"
"2010-14","Cluster 06","Cluster 6","01JAN2010","31DEC2014",10,9.1,9.4,190011,2.0,17,6.2,43895,"X","X","X"
"2010-14","Cluster 07","Cluster 7","01JAN2010","31DEC2014",15,23,28,141043,3.3,10,9.1,29686,"X","X","X"
"2010-14","Cluster 08","Cluster 8","01JAN2010","31DEC2014",19,33,24,136892,4.0,16,7.4,25910,"X","X","X"
"2010-14","Cluster 09","Cluster 9","01JAN2010","31DEC2014",14,29,6.1,127393,2.5,10,3.6,27437,"X","X","X"
"2010-14","Cluster 10","Cluster 10","01JAN2010","31DEC2014",6.3,1.9,3.1,292679,2.0,3.0,3.0,32338,"X","X","X"
"2010-14","Cluster 11","Cluster 11","01JAN2010","31DEC2014",5.8,0.7,4.4,233314,1.9,3.0,3.8,31699,"X","X","X"
"2010-14","Cluster 12","Cluster 12","01JAN2010","31DEC2014",8.8,3.0,7.1,259547,2.9,6.5,5.8,60763,"X","X","X"
"2010-14","Cluster 13","Cluster 13","01JAN2010","31DEC2014",12,1.7,1.4,383139,3.5,3.4,2.3,50373,"X","X","X"
"2010-14","Cluster 14","Cluster 14","01JAN2010","31DEC2014",13,5.1,3.9,244952,3.1,6.0,2.8,42781,"X","X","X"
"2010-14","Cluster 15","Cluster 15","01JAN2010","31DEC2014",7.8,4.1,2.8,302816,2.2,5.9,4.2,52320,"X","X","X"
"2010-14","Cluster 16","Cluster 16","01JAN2010","31DEC2014",2.9,1.3,2.7,218689,1.9,5.3,2.9,36523,"X","X","X"
"2010-14","Cluster 17","Cluster 17","01JAN2010","31DEC2014",14,19,12,99669,2.9,4.9,4.0,11256,"X","X","X"
"2010-14","Cluster 18","Cluster 18","01JAN2010","31DEC2014",16,23,13,115363,2.7,4.8,2.9,11320,"X","X","X"
"2010-14","Cluster 19","Cluster 19","01JAN2010","31DEC2014",16,21,14,87781,3.9,6.7,5.2,13683,"X","X","X"
"2010-14","Cluster 20","Cluster 20","01JAN2010","31DEC2014",13,14,10,90482,3.7,6.5,4.3,12376,"X","X","X"
"2010-14","Cluster 21","Cluster 21","01JAN2010","31DEC2014",20,24,20,108775,2.6,6.4,5.8,13787,"X","X","X"
"2010-14","Cluster 22","Cluster 22","01JAN2010","31DEC2014",17,19,17,97066,4.4,7.6,5.9,11757,"X","X","X"
"2010-14","Cluster 23","Cluster 23","01JAN2010","31DEC2014",31,38,20,59686,4.5,7.1,5.8,9691,"X","X","X"
"2010-14","Cluster 24","Cluster 24","01JAN2010","31DEC2014",18,2.1,30,104106,4.7,5.2,8.1,19603,"X","X","X"
"2010-14","Cluster 25","Cluster 25","01JAN2010","31DEC2014",14,16,18,146735,2.1,5.1,5.4,13951,"X","X","X"
"2010-14","Cluster 26","Cluster 26","01JAN2010","31DEC2014",12,20,7.6,207931,2.7,6.8,3.9,19360,"X","X","X"
"2010-14","Cluster 27","Cluster 27","01JAN2010","31DEC2014",10,6.3,37,141310,3.0,16,15,45810,"X","X","X"
"2010-14","Cluster 28","Cluster 28","01JAN2010","31DEC2014",46,63,19,45809,9.3,8.5,12,11515,"X","X","X"
"2010-14","Cluster 29","Cluster 29","01JAN2010","31DEC2014",43,68,5.8,50192,13,15,5.7,13373,"X","X","X"
"2010-14","Cluster 30","Cluster 30","01JAN2010","31DEC2014",32,44,20,41715,6.6,12,8.9,10834,"X","X","X"
"2010-14","Cluster 31","Cluster 31","01JAN2010","31DEC2014",27,33,20,65665,5.3,6.4,4.7,13123,"X","X","X"
"2010-14","Cluster 32","Cluster 32","01JAN2010","31DEC2014",29,46,14,62289,6.6,11,5.1,15606,"X","X","X"
"2010-14","Cluster 33","Cluster 33","01JAN2010","31DEC2014",28,40,16,55859,4.6,5.9,5.0,7467,"X","X","X"
"2010-14","Cluster 34","Cluster 34","01JAN2010","31DEC2014",20,28,15,79101,3.1,7.7,4.5,10650,"X","X","X"
"2010-14","Cluster 35","Cluster 35","01JAN2010","31DEC2014",15,16,19,86604,5.9,12,13,23923,"X","X","X"
"2010-14","Cluster 36","Cluster 36","01JAN2010","31DEC2014",54,70,47,46208,8.8,6.1,19,17198,"X","X","X"
"2010-14","Cluster 37","Cluster 37","01JAN2010","31DEC2014",39,52,26,42117,6.0,6.5,14,9088,"X","X","X"
"2010-14","Cluster 38","Cluster 38","01JAN2010","31DEC2014",38,47,28,44583,6.4,5.5,10,7355,"X","X","X"
"2010-14","Cluster 39","Cluster 39","01JAN2010","31DEC2014",37,51,24,49217,3.9,4.4,5.2,5857,"X","X","X"
"2010-14","Cluster 40","Cluster 40","01JAN2010","31DEC2014",20,20,14,85733,29,45,41,58132,"X","X","X"
"2010-14","Cluster 41","Cluster 41","01JAN2010","31DEC2014",7.1,3.0,9.0,175194,8.4,18,15,117388,"X","X","X"
"2010-14","Cluster 43","Cluster 43","01JAN2010","31DEC2014",34,54,13,55601,29,31,28,41350,"X","X","X"
"2010-14","Cluster 44","Cluster 44","01JAN2010","31DEC2014",22,20,22,77889,10,7.7,30,18025,"X","X","X"
"2010-14","Cluster 46","Cluster 46","01JAN2010","31DEC2014",18,4.8,26,116819,27,22,58,95163,"X","X","X"
2000,"Cluster 01","Cluster 1","01JAN2000","31DEC2000",10.0,26,6.8,183878,".",".",".",".","X","X","X"
2000,"Cluster 02","Cluster 2","01JAN2000","31DEC2000",25,35,27,73779,".",".",".",".","X","X","X"
2000,"Cluster 03","Cluster 3","01JAN2000","31DEC2000",28,43,38,73254,".",".",".",".","X","X","X"
2000,"Cluster 04","Cluster 4","01JAN2000","31DEC2000",15,5.7,7.6,346307,".",".",".",".","X","X","X"
2000,"Cluster 05","Cluster 5","01JAN2000","31DEC2000",28,11,11,294739,".",".",".",".","X","X","X"
2000,"Cluster 06","Cluster 6","01JAN2000","31DEC2000",12,24,14,174025,".",".",".",".","X","X","X"
2000,"Cluster 07","Cluster 7","01JAN2000","31DEC2000",25,33,42,75592,".",".",".",".","X","X","X"
2000,"Cluster 08","Cluster 8","01JAN2000","31DEC2000",31,34,40,70102,".",".",".",".","X","X","X"
2000,"Cluster 09","Cluster 9","01JAN2000","31DEC2000",22,42,20,76103,".",".",".",".","X","X","X"
2000,"Cluster 10","Cluster 10","01JAN2000","31DEC2000",4.3,0.9,11,256305,".",".",".",".","X","X","X"
2000,"Cluster 11","Cluster 11","01JAN2000","31DEC2000",4.7,1.5,5.3,263993,".",".",".",".","X","X","X"
2000,"Cluster 12","Cluster 12","01JAN2000","31DEC2000",6.5,3.8,5.0,275995,".",".",".",".","X","X","X"
2000,"Cluster 13","Cluster 13","01JAN2000","31DEC2000",7.1,2.2,1.2,368807,".",".",".",".","X","X","X"
2000,"Cluster 14","Cluster 14","01JAN2000","31DEC2000",13,8.2,3.4,208456,".",".",".",".","X","X","X"
2000,"Cluster 15","Cluster 15","01JAN2000","31DEC2000",4.7,0.9,4.7,282743,".",".",".",".","X","X","X"
2000,"Cluster 16","Cluster 16","01JAN2000","31DEC2000",4.9,6.9,5.6,212802,".",".",".",".","X","X","X"
2000,"Cluster 17","Cluster 17","01JAN2000","31DEC2000",12,17,10,98217,".",".",".",".","X","X","X"
2000,"Cluster 18","Cluster 18","01JAN2000","31DEC2000",15,21,14,99385,".",".",".",".","X","X","X"
2000,"Cluster 19","Cluster 19","01JAN2000","31DEC2000",9.7,11,9.2,92458,".",".",".",".","X","X","X"
2000,"Cluster 20","Cluster 20","01JAN2000","31DEC2000",9.6,11,7.5,101145,".",".",".",".","X","X","X"
2000,"Cluster 21","Cluster 21","01JAN2000","31DEC2000",23,31,18,72828,".",".",".",".","X","X","X"
2000,"Cluster 22","Cluster 22","01JAN2000","31DEC2000",18,28,13,93026,".",".",".",".","X","X","X"
2000,"Cluster 23","Cluster 23","01JAN2000","31DEC2000",30,45,21,57619,".",".",".",".","X","X","X"
2000,"Cluster 24","Cluster 24","01JAN2000","31DEC2000",16,11,26,97303,".",".",".",".","X","X","X"
2000,"Cluster 25","Cluster 25","01JAN2000","31DEC2000",18,30,19,95043,".",".",".",".","X","X","X"
2000,"Cluster 26","Cluster 26","01JAN2000","31DEC2000",15,33,19,139494,".",".",".",".","X","X","X"
2000,"Cluster 27","Cluster 27","01JAN2000","31DEC2000",62,78,73,36086,".",".",".",".","X","X","X"
2000,"Cluster 28","Cluster 28","01JAN2000","31DEC2000",38,50,30,45496,".",".",".",".","X","X","X"
2000,"Cluster 29","Cluster 29","01JAN2000","31DEC2000",28,43,13,64469,".",".",".",".","X","X","X"
2000,"Cluster 30","Cluster 30","01JAN2000","31DEC2000",30,38,32,49061,".",".",".",".","X","X","X"
2000,"Cluster 31","Cluster 31","01JAN2000","31DEC2000",28,37,22,61080,".",".",".",".","X","X","X"
2000,"Cluster 32","Cluster 32","01JAN2000","31DEC2000",24,35,17,58138,".",".",".",".","X","X","X"
2000,"Cluster 33","Cluster 33","01JAN2000","31DEC2000",33,48,21,58992,".",".",".",".","X","X","X"
2000,"Cluster 34","Cluster 34","01JAN2000","31DEC2000",15,21,12,91201,".",".",".",".","X","X","X"
2000,"Cluster 35","Cluster 35","01JAN2000","31DEC2000",16,27,12,83805,".",".",".",".","X","X","X"
2000,"Cluster 36","Cluster 36","01JAN2000","31DEC2000",47,61,42,43516,".",".",".",".","X","X","X"
2000,"Cluster 37","Cluster 37","01JAN2000","31DEC2000",46,59,25,36702,".",".",".",".","X","X","X"
2000,"Cluster 38","Cluster 38","01JAN2000","31DEC2000",45,56,28,41771,".",".",".",".","X","X","X"
2000,"Cluster 39","Cluster 39","01JAN2000","31DEC2000",33,45,18,56102,".",".",".",".","X","X","X"
2000,"Cluster 40","Cluster 40","01JAN2000","31DEC2000",6.5,"i","i",211014,".",".",".",".","X","X","X"
2000,"Cluster 41","Cluster 41","01JAN2000","31DEC2000",8.8,9.6,9.9,184721,".",".",".",".","X","X","X"
2000,"Cluster 43","Cluster 43","01JAN2000","31DEC2000",71,73,34,37379,".",".",".",".","X","X","X"
2000,"Cluster 44","Cluster 44","01JAN2000","31DEC2000",11,9.8,7.9,83271,".",".",".",".","X","X","X"
2000,"Cluster 46","Cluster 46","01JAN2000","31DEC2000","i","i","i",".",".",".",".",".","X","X","X"
1990,"Cluster 01","Cluster 1","01JAN1990","31DEC1990",11,21,11,138460,".",".",".",".","X","X","X"
