"timeframe","county","TotPop","TotPop_m","county_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear"
2000,"Clarke County, VA",12682,".",51043,"01JAN2000","31DEC2000",23,15,2.5,7.0,91,1.6,0.6,18,".",".",".",".",".",".",".",".","X","X","X"
2000,"Culpeper County, VA",34245,".",51047,"01JAN2000","31DEC2000",26,12,3.5,18,77,3.0,1.2,21,".",".",".",".",".",".",".",".","X","X","X"
2000,"Fairfax County, VA",970337,".",51059,"01JAN2000","31DEC2000",25,7.8,25,9.0,65,11,14,14,".",".",".",".",".",".",".",".","X","X","X"
2000,"Fauquier County, VA",55152,".",51061,"01JAN2000","31DEC2000",27,11,3.6,8.9,88,2.0,1.1,14,".",".",".",".",".",".",".",".","X","X","X"
2000,"Loudoun County, VA",168887,".",51107,"01JAN2000","31DEC2000",30,5.5,11,7.4,80,6.0,6.2,12,".",".",".",".",".",".",".",".","X","X","X"
2000,"Prince William County, VA",281521,".",51153,"01JAN2000","31DEC2000",30,4.6,11,20,65,9.7,4.7,19,".",".",".",".",".",".",".",".","X","X","X"
2000,"Rappahannock County, VA",7063,".",51157,"01JAN2000","31DEC2000",23,14,3.2,5.0,92,2.0,0.6,11,".",".",".",".",".",".",".",".","X","X","X"
2000,"Spotsylvania County, VA",89941,".",51177,"01JAN2000","31DEC2000",30,8.1,3.2,13,82,2.6,2.1,15,".",".",".",".",".",".",".",".","X","X","X"
2000,"Stafford County, VA",92446,".",51179,"01JAN2000","31DEC2000",32,5.8,4.0,13,81,3.4,2.4,14,".",".",".",".",".",".",".",".","X","X","X"
2000,"Warren County, VA",31427,".",51187,"01JAN2000","31DEC2000",26,12,2.1,6.2,92,1.2,0.8,21,".",".",".",".",".",".",".",".","X","X","X"
2000,"Alexandria city, VA",128635,".",51510,"01JAN2000","31DEC2000",17,8.9,25,23,55,15,6.6,27,".",".",".",".",".",".",".",".","X","X","X"
2000,"Fairfax city, VA",21512,".",51600,"01JAN2000","31DEC2000",20,13,25,5.2,68,14,13,14,".",".",".",".",".",".",".",".","X","X","X"
2000,"Falls Church city, VA",10377,".",51610,"01JAN2000","31DEC2000",24,12,16,2.9,80,8.6,7.8,21,".",".",".",".",".",".",".",".","X","X","X"
2000,"Fredericksburg city, VA",19733,".",51630,"01JAN2000","31DEC2000",18,13,5.2,21,72,4.8,1.6,36,".",".",".",".",".",".",".",".","X","X","X"
2000,"Manassas city, VA",34649,".",51683,"01JAN2000","31DEC2000",30,5.3,14,14,67,15,3.7,17,".",".",".",".",".",".",".",".","X","X","X"
2000,"Manassas Park city, VA",10072,".",51685,"01JAN2000","31DEC2000",31,4.6,15,11,68,15,4.7,21,".",".",".",".",".",".",".",".","X","X","X"
2000,"Jefferson County, WV",42253,".",54037,"01JAN2000","31DEC2000",24,11,2.1,6.2,91,1.6,1.1,20,".",".",".",".",".",".",".",".","X","X","X"
1990,"District of Columbia, DC",606900,".",11001,"01JAN1990","31DEC1990",19,13,9.7,65,27,5.2,1.8,54,".",".",".",".",".",".",".",".","X","X","X"
1990,"Calvert County, MD",50957,".",24009,"01JAN1990","31DEC1990",29,8.8,1.6,16,82,1.0,0.4,18,".",".",".",".",".",".",".",".","X","X","X"
1990,"Charles County, MD",101154,".",24017,"01JAN1990","31DEC1990",29,6.6,2.1,18,78,1.5,1.2,18,".",".",".",".",".",".",".",".","X","X","X"
1990,"Frederick County, MD",150438,".",24021,"01JAN1990","31DEC1990",26,9.4,2.0,5.3,93,1.0,0.9,13,".",".",".",".",".",".",".",".","X","X","X"
1990,"Montgomery County, MD",761956,".",24031,"01JAN1990","31DEC1990",23,10,19,12,72,7.2,8.1,16,".",".",".",".",".",".",".",".","X","X","X"
1990,"Prince George's County, MD",724113,".",24033,"01JAN1990","31DEC1990",24,6.8,9.5,50,42,3.9,3.7,31,".",".",".",".",".",".",".",".","X","X","X"
1990,"Arlington County, VA",170376,".",51013,"01JAN1990","31DEC1990",15,11,21,10,69,13,6.6,20,".",".",".",".",".",".",".",".","X","X","X"
1990,"Clarke County, VA",12107,".",51043,"01JAN1990","31DEC1990",23,14,1.5,8.9,90,0.2,0.5,17,".",".",".",".",".",".",".",".","X","X","X"
1990,"Culpeper County, VA",27776,".",51047,"01JAN1990","31DEC1990",27,12,1.8,17,81,0.7,1.0,20,".",".",".",".",".",".",".",".","X","X","X"
1990,"Fairfax County, VA",819461,".",51059,"01JAN1990","31DEC1990",24,6.5,16,7.6,78,6.2,8.3,14,".",".",".",".",".",".",".",".","X","X","X"
1990,"Fauquier County, VA",48722,".",51061,"01JAN1990","31DEC1990",27,9.0,2.3,11,86,1.4,0.9,11,".",".",".",".",".",".",".",".","X","X","X"
1990,"Loudoun County, VA",85602,".",51107,"01JAN1990","31DEC1990",27,6.0,5.7,7.2,88,2.5,2.4,13,".",".",".",".",".",".",".",".","X","X","X"
1990,"Prince William County, VA",216566,".",51153,"01JAN1990","31DEC1990",30,3.0,6.2,11,81,4.3,3.1,13,".",".",".",".",".",".",".",".","X","X","X"
1990,"Rappahannock County, VA",6676,".",51157,"01JAN1990","31DEC1990",22,13,1.8,7.4,91,0.7,0.5,19,".",".",".",".",".",".",".",".","X","X","X"
1990,"Spotsylvania County, VA",57133,".",51177,"01JAN1990","31DEC1990",31,7.2,1.8,11,86,1.5,0.9,11,".",".",".",".",".",".",".",".","X","X","X"
1990,"Stafford County, VA",61236,".",51179,"01JAN1990","31DEC1990",29,5.9,3.0,6.8,90,2.1,1.2,11,".",".",".",".",".",".",".",".","X","X","X"
1990,"Warren County, VA",26044,".",51187,"01JAN1990","31DEC1990",24,13,1.4,4.5,94,1.0,0.2,17,".",".",".",".",".",".",".",".","X","X","X"
1990,"Alexandria city, VA",111551,".",51510,"01JAN1990","31DEC1990",15,10,16,22,64,9.4,4.1,30,".",".",".",".",".",".",".",".","X","X","X"
1990,"Fairfax city, VA",19849,".",51600,"01JAN1990","31DEC1990",19,11,15,5.1,81,6.8,6.7,17,".",".",".",".",".",".",".",".","X","X","X"
1990,"Falls Church city, VA",9109,".",51610,"01JAN1990","31DEC1990",19,15,11,3.2,85,6.3,4.9,15,".",".",".",".",".",".",".",".","X","X","X"
1990,"Fredericksburg city, VA",19297,".",51630,"01JAN1990","31DEC1990",19,14,2.9,21,75,2.1,1.0,26,".",".",".",".",".",".",".",".","X","X","X"
1990,"Manassas city, VA",27003,".",51683,"01JAN1990","31DEC1990",28,4.8,7.6,10,81,5.8,3.0,14,".",".",".",".",".",".",".",".","X","X","X"
1990,"Manassas Park city, VA",6820,".",51685,"01JAN1990","31DEC1990",32,3.9,5.4,7.2,86,4.7,2.3,22,".",".",".",".",".",".",".",".","X","X","X"
