"timeframe","zip","TotPop","TotPop_m","zip_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
2000,"ZIP 20001",33216,".",20001,"01JAN2000","31DEC2000",21,11,12,83,6.0,7.7,2.9,59,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20002",49427,".",20002,"01JAN2000","31DEC2000",21,13,4.5,79,18,2.3,1.1,63,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20003",23279,".",20003,"01JAN2000","31DEC2000",15,9.3,5.2,55,39,3.1,2.0,52,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20004",872,".",20004,"01JAN2000","31DEC2000",7.2,17,43,13,41,6.0,40,13,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20005",10553,".",20005,"01JAN2000","31DEC2000",10,8.9,30,33,37,23,6.8,30,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20006",1843,".",20006,"01JAN2000","31DEC2000",0.2,1.3,12,4.2,74,4.2,17,0.0,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20007",24458,".",20007,"01JAN2000","31DEC2000",8.9,11,22,4.0,83,6.0,6.4,15,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20008",26188,".",20008,"01JAN2000","31DEC2000",9.0,14,19,6.6,79,6.9,6.5,11,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20009",46679,".",20009,"01JAN2000","31DEC2000",13,6.4,27,31,42,21,5.0,45,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20010",28628,".",20010,"01JAN2000","31DEC2000",22,8.9,35,48,16,32,3.5,43,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20011",58213,".",20011,"01JAN2000","31DEC2000",21,17,18,79,6.3,13,1.1,46,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20012",12949,".",20012,"01JAN2000","31DEC2000",18,17,15,74,14,9.6,1.0,40,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20015",15936,".",20015,"01JAN2000","31DEC2000",18,22,14,10,79,4.5,5.3,11,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20016",31231,".",20016,"01JAN2000","31DEC2000",13,14,19,5.9,80,6.8,6.1,12,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20017",15711,".",20017,"01JAN2000","31DEC2000",21,20,5.5,84,10,4.2,0.7,52,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20018",16767,".",20018,"01JAN2000","31DEC2000",21,22,3.1,94,2.6,2.3,0.7,52,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20019",52888,".",20019,"01JAN2000","31DEC2000",30,14,1.1,98,0.6,0.8,0.3,69,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20020",49343,".",20020,"01JAN2000","31DEC2000",32,9.6,1.4,97,1.7,0.7,0.3,71,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20024",11622,".",20024,"01JAN2000","31DEC2000",15,15,10,67,25,4.3,2.4,72,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20032",32155,".",20032,"01JAN2000","31DEC2000",34,6.9,2.1,97,1.3,0.8,0.5,72,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20036",3809,".",20036,"01JAN2000","31DEC2000",2.9,7.0,23,6.5,76,8.9,8.1,47,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20037",11328,".",20037,"01JAN2000","31DEC2000",1.8,14,23,6.7,76,6.0,11,13,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20052",1226,".",20052,"01JAN2000","31DEC2000",0.2,1.3,12,4.2,74,4.2,17,0.0,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20057",4460,".",20057,"01JAN2000","31DEC2000",0.0,1.6,1.7,5.8,84,2.3,7.8,"i",".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20059",553,".",20059,"01JAN2000","31DEC2000",13,7.3,9.8,94,0.8,3.4,0.7,76,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20064",3489,".",20064,"01JAN2000","31DEC2000",12,9.0,13,62,29,5.8,2.6,52,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20332",677,".",20332,"01JAN2000","31DEC2000",37,0.6,7.0,31,55,8.8,4.6,13,".",".",".",".",".",".",".",".","X","X","X",1
2000,"ZIP 20336",4557,".",20336,"01JAN2000","31DEC2000",37,0.6,7.0,31,55,8.8,4.6,13,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20001",33404,".",20001,"01JAN1990","31DEC1990",21,13,7.3,88,5.8,3.9,1.8,61,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20002",56943,".",20002,"01JAN1990","31DEC1990",21,14,2.8,82,16,1.4,0.5,61,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20003",25080,".",20003,"01JAN1990","31DEC1990",15,9.5,4.1,58,39,1.5,1.2,56,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20004",458,".",20004,"01JAN1990","31DEC1990",3.5,26,60,18,14,3.8,64,0.0,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20005",9908,".",20005,"01JAN1990","31DEC1990",9.5,12,21,47,34,14,4.8,48,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20006",2223,".",20006,"01JAN1990","31DEC1990",0.6,4.7,13,4.9,82,3.7,8.1,0.0,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20007",23957,".",20007,"01JAN1990","31DEC1990",9.0,12,20,3.3,86,6.7,4.3,24,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20008",26479,".",20008,"01JAN1990","31DEC1990",9.2,18,19,5.6,83,7.5,3.9,12,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20009",46995,".",20009,"01JAN1990","31DEC1990",15,8.1,23,44,36,18,2.2,47,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20010",28407,".",20010,"01JAN1990","31DEC1990",20,13,26,62,16,21,2.1,52,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20011",61625,".",20011,"01JAN1990","31DEC1990",18,17,9.6,88,6.8,4.4,0.6,52,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20012",14059,".",20012,"01JAN1990","31DEC1990",17,15,9.9,77,17,3.5,1.7,36,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20015",14744,".",20015,"01JAN1990","31DEC1990",19,20,12,8.1,85,3.5,3.3,12,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20016",30712,".",20016,"01JAN1990","31DEC1990",12,16,19,4.7,84,6.7,4.4,12,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20017",16608,".",20017,"01JAN1990","31DEC1990",17,17,4.8,82,15,2.1,0.7,42,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20018",17993,".",20018,"01JAN1990","31DEC1990",20,21,2.9,94,4.0,0.9,0.2,51,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20019",59813,".",20019,"01JAN1990","31DEC1990",27,13,0.9,98,0.7,0.6,0.2,67,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20020",53583,".",20020,"01JAN1990","31DEC1990",29,9.2,1.4,95,3.5,0.9,0.2,70,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20024",11405,".",20024,"01JAN1990","31DEC1990",15,11,8.9,60,35,2.9,2.1,61,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20032",39173,".",20032,"01JAN1990","31DEC1990",31,5.9,1.3,97,1.9,0.4,0.1,72,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20036",3682,".",20036,"01JAN1990","31DEC1990",5.2,6.4,26,10,68,15,5.7,28,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20037",9653,".",20037,"01JAN1990","31DEC1990",1.8,15,20,6.0,81,5.6,7.3,8.2,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20052",1478,".",20052,"01JAN1990","31DEC1990",0.6,4.7,13,4.9,82,3.7,8.1,0.0,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20057",3829,".",20057,"01JAN1990","31DEC1990",1.3,2.5,9.9,9.6,76,6.4,7.6,"i",".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20059",611,".",20059,"01JAN1990","31DEC1990",10,10.0,3.7,94,3.2,2.1,0.3,77,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20064",6311,".",20064,"01JAN1990","31DEC1990",9.2,27,5.7,48,47,2.7,1.7,59,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20332",1005,".",20332,"01JAN1990","31DEC1990",38,0.4,4.7,34,54,6.7,4.5,12,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ZIP 20336",6762,".",20336,"01JAN1990","31DEC1990",38,0.4,4.7,34,54,6.7,4.5,12,".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20001","X",".",20001,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",18,-32,-13,1
2010,"ZIP 20002","X",".",20002,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",3.7,-16,-19,1
2010,"ZIP 20003","X",".",20003,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",15,-13,4.0,1
2010,"ZIP 20004","X",".",20004,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",86,-6.5,-2.0,1
2010,"ZIP 20005","X",".",20005,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",26,-27,-2.1,1
2010,"ZIP 20006","X",".",20006,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",47,521,124,1
2010,"ZIP 20007","X",".",20007,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",11,34,17,1
2010,"ZIP 20008","X",".",20008,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",6.5,7.7,3.7,1
2010,"ZIP 20009","X",".",20009,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",6.0,-28,11,1
2010,"ZIP 20010","X",".",20010,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-2.7,-33,-12,1
2010,"ZIP 20011","X",".",20011,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",4.5,-1.4,-6.3,1
2010,"ZIP 20012","X",".",20012,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",3.2,0.4,5.9,1
2010,"ZIP 20015","X",".",20015,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-3.1,14,-8.2,1
2010,"ZIP 20016","X",".",20016,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",3.8,22,17,1
2010,"ZIP 20017","X",".",20017,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-0.8,-20,-4.2,1
2010,"ZIP 20018","X",".",20018,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",1.1,-9.6,-15,1
2010,"ZIP 20019","X",".",20019,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",2.2,-6.5,-8.6,1
2010,"ZIP 20020","X",".",20020,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",1.0,-13,12,1
2010,"ZIP 20024","X",".",20024,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-1.4,-15,-4.6,1
2010,"ZIP 20032","X",".",20032,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",3.1,-13,30,1
2010,"ZIP 20036","X",".",20036,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",25,-18,24,1
2010,"ZIP 20037","X",".",20037,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",28,36,-2.4,1
2010,"ZIP 20052","X",".",20052,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",4.2,-22,-68,1
2010,"ZIP 20057","X",".",20057,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-13,".",-65,1
2010,"ZIP 20059","X",".",20059,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-45,-66,-70,1
2010,"ZIP 20064","X",".",20064,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",5.2,-59,-33,1
2010,"ZIP 20332","X",".",20332,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",68,2.0,29,1
2010,"ZIP 20336","X",".",20336,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-59,-58,-66,1
2000,"ZIP 20001","X",".",20001,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-0.6,2.7,-21,1
2000,"ZIP 20002","X",".",20002,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-13,-12,-19,1
2000,"ZIP 20003","X",".",20003,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-7.2,-4.6,-9.2,1
2000,"ZIP 20004","X",".",20004,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",90,296,24,1
2000,"ZIP 20005","X",".",20005,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",6.5,18,-22,1
2000,"ZIP 20006","X",".",20006,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-17,-71,-78,1
2000,"ZIP 20007","X",".",20007,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",2.1,0.8,-8.3,1
2000,"ZIP 20008","X",".",20008,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-1.1,-2.8,-23,1
2000,"ZIP 20009","X",".",20009,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-0.7,-13,-22,1
2000,"ZIP 20010","X",".",20010,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",0.8,10,-31,1
2000,"ZIP 20011","X",".",20011,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-5.5,6.9,-2.7,1
2000,"ZIP 20012","X",".",20012,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-7.9,-7.0,8.4,1
2000,"ZIP 20015","X",".",20015,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",8.1,5.2,21,1
2000,"ZIP 20016","X",".",20016,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",1.7,12,-10,1
2000,"ZIP 20017","X",".",20017,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-5.4,13,9.7,1
2000,"ZIP 20018","X",".",20018,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-6.8,-1.5,-1.9,1
2000,"ZIP 20019","X",".",20019,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-12,-2.9,-5.1,1
2000,"ZIP 20020","X",".",20020,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-7.9,4.2,-4.0,1
2000,"ZIP 20024","X",".",20024,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",1.9,3.1,41,1
2000,"ZIP 20032","X",".",20032,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-18,-9.7,-4.2,1
