"timeframe","psa2012","TotPop","TotPop_m","psa2012_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
"2013-17","PSA 701",11511,744,701,"01JAN2012","31DEC2016",28,11,3.4,93,2.9,2.3,0.5,72,3.2,1.6,1.4,2.3,1.2,2.3,0.5,5.0,"X","X","X",1
"2013-17","PSA 702",8160,689,702,"01JAN2012","31DEC2016",33,9.7,1.4,96,1.4,0.8,0.0,82,4.1,2.1,0.8,2.9,0.8,0.8,0.3,2.9,"X","X","X",1
"2013-17","PSA 703",9412,711,703,"01JAN2012","31DEC2016",36,5.9,3.8,87,5.6,5.5,0.6,75,3.2,1.5,1.6,4.4,1.7,3.1,0.5,5.7,"X","X","X",1
"2013-17","PSA 704",11592,831,704,"01JAN2012","31DEC2016",35,5.5,3.2,94,1.0,2.9,0.5,80,3.8,1.2,2.0,2.7,0.8,2.5,0.8,5.1,"X","X","X",1
"2013-17","PSA 705",6107,503,705,"01JAN2012","31DEC2016",26,10,3.3,90,3.1,5.3,0.1,78,4.0,1.9,1.8,3.5,1.6,4.4,0.4,6.4,"X","X","X",1
"2013-17","PSA 706",11119,718,706,"01JAN2012","31DEC2016",31,8.9,3.9,97,0.7,1.3,0.0,76,3.3,1.6,1.6,1.2,0.5,1.0,0.3,4.4,"X","X","X",1
"2013-17","PSA 707",9903,754,707,"01JAN2012","31DEC2016",30,8.1,3.4,72,19,6.3,0.7,46,3.4,1.7,1.3,4.9,2.6,2.5,0.6,9.1,"X","X","X",1
"2013-17","PSA 708",13063,1061,708,"01JAN2012","31DEC2016",28,7.5,3.3,92,4.1,1.5,0.2,70,2.6,1.2,1.4,3.3,1.3,0.9,0.4,5.7,"X","X","X",1
2010,"PSA 101",896,".",101,"01JAN2010","31DEC2010",4.6,3.5,".",14,67,6.8,11,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 102",5852,".",102,"01JAN2010","31DEC2010",4.6,10,".",18,53,5.7,23,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 103",5408,".",103,"01JAN2010","31DEC2010",19,12,".",68,22,4.8,4.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 104",11337,".",104,"01JAN2010","31DEC2010",13,8.5,".",40,51,4.4,3.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 105",11592,".",105,"01JAN2010","31DEC2010",13,14,".",56,33,5.2,5.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 106",8353,".",106,"01JAN2010","31DEC2010",11,7.3,".",36,54,5.5,4.4,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 107",15519,".",107,"01JAN2010","31DEC2010",11,10,".",11,80,4.2,4.5,".",".",".",".",".",".",".",".",".","X","X","X",1
