"timeframe","Geo2010","TotPop","geo2010_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","ucounty","indc"
"2012-16","DC Tract 31",3176,11001003100,"01JAN2011","31DEC2015",15,8.3,30,27,32,29,7.6,45,4.0,2.6,8.4,1.7,6.0,11,5.4,20,".",".",".","District of Columbia",1
"2012-16","DC Tract 32",5078,11001003200,"01JAN2011","31DEC2015",16,11,21,48,22,25,4.4,52,3.2,2.8,6.8,6.5,3.5,7.3,2.3,12,".",".",".","District of Columbia",1
"2012-16","DC Tract 33.01",3922,11001003301,"01JAN2011","31DEC2015",9.8,7.8,10,44,41,7.9,2.8,29,3.5,2.5,2.9,6.6,6.6,3.5,1.7,19,".",".",".","District of Columbia",1
"2012-16","DC Tract 33.02",2213,11001003302,"01JAN2011","31DEC2015",12,6.3,10,41,45,6.1,4.5,23,4.7,2.3,3.2,9.2,3.5,3.1,1.7,23,".",".",".","District of Columbia",1
"2012-16","DC Tract 34",4723,11001003400,"01JAN2011","31DEC2015",9.5,5.5,7.9,60,25,11,1.9,48,3.1,2.5,3.5,7.6,4.7,6.3,1.2,23,".",".",".","District of Columbia",1
"2012-16","DC Tract 35",5440,11001003500,"01JAN2011","31DEC2015",6.9,5.5,14,72,18,2.7,5.4,48,2.6,1.6,4.1,4.9,3.3,1.5,2.7,18,".",".",".","District of Columbia",1
"2012-16","DC Tract 36",5123,11001003600,"01JAN2011","31DEC2015",9.9,4.4,17,32,40,16,8.2,29,3.6,2.1,5.0,6.4,4.3,4.1,4.4,14,".",".",".","District of Columbia",1
"2012-16","DC Tract 37",5859,11001003700,"01JAN2011","31DEC2015",16,6.2,21,34,37,23,5.0,87,4.8,2.4,5.6,7.5,4.0,6.3,2.9,12,".",".",".","District of Columbia",1
"2012-16","DC Tract 38",5038,11001003800,"01JAN2011","31DEC2015",9.0,8.5,27,14,57,19,6.5,8.1,2.9,2.9,6.0,4.1,5.3,4.3,3.3,15,".",".",".","District of Columbia",1
"2012-16","DC Tract 39",4479,11001003900,"01JAN2011","31DEC2015",4.0,8.6,21,11,71,10,5.2,15,2.0,3.0,5.8,2.6,5.2,3.7,2.6,25,".",".",".","District of Columbia",1
"2012-16","DC Tract 40.01",4310,11001004001,"01JAN2011","31DEC2015",8.4,9.7,11,5.3,75,13,6.1,11,2.2,2.6,3.5,3.8,8.2,3.5,3.3,18,".",".",".","District of Columbia",1
"2012-16","DC Tract 40.02",3137,11001004002,"01JAN2011","31DEC2015",7.6,6.2,19,6.0,79,7.9,5.1,0.0,3.7,2.0,4.5,3.8,5.0,3.2,2.2,12,".",".",".","District of Columbia",1
"2012-16","DC Tract 41",2749,11001004100,"01JAN2011","31DEC2015",12,20,23,3.8,78,8.7,6.7,2.8,3.2,3.1,6.3,3.6,6.4,5.4,2.8,7.0,".",".",".","District of Columbia",1
"2012-16","DC Tract 42.01",3709,11001004201,"01JAN2011","31DEC2015",3.7,4.3,14,6.5,79,5.4,3.8,47,2.1,2.1,5.6,3.2,3.7,3.3,2.0,33,".",".",".","District of Columbia",1
"2012-16","DC Tract 42.02",2492,11001004202,"01JAN2011","31DEC2015",3.9,8.9,17,2.5,75,11,7.2,0.0,1.8,3.0,4.9,2.1,7.1,4.9,2.8,34,".",".",".","District of Columbia",1
"2012-16","DC Tract 43",3918,11001004300,"01JAN2011","31DEC2015",9.9,11,22,27,55,13,2.4,39,2.7,3.3,4.3,4.4,5.5,4.8,1.5,26,".",".",".","District of Columbia",1
"2012-16","DC Tract 44",5551,11001004400,"01JAN2011","31DEC2015",7.5,6.2,18,16,68,5.6,4.9,13,2.7,2.4,4.3,5.7,5.2,2.0,2.0,16,".",".",".","District of Columbia",1
"2012-16","DC Tract 46",2833,11001004600,"01JAN2011","31DEC2015",14,8.2,6.8,53,36,5.8,3.9,24,4.8,2.7,3.2,11,6.5,3.6,2.4,21,".",".",".","District of Columbia",1
"2012-16","DC Tract 47.01",4854,11001004701,"01JAN2011","31DEC2015",23,8.9,12,67,15,6.6,8.8,90,7.4,2.9,4.1,8.1,3.9,4.6,2.9,10,".",".",".","District of Columbia",1
"2012-16","DC Tract 47.02",2875,11001004702,"01JAN2011","31DEC2015",9.1,9.2,12,37,48,7.2,4.7,64,2.7,3.1,3.4,8.7,2.3,3.3,1.5,16,".",".",".","District of Columbia",1
"2012-16","DC Tract 48.01",2560,11001004801,"01JAN2011","31DEC2015",11,12,14,42,40,7.1,7.4,13,3.4,3.1,5.4,6.0,3.7,4.5,3.6,21,".",".",".","District of Columbia",1
"2012-16","DC Tract 48.02",3540,11001004802,"01JAN2011","31DEC2015",13,8.8,17,49,29,9.7,10,39,4.3,2.6,8.2,8.8,5.3,8.2,4.9,12,".",".",".","District of Columbia",1
"2012-16","DC Tract 49.01",2826,11001004901,"01JAN2011","31DEC2015",15,7.2,19,38,35,17,6.3,44,3.6,2.5,7.4,8.2,4.1,7.4,4.2,16,".",".",".","District of Columbia",1
"2012-16","DC Tract 49.02",3155,11001004902,"01JAN2011","31DEC2015",12,3.5,25,20,41,25,9.7,68,4.8,2.0,4.9,8.1,4.4,14,3.9,27,".",".",".","District of Columbia",1
"2012-16","DC Tract 50.01",2076,11001005001,"01JAN2011","31DEC2015",8.5,4.6,21,13,61,17,4.6,0.0,4.0,2.1,7.3,9.5,3.4,8.1,1.7,16,".",".",".","District of Columbia",1
"2012-16","DC Tract 50.02",5971,11001005002,"01JAN2011","31DEC2015",7.8,6.2,24,19,43,24,7.8,5.6,4.5,2.4,5.7,3.9,3.2,9.4,2.4,11,".",".",".","District of Columbia",1
"2012-16","DC Tract 52.01",6205,11001005201,"01JAN2011","31DEC2015",2.3,3.9,19,4.3,72,12,7.3,0.0,1.5,2.5,6.5,2.3,4.1,5.9,3.5,20,".",".",".","District of Columbia",1
"2012-16","DC Tract 53.01",4990,11001005301,"01JAN2011","31DEC2015",6.5,6.7,16,2.5,76,9.7,8.3,8.8,3.2,2.3,4.6,1.8,2.8,3.7,2.7,15,".",".",".","District of Columbia",1
"2012-16","DC Tract 55",6780,11001005500,"01JAN2011","31DEC2015",4.9,12,25,5.8,73,8.7,9.1,43,3.2,3.2,5.9,3.1,5.2,2.4,3.1,43,".",".",".","District of Columbia",1
"2012-16","DC Tract 56",6684,11001005600,"01JAN2011","31DEC2015",2.4,16,30,7.0,64,13,10,0.0,1.7,3.8,5.7,3.0,6.1,3.9,2.9,18,".",".",".","District of Columbia",1
"2012-16","DC Tract 58",2769,11001005800,"01JAN2011","31DEC2015",4.9,9.8,23,6.8,63,7.4,20,0.0,2.2,2.9,5.2,8.5,10,3.2,4.4,15,".",".",".","District of Columbia",1
"2012-16","DC Tract 59",2760,11001005900,"01JAN2011","31DEC2015",2.4,4.5,16,19,54,9.0,13,0.0,2.1,2.0,5.4,4.5,6.4,3.6,4.9,44,".",".",".","District of Columbia",1
"2012-16","DC Tract 64",2455,11001006400,"01JAN2011","31DEC2015",22,11,4.6,84,9.2,4.2,1.8,93,4.7,3.2,2.7,5.8,3.6,2.3,1.9,4.2,".",".",".","District of Columbia",1
"2012-16","DC Tract 65",2569,11001006500,"01JAN2011","31DEC2015",11,8.6,12,12,74,10,1.9,9.1,3.2,2.1,5.5,6.8,5.5,6.5,1.9,11,".",".",".","District of Columbia",1
"2012-16","DC Tract 66",2027,11001006600,"01JAN2011","31DEC2015",16,20,14,3.4,83,4.3,4.4,3.1,4.9,4.9,9.9,2.5,5.9,2.3,3.5,8.4,".",".",".","District of Columbia",1
"2012-16","DC Tract 67",4184,11001006700,"01JAN2011","31DEC2015",13,14,5.8,13,76,5.8,3.3,10,3.1,3.1,2.0,1.6,2.7,3.3,1.9,7.1,".",".",".","District of Columbia",1
"2012-16","DC Tract 68.01",2142,11001006801,"01JAN2011","31DEC2015",7.8,11,5.6,50,40,3.2,3.4,34,3.5,3.3,2.8,7.3,4.9,1.7,1.5,23,".",".",".","District of Columbia",1
"2012-16","DC Tract 68.02",2488,11001006802,"01JAN2011","31DEC2015",19,9.4,2.5,35,53,4.5,1.2,20,3.5,1.9,1.3,5.2,5.8,2.2,0.9,14,".",".",".","District of Columbia",1
"2012-16","DC Tract 68.04",2803,11001006804,"01JAN2011","31DEC2015",2.3,2.7,7.3,88,4.1,5.7,0.0,0.0,1.7,2.5,3.2,12,1.8,3.5,0.6,131,".",".",".","District of Columbia",1
