"timeframe","Anc2012","TotPop","TotPop_m","anc2012_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
2010,"ANC 1D",10459,".","1D","01JAN2010","31DEC2010",12,8.4,".",19,50,25,5.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 2A",17169,".","2A","01JAN2010","31DEC2010",1.4,7.9,".",6.8,74,5.8,13,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 2B",18161,".","2B","01JAN2010","31DEC2010",3.1,7.3,".",8.5,72,8.6,10,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 2C",5481,".","2C","01JAN2010","31DEC2010",3.7,7.8,".",14,62,7.3,17,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 2D",2708,".","2D","01JAN2010","31DEC2010",8.3,17,".",5.0,77,9.6,7.5,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 2E",16466,".","2E","01JAN2010","31DEC2010",7.4,10,".",3.9,80,6.5,8.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 2F",16898,".","2F","01JAN2010","31DEC2010",7.2,6.3,".",19,55,18,7.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 3B",10399,".","3B","01JAN2010","31DEC2010",7.4,14,".",4.4,80,7.8,6.9,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 3C",19217,".","3C","01JAN2010","31DEC2010",10,11,".",4.4,79,8.0,8.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 3D",20061,".","3D","01JAN2010","31DEC2010",15,15,".",4.6,80,7.2,8.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 3E",10205,".","3E","01JAN2010","31DEC2010",20,15,".",5.5,80,6.6,7.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 3F",12763,".","3F","01JAN2010","31DEC2010",10,16,".",8.5,74,7.6,9.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 3G",14205,".","3G","01JAN2010","31DEC2010",22,21,".",9.9,78,6.3,5.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 4A",16653,".","4A","01JAN2010","31DEC2010",19,15,".",62,17,18,2.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 4B",18519,".","4B","01JAN2010","31DEC2010",18,18,".",74,11,13,1.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 4C",20024,".","4C","01JAN2010","31DEC2010",19,12,".",57,15,26,1.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 4D",12614,".","4D","01JAN2010","31DEC2010",21,13,".",67,6.2,25,1.4,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 5A",16344,".","5A","01JAN2010","31DEC2010",14,22,".",68,21,8.4,2.0,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 5B",9890,".","5B","01JAN2010","31DEC2010",17,18,".",72,20,6.1,2.0,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 5C",13868,".","5C","01JAN2010","31DEC2010",20,19,".",89,4.3,5.6,0.9,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 5D",14510,".","5D","01JAN2010","31DEC2010",21,10,".",87,7.1,4.1,1.0,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 5E",19696,".","5E","01JAN2010","31DEC2010",16,9.9,".",70,20,6.9,2.4,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 6A",16390,".","6A","01JAN2010","31DEC2010",17,9.7,".",50,43,4.2,2.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 6B",20217,".","6B","01JAN2010","31DEC2010",13,9.7,".",29,62,4.6,3.9,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 6C",11879,".","6C","01JAN2010","31DEC2010",11,7.8,".",28,62,4.3,4.7,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 6D",14359,".","6D","01JAN2010","31DEC2010",12,13,".",51,37,5.2,5.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 6E",13155,".","6E","01JAN2010","31DEC2010",17,11,".",57,26,6.1,10,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 7B",14487,".","7B","01JAN2010","31DEC2010",19,17,".",94,3.3,1.9,0.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 7C",14098,".","7C","01JAN2010","31DEC2010",28,12,".",96,0.8,2.3,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 7D",13854,".","7D","01JAN2010","31DEC2010",26,12,".",95,1.5,2.7,0.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 7E",13570,".","7E","01JAN2010","31DEC2010",27,13,".",96,1.0,2.7,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 7F",15739,".","7F","01JAN2010","31DEC2010",24,8.4,".",95,1.0,3.8,0.4,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 8A",14767,".","8A","01JAN2010","31DEC2010",26,10,".",96,1.7,1.2,0.4,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 8B",14092,".","8B","01JAN2010","31DEC2010",33,7.4,".",98,0.6,1.2,0.1,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 8C",14629,".","8C","01JAN2010","31DEC2010",28,7.4,".",90,5.7,2.9,0.7,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 8D",14890,".","8D","01JAN2010","31DEC2010",29,6.6,".",89,7.2,2.6,0.9,".",".",".",".",".",".",".",".",".","X","X","X",1
