"timeframe","cluster2017","TotPop","TotPop_m","cluster2017_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
"2010-14","Cluster 09",11334,664,"Cluster 9","01JAN2010","31DEC2014",9.3,15,13,46,40,5.7,5.0,57,2.0,2.1,3.0,4.0,4.0,1.5,1.7,15,"X","X","X",1
"2010-14","Cluster 10",14830,719,"Cluster 10","01JAN2010","31DEC2014",23,18,14,12,74,6.4,4.0,11,2.2,2.0,2.3,4.0,0.9,2.2,1.4,5.4,"X","X","X",1
"2010-14","Cluster 11",12293,667,"Cluster 11","01JAN2010","31DEC2014",21,17,18,3.4,77,7.5,5.5,13,2.5,2.4,3.4,1.4,2.9,2.5,1.3,7.1,"X","X","X",1
"2010-14","Cluster 12",11111,772,"Cluster 12","01JAN2010","31DEC2014",11,17,18,6.8,77,6.7,6.9,9.8,2.4,2.4,3.4,2.5,3.0,2.3,2.2,8.3,"X","X","X",1
"2010-14","Cluster 13",16434,881,"Cluster 13","01JAN2010","31DEC2014",17,14,19,6.8,73,12,4.2,9.7,1.5,1.4,2.3,2.3,2.5,2.6,1.2,4.9,"X","X","X",1
"2010-14","Cluster 14",20227,990,"Cluster 14","01JAN2010","31DEC2014",9.9,16,21,4.1,76,9.2,7.3,11,1.6,1.7,2.8,1.4,2.4,2.6,1.8,7.0,"X","X","X",1
"2010-14","Cluster 15",15572,876,"Cluster 15","01JAN2010","31DEC2014",11,15,19,5.1,76,9.6,6.3,13,1.7,1.8,2.7,1.9,1.2,2.3,1.7,6.9,"X","X","X",1
"2010-14","Cluster 16",4009,300,"Cluster 16","01JAN2010","31DEC2014",20,23,8.3,71,22,3.9,0.2,17,4.2,3.3,3.8,6.4,3.9,3.7,0.5,9.7,"X","X","X",1
"2010-14","Cluster 17",22504,1131,"Cluster 17","01JAN2010","31DEC2014",21,14,29,64,11,22,1.3,32,2.0,1.2,3.3,2.2,1.3,3.5,0.7,6.9,"X","X","X",1
"2010-14","Cluster 18",40176,1552,"Cluster 18","01JAN2010","31DEC2014",20,12,24,57,15,23,2.3,42,1.5,0.8,2.3,2.2,1.2,2.7,0.6,5.6,"X","X","X",1
