"timeframe","cluster2017","cluster2017_nf","start_date","end_date","PctHshldPhone","PctHshldCar","PctBroadband","PctNocomputer","Pctcellularonly","Pctnointernet","PctHshldPhone_m","PctHshldCar_m","PctBroadband_m","PctNocomputer_m","Pctcellularonly_m","Pctnointernet_m","indc"
"2013-17","Cluster 33",33,"01JAN2012","31DEC2016",95,58,40,23.2904,7.61173,34.4981,3.8,4.8,0.0,0.03065,0.01801,0.03403,1
"2013-17","Cluster 34",34,"01JAN2012","31DEC2016",98,65,53,18.2078,7.62017,28.9960,3.6,4.9,0.0,0.02926,0.02063,0.03500,1
"2013-17","Cluster 35",35,"01JAN2012","31DEC2016",98,71,59,23.8226,5.53621,28.0123,7.0,10,0.1,0.07528,0.03518,0.07468,1
"2013-17","Cluster 36",36,"01JAN2012","31DEC2016",97,49,43,24.3081,6.87585,37.7804,5.9,8.2,0.1,0.04909,0.03084,0.06291,1
"2013-17","Cluster 37",37,"01JAN2012","31DEC2016",98,52,45,20.4927,6.35251,34.3889,4.1,7.0,0.1,0.04470,0.02604,0.04886,1
"2013-17","Cluster 38",38,"01JAN2012","31DEC2016",96,56,47,24.0484,4.40742,38.4925,4.9,6.9,0.1,0.04480,0.01972,0.05151,1
"2013-17","Cluster 39",39,"01JAN2012","31DEC2016",95,52,46,23.9117,8.96090,36.7010,2.8,3.8,0.0,0.02540,0.01780,0.02981,1
"2013-17","Cluster 40",40,"01JAN2012","31DEC2016",98,79,75,13.2800,4.64000,17.6000,30,43,0.2,0.17980,0.09051,0.17553,1
"2013-17","Cluster 41",41,"01JAN2012","31DEC2016",97,77,78,6.8613,7.02561,10.3190,15,23,0.2,0.06347,0.10040,0.07773,1
"2013-17","Cluster 43",43,"01JAN2012","31DEC2016",94,50,45,32.9902,7.40755,41.4802,25,30,0.2,0.18867,0.11959,0.21607,1
"2013-17","Cluster 44",44,"01JAN2012","31DEC2016",97,75,74,7.8924,6.06188,15.2594,3.4,9.2,0.1,0.03775,0.03455,0.05047,1
"2013-17","Cluster 46",46,"01JAN2012","31DEC2016",97,81,72,13.6180,3.11598,19.3306,32,47,0.2,0.17600,0.08915,0.18515,1
2000,"Cluster 01",01,"01JAN2000","31DEC2000",99,61,"i",".",".",".",".",".",".",".",".",".",1
2000,"Cluster 02",02,"01JAN2000","31DEC2000",94,48,"i",".",".",".",".",".",".",".",".",".",1
