"timeframe","geo2010","geo2010_nf","start_date","end_date","PctHshldPhone","PctHshldCar","PctBroadband","PctNocomputer","Pctcellularonly","Pctnointernet","PctHshldPhone_m","PctHshldCar_m","PctBroadband_m","Pctnocomputer_m","Pctcellularonly_m","Pctnointernet_m","Pctcomputer","Pctinternet","Pctcomputer_m","Pctinternet_m","ucounty","indc"
"2014-18","DC Tract 8.01",11001000801,"01JAN2014","31DEC2018",99,92,91,2.6080,5.8,0.7452,6.4,9.3,4.6,2.940,3.2,1.0798,97,99,2.9,1.1,"District of Columbia",1
"2014-18","DC Tract 8.02",11001000802,"01JAN2014","31DEC2018",99,92,89,1.8195,4.0,3.2023,9.4,12,5.1,2.835,2.9,3.1212,98,97,2.8,3.1,"District of Columbia",1
"2014-18","DC Tract 9.01",11001000901,"01JAN2014","31DEC2018",100,90,88,4.9838,3.8,3.7540,4.6,8.6,2.8,2.897,2.2,2.8387,95,96,2.9,2.8,"District of Columbia",1
"2014-18","DC Tract 9.02",11001000902,"01JAN2014","31DEC2018",100,97,92,1.6490,3.3,1.6490,5.2,11,3.1,1.764,2.2,1.7642,98,98,1.8,1.8,"District of Columbia",1
"2014-18","DC Tract 10.01",11001001001,"01JAN2014","31DEC2018",100,85,89,6.2101,2.9,6.2456,5.9,10.0,3.8,2.941,2.3,3.1185,94,94,2.9,3.1,"District of Columbia",1
"2014-18","DC Tract 10.02",11001001002,"01JAN2014","31DEC2018",99,77,79,0.9963,9.2,6.5024,9.3,12,7.7,1.676,5.8,5.8496,99,93,1.7,5.8,"District of Columbia",1
"2014-18","DC Tract 11",11001001100,"01JAN2014","31DEC2018",97,79,82,6.5134,4.4,11.6379,7.0,10,5.7,4.875,3.3,5.2868,93,88,4.9,5.3,"District of Columbia",1
"2014-18","DC Tract 12",11001001200,"01JAN2014","31DEC2018",99,78,89,1.7214,1.6,2.8823,7.6,11,4.1,1.600,1.5,1.9175,98,97,1.6,1.9,"District of Columbia",1
"2014-18","DC Tract 13.01",11001001301,"01JAN2014","31DEC2018",95,75,84,3.7578,1.5,8.1420,7.7,11,5.9,2.964,1.6,5.5580,96,92,3.0,5.6,"District of Columbia",1
"2014-18","DC Tract 13.02",11001001302,"01JAN2014","31DEC2018",97,75,87,3.5336,5.4,5.6953,6.7,9.7,4.8,2.653,3.7,3.3319,96,94,2.7,3.3,"District of Columbia",1
"2014-18","DC Tract 14.01",11001001401,"01JAN2014","31DEC2018",100,79,85,4.4766,5.4,5.7851,6.1,10,5.1,3.095,3.9,3.5063,96,94,3.1,3.5,"District of Columbia",1
"2014-18","DC Tract 14.02",11001001402,"01JAN2014","31DEC2018",99,69,64,24.3791,4.5,23.0719,8.5,11,7.0,7.289,4.5,7.3060,76,77,7.3,7.3,"District of Columbia",1
"2014-18","DC Tract 15",11001001500,"01JAN2014","31DEC2018",100,99,92,5.6524,1.7,4.8045,7.8,12,3.7,4.140,1.8,3.8586,94,95,4.1,3.9,"District of Columbia",1
"2014-18","DC Tract 16",11001001600,"01JAN2014","31DEC2018",100,97,87,4.9020,4.0,6.0131,6.7,12,4.7,3.389,2.3,3.5803,95,94,3.4,3.6,"District of Columbia",1
"2014-18","DC Tract 17.02",11001001702,"01JAN2014","31DEC2018",98,84,84,1.1425,6.9,2.1505,7.8,10,5.6,1.410,4.0,2.0130,99,98,1.4,2.0,"District of Columbia",1
"2014-18","DC Tract 18.03",11001001803,"01JAN2014","31DEC2018",94,70,56,13.2316,8.7,24.6183,6.1,11,7.2,4.878,4.3,8.1599,87,75,4.9,8.2,"District of Columbia",1
"2014-18","DC Tract 18.04",11001001804,"01JAN2014","31DEC2018",97,69,58,22.7356,9.1,27.6761,7.8,11,9.2,7.673,6.6,8.8321,77,72,7.7,8.8,"District of Columbia",1
"2014-18","DC Tract 19.01",11001001901,"01JAN2014","31DEC2018",98,81,78,9.6411,5.7,13.2301,8.9,13,5.3,4.239,4.2,4.9090,90,87,4.2,4.9,"District of Columbia",1
"2014-18","DC Tract 19.02",11001001902,"01JAN2014","31DEC2018",97,84,78,12.2328,5.1,12.7078,9.6,11,6.3,6.122,2.9,6.1177,88,87,6.1,6.1,"District of Columbia",1
"2014-18","DC Tract 20.01",11001002001,"01JAN2014","31DEC2018",96,68,65,14.7974,9.4,21.2064,7.5,11,7.4,4.948,5.2,6.0475,85,79,4.9,6.0,"District of Columbia",1
"2014-18","DC Tract 20.02",11001002002,"01JAN2014","31DEC2018",97,88,74,7.6330,4.9,15.4973,11,14,8.5,4.988,3.7,6.0898,92,85,5.0,6.1,"District of Columbia",1
"2014-18","DC Tract 21.01",11001002101,"01JAN2014","31DEC2018",100,70,67,12.7146,5.3,26.5021,10,14,9.5,6.262,4.1,9.3592,87,73,6.3,9.4,"District of Columbia",1
"2014-18","DC Tract 21.02",11001002102,"01JAN2014","31DEC2018",97,79,75,7.8760,6.0,10.1118,7.3,10,5.8,3.615,4.1,3.6379,92,90,3.6,3.6,"District of Columbia",1
"2014-18","DC Tract 22.01",11001002201,"01JAN2014","31DEC2018",99,84,75,13.0474,6.7,13.0474,8.4,14,8.0,6.100,7.6,6.1004,87,87,6.1,6.1,"District of Columbia",1
"2014-18","DC Tract 22.02",11001002202,"01JAN2014","31DEC2018",94,70,65,13.4584,10,21.5334,8.0,12,9.7,5.005,7.2,6.2540,87,78,5.0,6.3,"District of Columbia",1
"2014-18","DC Tract 23.01",11001002301,"01JAN2014","31DEC2018",99,82,71,6.6383,8.7,8.6809,9.0,13,8.1,4.070,6.1,4.6577,93,91,4.1,4.7,"District of Columbia",1
"2014-18","DC Tract 23.02",11001002302,"01JAN2014","31DEC2018",67,57,51,37.2574,4.8,41.0091,9.2,12,5.4,10.704,4.1,10.0986,63,59,11,10,"District of Columbia",1
"2014-18","DC Tract 24",11001002400,"01JAN2014","31DEC2018",97,73,85,4.8660,2.9,6.2764,6.7,11,3.8,3.516,2.5,3.6508,95,94,3.5,3.7,"District of Columbia",1
"2014-18","DC Tract 25.01",11001002501,"01JAN2014","31DEC2018",99,59,58,21.5385,7.1,31.0577,9.7,13,7.0,7.300,5.4,7.7882,78,69,7.3,7.8,"District of Columbia",1
"2014-18","DC Tract 25.02",11001002502,"01JAN2014","31DEC2018",95,62,69,17.9703,2.3,25.7120,7.8,11,8.0,6.822,1.7,8.5785,82,74,6.8,8.6,"District of Columbia",1
"2014-18","DC Tract 26",11001002600,"01JAN2014","31DEC2018",99,90,80,2.7542,13,3.3898,8.7,11,5.2,2.111,6.0,2.2138,97,97,2.1,2.2,"District of Columbia",1
"2014-18","DC Tract 27.01",11001002701,"01JAN2014","31DEC2018",96,49,77,8.1417,7.0,13.7203,5.4,8.6,7.3,5.709,3.9,6.0133,92,86,5.7,6.0,"District of Columbia",1
"2014-18","DC Tract 27.02",11001002702,"01JAN2014","31DEC2018",97,63,81,8.7190,4.3,13.2231,7.3,9.8,5.9,4.645,4.0,4.6125,91,87,4.6,4.6,"District of Columbia",1
"2014-18","DC Tract 28.01",11001002801,"01JAN2014","31DEC2018",97,43,56,12.9448,15,23.6196,5.5,9.4,6.7,6.444,5.6,8.1274,87,76,6.4,8.1,"District of Columbia",1
"2014-18","DC Tract 28.02",11001002802,"01JAN2014","31DEC2018",93,39,64,13.9098,3.8,26.5038,8.7,8.9,8.0,6.076,3.1,8.1345,86,73,6.1,8.1,"District of Columbia",1
"2014-18","DC Tract 29",11001002900,"01JAN2014","31DEC2018",99,61,78,6.3185,8.4,10.1225,7.0,9.3,4.5,3.784,4.9,4.4695,94,90,3.8,4.5,"District of Columbia",1
"2014-18","DC Tract 30",11001003000,"01JAN2014","31DEC2018",98,56,73,11.1345,5.6,15.9664,8.0,10,6.6,5.762,3.3,7.3417,89,84,5.8,7.3,"District of Columbia",1
"2014-18","DC Tract 31",11001003100,"01JAN2014","31DEC2018",97,63,67,7.2741,9.7,13.2466,8.4,11,6.9,3.954,5.7,5.5243,93,87,4.0,5.5,"District of Columbia",1
"2014-18","DC Tract 32",11001003200,"01JAN2014","31DEC2018",90,77,70,5.6193,6.8,13.4743,11,13,7.8,3.476,5.1,5.8860,94,87,3.5,5.9,"District of Columbia",1
"2014-18","DC Tract 33.01",11001003301,"01JAN2014","31DEC2018",100,82,83,2.9077,2.5,9.6713,8.1,11,4.7,2.335,2.0,5.4168,97,90,2.3,5.4,"District of Columbia",1
"2014-18","DC Tract 33.02",11001003302,"01JAN2014","31DEC2018",97,88,81,1.6465,2.9,9.2206,9.8,13,6.9,1.421,2.1,5.8851,98,91,1.4,5.9,"District of Columbia",1
"2014-18","DC Tract 34",11001003400,"01JAN2014","31DEC2018",98,60,63,13.7041,3.8,23.6346,11,12,9.9,5.212,2.9,8.6911,86,76,5.2,8.7,"District of Columbia",1
"2014-18","DC Tract 35",11001003500,"01JAN2014","31DEC2018",99,57,72,13.0912,5.8,17.8209,6.9,10.0,6.3,5.231,2.8,6.1944,87,82,5.2,6.2,"District of Columbia",1
"2014-18","DC Tract 36",11001003600,"01JAN2014","31DEC2018",95,58,83,9.1570,1.8,13.3236,9.1,10,5.0,6.694,1.9,6.9430,91,87,6.7,6.9,"District of Columbia",1
"2014-18","DC Tract 37",11001003700,"01JAN2014","31DEC2018",100,41,66,19.7215,12,20.2860,9.6,7.8,6.6,7.763,6.1,8.2527,80,80,7.8,8.3,"District of Columbia",1
"2014-18","DC Tract 38",11001003800,"01JAN2014","31DEC2018",98,55,81,7.9687,9.9,8.9648,7.0,8.6,6.6,4.695,4.8,4.9365,92,91,4.7,4.9,"District of Columbia",1
"2014-18","DC Tract 39",11001003900,"01JAN2014","31DEC2018",99,41,86,1.1607,6.5,3.8085,7.7,7.5,4.9,1.304,3.2,3.1856,99,96,1.3,3.2,"District of Columbia",1
"2014-18","DC Tract 40.01",11001004001,"01JAN2014","31DEC2018",98,65,87,1.9820,7.2,5.4955,7.2,10,5.4,1.979,4.5,3.0026,98,95,2.0,3.0,"District of Columbia",1
"2014-18","DC Tract 40.02",11001004002,"01JAN2014","31DEC2018",97,57,81,0.9692,14,4.4470,5.2,8.6,5.9,1.024,5.5,2.3189,99,96,1.0,2.3,"District of Columbia",1
"2014-18","DC Tract 41",11001004100,"01JAN2014","31DEC2018",97,69,84,2.4320,6.4,4.2203,5.9,8.8,7.2,1.634,5.1,2.2656,98,96,1.6,2.3,"District of Columbia",1
"2014-18","DC Tract 42.01",11001004201,"01JAN2014","31DEC2018",98,47,84,4.0040,5.9,4.8549,8.6,10,7.7,3.039,3.6,3.2845,96,95,3.0,3.3,"District of Columbia",1
"2014-18","DC Tract 42.02",11001004202,"01JAN2014","31DEC2018",97,52,82,1.1104,8.4,1.7273,6.2,9.9,5.4,1.231,4.5,1.6599,99,98,1.2,1.7,"District of Columbia",1
"2014-18","DC Tract 43",11001004300,"01JAN2014","31DEC2018",96,48,83,3.6020,1.9,11.9766,9.5,9.0,4.9,2.735,2.0,6.9746,96,88,2.7,7.0,"District of Columbia",1
"2014-18","DC Tract 44",11001004400,"01JAN2014","31DEC2018",98,68,89,3.2975,4.6,3.3692,7.9,9.7,5.6,2.355,3.6,2.0663,97,97,2.4,2.1,"District of Columbia",1
"2014-18","DC Tract 46",11001004600,"01JAN2014","31DEC2018",96,69,67,11.1345,8.3,15.6863,13,13,8.0,6.055,4.7,7.2199,89,84,6.1,7.2,"District of Columbia",1
"2014-18","DC Tract 47.01",11001004701,"01JAN2014","31DEC2018",94,52,59,21.6761,3.5,33.3602,8.0,9.7,8.7,6.470,2.8,7.8334,78,67,6.5,7.8,"District of Columbia",1
"2014-18","DC Tract 47.02",11001004702,"01JAN2014","31DEC2018",98,54,85,3.9444,3.8,6.5556,4.2,6.2,3.8,2.608,1.9,2.8814,96,93,2.6,2.9,"District of Columbia",1
"2014-18","DC Tract 48.01",11001004801,"01JAN2014","31DEC2018",100,63,80,7.7246,5.7,10.9152,7.3,9.7,3.9,3.824,3.3,3.6991,92,89,3.8,3.7,"District of Columbia",1
"2014-18","DC Tract 48.02",11001004802,"01JAN2014","31DEC2018",100,50,70,14.4565,7.3,20.1087,6.4,9.1,6.8,6.103,4.1,6.7266,86,80,6.1,6.7,"District of Columbia",1
"2014-18","DC Tract 49.01",11001004901,"01JAN2014","31DEC2018",99,57,77,6.8013,4.8,15.2189,4.7,8.6,6.7,4.222,3.8,6.6691,93,85,4.2,6.7,"District of Columbia",1
"2014-18","DC Tract 49.02",11001004902,"01JAN2014","31DEC2018",97,55,74,7.5925,7.3,13.6275,6.5,8.5,6.7,4.266,4.0,5.5380,92,86,4.3,5.5,"District of Columbia",1
"2014-18","DC Tract 50.01",11001005001,"01JAN2014","31DEC2018",99,66,88,3.0151,4.6,5.1256,9.5,10,4.4,2.503,4.9,4.4065,97,95,2.5,4.4,"District of Columbia",1
"2014-18","DC Tract 50.02",11001005002,"01JAN2014","31DEC2018",99,36,74,8.1982,4.9,19.1389,6.2,7.2,5.3,2.646,3.0,4.6303,92,81,2.6,4.6,"District of Columbia",1
"2014-18","DC Tract 52.01",11001005201,"01JAN2014","31DEC2018",97,46,84,3.9467,6.0,5.9564,8.2,8.1,6.1,3.285,3.9,3.8830,96,94,3.3,3.9,"District of Columbia",1
"2014-18","DC Tract 53.01",11001005301,"01JAN2014","31DEC2018",98,42,87,1.4150,4.4,1.8770,6.6,7.6,3.9,1.384,2.4,1.5854,99,98,1.4,1.6,"District of Columbia",1
"2014-18","DC Tract 55",11001005500,"01JAN2014","31DEC2018",98,52,83,1.7892,5.9,3.9894,6.1,8.5,3.8,2.124,2.8,2.9612,98,96,2.1,3.0,"District of Columbia",1
"2014-18","DC Tract 56",11001005600,"01JAN2014","31DEC2018",97,39,79,3.8891,7.3,7.7144,5.2,7.0,5.4,2.567,4.3,3.3003,96,92,2.6,3.3,"District of Columbia",1
"2014-18","DC Tract 58",11001005800,"01JAN2014","31DEC2018",96,54,81,3.3256,7.9,7.1132,5.5,7.3,3.8,3.131,4.5,3.7518,97,93,3.1,3.8,"District of Columbia",1
"2014-18","DC Tract 59",11001005900,"01JAN2014","31DEC2018",98,42,77,9.2471,5.5,16.2029,5.2,8.3,4.6,4.664,3.6,5.6029,91,84,4.7,5.6,"District of Columbia",1
"2014-18","DC Tract 64",11001006400,"01JAN2014","31DEC2018",90,43,44,18.6441,4.0,34.0524,8.1,11,7.9,6.271,2.8,9.4351,81,66,6.3,9.4,"District of Columbia",1
"2014-18","DC Tract 65",11001006500,"01JAN2014","31DEC2018",99,75,86,1.6365,6.7,2.2394,5.8,11,6.2,2.320,4.2,2.4018,98,98,2.3,2.4,"District of Columbia",1
"2014-18","DC Tract 66",11001006600,"01JAN2014","31DEC2018",100,76,84,0.0000,4.7,0.0000,9.0,11,5.6,1.196,4.5,1.1964,100,100,1.2,1.2,"District of Columbia",1
"2014-18","DC Tract 67",11001006700,"01JAN2014","31DEC2018",99,79,81,3.2475,6.1,6.3830,5.9,9.0,4.0,2.796,2.9,3.6287,97,94,2.8,3.6,"District of Columbia",1
"2014-18","DC Tract 68.01",11001006801,"01JAN2014","31DEC2018",97,79,81,5.5731,3.7,9.3586,8.7,11,5.3,3.025,2.7,4.0492,94,91,3.0,4.0,"District of Columbia",1
"2014-18","DC Tract 68.02",11001006802,"01JAN2014","31DEC2018",99,87,91,2.1073,2.9,2.4904,7.2,10,5.0,2.297,2.1,2.4877,98,98,2.3,2.5,"District of Columbia",1
"2014-18","DC Tract 68.04",11001006804,"01JAN2014","31DEC2018",100,100,100,0.0000,0.0,0.0000,38,110,0.0,37.500,38,37.5000,100,100,38,38,"District of Columbia",1
"2014-18","DC Tract 69",11001006900,"01JAN2014","31DEC2018",100,79,83,8.6473,3.3,9.9315,12,13,4.1,6.062,2.6,4.4217,91,90,6.1,4.4,"District of Columbia",1
"2014-18","DC Tract 70",11001007000,"01JAN2014","31DEC2018",97,86,88,1.0329,1.6,3.8498,7.0,12,5.2,1.593,1.9,2.9833,99,96,1.6,3.0,"District of Columbia",1
"2014-18","DC Tract 71",11001007100,"01JAN2014","31DEC2018",98,57,67,10.8150,5.1,22.3354,9.2,11,8.3,5.200,3.0,9.6006,89,78,5.2,9.6,"District of Columbia",1
"2014-18","DC Tract 72",11001007200,"01JAN2014","31DEC2018",99,67,85,4.6885,5.8,6.8597,4.3,7.8,3.5,2.193,2.8,2.3411,95,93,2.2,2.3,"District of Columbia",1
"2014-18","DC Tract 73.01",11001007301,"01JAN2014","31DEC2018",99,93,90,0.0000,4.7,2.2656,1.8,12,4.3,0.938,3.5,3.7465,100,98,0.9,3.7,"District of Columbia",1
"2014-18","DC Tract 73.04",11001007304,"01JAN2014","31DEC2018",95,54,54,16.2470,9.7,25.9951,8.5,11,10,6.269,4.9,7.3982,84,74,6.3,7.4,"District of Columbia",1
"2014-18","DC Tract 74.01",11001007401,"01JAN2014","31DEC2018",93,26,37,32.6232,7.5,51.6644,7.4,8.5,8.2,7.766,5.0,7.5343,67,48,7.8,7.5,"District of Columbia",1
"2014-18","DC Tract 74.03",11001007403,"01JAN2014","31DEC2018",98,51,51,17.8368,9.5,25.1423,5.4,12,12,8.618,7.5,10.9269,82,75,8.6,11,"District of Columbia",1
"2014-18","DC Tract 74.04",11001007404,"01JAN2014","31DEC2018",96,61,49,19.0351,4.6,35.0877,13,15,12,8.981,4.5,11.4676,81,65,9.0,11,"District of Columbia",1
"2014-18","DC Tract 74.06",11001007406,"01JAN2014","31DEC2018",97,63,47,11.2774,6.6,25.7485,4.2,13,14,5.565,5.5,7.4082,89,74,5.6,7.4,"District of Columbia",1
"2014-18","DC Tract 74.07",11001007407,"01JAN2014","31DEC2018",99,65,59,12.7325,7.2,20.3863,9.6,11,8.1,5.821,4.1,6.6245,87,80,5.8,6.6,"District of Columbia",1
"2014-18","DC Tract 74.08",11001007408,"01JAN2014","31DEC2018",94,45,37,25.9475,9.9,44.8980,9.7,14,8.3,8.225,6.7,11.3237,74,55,8.2,11,"District of Columbia",1
"2014-18","DC Tract 74.09",11001007409,"01JAN2014","31DEC2018",98,52,53,23.1723,6.7,33.6815,7.5,13,9.0,6.364,4.3,9.3901,77,66,6.4,9.4,"District of Columbia",1
"2014-18","DC Tract 75.02",11001007502,"01JAN2014","31DEC2018",98,51,41,17.4550,11,34.8536,8.1,11,7.0,5.506,5.9,7.6997,83,65,5.5,7.7,"District of Columbia",1
"2014-18","DC Tract 75.03",11001007503,"01JAN2014","31DEC2018",95,56,51,17.8728,10,30.3728,7.2,10,6.4,5.695,4.2,7.8725,82,70,5.7,7.9,"District of Columbia",1
"2014-18","DC Tract 75.04",11001007504,"01JAN2014","31DEC2018",100,46,52,13.6937,12,31.8919,7.7,12,8.9,7.342,6.2,10.0093,86,68,7.3,10,"District of Columbia",1
"2014-18","DC Tract 76.01",11001007601,"01JAN2014","31DEC2018",99,65,48,14.6798,11,29.9205,7.7,10,7.9,4.698,4.5,7.3405,85,70,4.7,7.3,"District of Columbia",1
"2014-18","DC Tract 76.03",11001007603,"01JAN2014","31DEC2018",98,76,64,22.3262,3.6,23.5294,13,14,9.3,8.119,3.9,8.2860,78,76,8.1,8.3,"District of Columbia",1
"2014-18","DC Tract 76.04",11001007604,"01JAN2014","31DEC2018",98,69,66,10.1760,8.5,19.1419,6.4,9.2,6.5,3.940,5.2,7.0577,90,81,3.9,7.1,"District of Columbia",1
"2014-18","DC Tract 76.05",11001007605,"01JAN2014","31DEC2018",99,55,53,14.6525,15,21.6656,5.4,9.3,7.6,5.557,5.7,7.0030,85,78,5.6,7.0,"District of Columbia",1
"2014-18","DC Tract 77.03",11001007703,"01JAN2014","31DEC2018",93,51,37,33.6073,6.0,46.2100,9.1,14,9.6,9.800,4.8,11.0511,66,54,9.8,11,"District of Columbia",1
"2014-18","DC Tract 77.07",11001007707,"01JAN2014","31DEC2018",97,63,49,21.9987,8.6,31.6153,7.1,11,8.0,6.487,4.9,7.6119,78,68,6.5,7.6,"District of Columbia",1
"2014-18","DC Tract 77.08",11001007708,"01JAN2014","31DEC2018",97,42,41,30.1248,6.4,35.7398,9.0,13,12,12.140,5.8,12.2204,70,64,12,12,"District of Columbia",1
"2014-18","DC Tract 77.09",11001007709,"01JAN2014","31DEC2018",99,57,44,22.8708,12,33.0144,6.1,11,7.6,7.752,5.3,8.9405,77,67,7.8,8.9,"District of Columbia",1
"2014-18","DC Tract 78.03",11001007803,"01JAN2014","31DEC2018",99,66,57,14.7939,12,20.6098,8.6,11,8.5,5.554,5.6,6.3942,85,79,5.6,6.4,"District of Columbia",1
"2014-18","DC Tract 78.04",11001007804,"01JAN2014","31DEC2018",94,54,34,30.7190,6.0,39.7876,12,12,8.0,9.821,3.6,10.3785,69,60,9.8,10,"District of Columbia",1
"2014-18","DC Tract 78.06",11001007806,"01JAN2014","31DEC2018",95,63,45,16.1793,3.7,33.1384,11,14,11,7.613,2.6,9.3566,84,67,7.6,9.4,"District of Columbia",1
"2014-18","DC Tract 78.07",11001007807,"01JAN2014","31DEC2018",98,61,52,16.9177,5.3,31.0545,8.3,11,9.0,6.465,3.3,5.9952,83,69,6.5,6.0,"District of Columbia",1
"2014-18","DC Tract 78.08",11001007808,"01JAN2014","31DEC2018",96,61,39,19.7522,19,25.9463,13,13,8.5,5.851,8.5,6.5688,80,74,5.9,6.6,"District of Columbia",1
"2014-18","DC Tract 78.09",11001007809,"01JAN2014","31DEC2018",99,64,55,20.1395,8.6,26.4167,11,13,6.2,6.621,5.0,7.4419,80,74,6.6,7.4,"District of Columbia",1
"2014-18","DC Tract 79.01",11001007901,"01JAN2014","31DEC2018",97,67,64,13.6102,8.8,23.3866,5.4,9.3,6.7,6.121,4.0,7.3518,86,77,6.1,7.4,"District of Columbia",1
"2014-18","DC Tract 79.03",11001007903,"01JAN2014","31DEC2018",97,78,69,9.3750,10,16.6250,9.8,11,6.6,4.690,4.3,6.6177,91,83,4.7,6.6,"District of Columbia",1
"2014-18","DC Tract 80.01",11001008001,"01JAN2014","31DEC2018",99,89,87,5.0604,6.5,3.2477,9.3,13,5.1,3.833,3.5,2.1008,95,97,3.8,2.1,"District of Columbia",1
"2014-18","DC Tract 80.02",11001008002,"01JAN2014","31DEC2018",98,77,77,5.2835,4.0,10.3737,7.3,8.8,6.4,2.367,2.6,4.9943,95,90,2.4,5.0,"District of Columbia",1
"2014-18","DC Tract 81",11001008100,"01JAN2014","31DEC2018",100,84,86,6.6712,1.8,7.2776,6.6,9.8,4.2,4.768,1.5,4.8330,93,93,4.8,4.8,"District of Columbia",1
"2014-18","DC Tract 82",11001008200,"01JAN2014","31DEC2018",99,75,88,0.9644,3.0,0.9644,8.3,10,4.7,1.482,2.1,1.4820,99,99,1.5,1.5,"District of Columbia",1
"2014-18","DC Tract 83.01",11001008301,"01JAN2014","31DEC2018",98,77,85,1.9861,4.1,3.9722,4.9,9.8,6.8,1.575,3.1,3.4495,98,96,1.6,3.4,"District of Columbia",1
"2014-18","DC Tract 83.02",11001008302,"01JAN2014","31DEC2018",98,79,86,3.6329,4.5,3.5373,8.6,9.8,5.8,3.913,2.7,3.8180,96,96,3.9,3.8,"District of Columbia",1
"2014-18","DC Tract 84.02",11001008402,"01JAN2014","31DEC2018",99,63,78,14.6029,3.8,14.7737,9.1,11,5.8,5.378,4.2,5.3761,85,85,5.4,5.4,"District of Columbia",1
"2014-18","DC Tract 84.10",11001008410,"01JAN2014","31DEC2018",99,80,85,6.1404,3.2,9.2982,8.6,12,5.4,4.523,2.6,4.2932,94,91,4.5,4.3,"District of Columbia",1
"2014-18","DC Tract 87.01",11001008701,"01JAN2014","31DEC2018",99,75,78,3.0787,10,6.2714,12,15,7.5,3.636,6.5,4.5184,97,94,3.6,4.5,"District of Columbia",1
"2014-18","DC Tract 87.02",11001008702,"01JAN2014","31DEC2018",97,56,80,5.8194,2.2,11.5719,6.8,8.6,4.2,2.985,1.7,3.3224,94,88,3.0,3.3,"District of Columbia",1
"2014-18","DC Tract 88.02",11001008802,"01JAN2014","31DEC2018",97,63,52,17.6996,7.6,29.9832,10,9.9,8.2,5.606,3.9,6.6901,82,70,5.6,6.7,"District of Columbia",1
"2014-18","DC Tract 88.03",11001008803,"01JAN2014","31DEC2018",98,54,45,18.5944,8.3,42.4597,6.7,12,8.4,7.454,6.8,9.1473,81,58,7.5,9.1,"District of Columbia",1
"2014-18","DC Tract 88.04",11001008804,"01JAN2014","31DEC2018",93,58,67,11.6505,7.4,17.7184,8.8,11,7.0,5.877,4.1,7.4878,88,82,5.9,7.5,"District of Columbia",1
"2014-18","DC Tract 89.03",11001008903,"01JAN2014","31DEC2018",95,60,66,12.3934,5.6,25.2459,6.7,13,9.9,5.412,3.8,7.5193,88,75,5.4,7.5,"District of Columbia",1
"2014-18","DC Tract 89.04",11001008904,"01JAN2014","31DEC2018",97,46,48,24.0252,5.0,40.5963,4.1,8.5,9.2,5.191,3.5,7.8397,76,59,5.2,7.8,"District of Columbia",1
"2014-18","DC Tract 90",11001009000,"01JAN2014","31DEC2018",99,71,63,23.6616,5.0,29.5411,8.7,11,7.3,6.169,2.9,6.8975,76,70,6.2,6.9,"District of Columbia",1
"2014-18","DC Tract 91.02",11001009102,"01JAN2014","31DEC2018",98,60,63,16.3075,7.8,22.4780,6.5,8.9,5.8,4.264,3.7,4.5225,84,78,4.3,4.5,"District of Columbia",1
"2014-18","DC Tract 92.01",11001009201,"01JAN2014","31DEC2018",96,70,77,5.4820,6.2,11.5312,8.3,9.9,4.7,3.195,3.6,5.3393,95,88,3.2,5.3,"District of Columbia",1
