"timeframe","Zip","zip_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present"
2011,"ZIP 20002",20002,"01JAN2011","31DEC2011",".",".",8168,2233,5935,8,20,28
2012,"ZIP 20002",20002,"01JAN2012","31DEC2012",".",".",8569,2407,6162,8,20,28
2013,"ZIP 20002",20002,"01JAN2013","31DEC2013",".",".",8707,2642,6065,11,18,29
2001,"ZIP 20003",20003,"01JAN2001","31DEC2001",".",".",3546,1228,2318,3,6,9
2002,"ZIP 20003",20003,"01JAN2002","31DEC2002",".",".",3547,1297,2250,3,6,9
2003,"ZIP 20003",20003,"01JAN2003","31DEC2003",".",".",3657,1507,2150,4,8,12
2004,"ZIP 20003",20003,"01JAN2004","31DEC2004",".",".",3571,1536,2035,4,8,12
2005,"ZIP 20003",20003,"01JAN2005","31DEC2005",".",".",3630,1713,1917,5,9,14
2006,"ZIP 20003",20003,"01JAN2006","31DEC2006",".",".",3861,2211,1650,6,8,14
2007,"ZIP 20003",20003,"01JAN2007","31DEC2007",".",".",3584,2037,1547,5,7,12
2008,"ZIP 20003",20003,"01JAN2008","31DEC2008",".",".",3212,1933,1279,5,5,10
2009,"ZIP 20003",20003,"01JAN2009","31DEC2009",".",".",3423,2038,1385,6,5,11
2010,"ZIP 20003",20003,"01JAN2010","31DEC2010",".",".",3732,2222,1510,7,5,12
2011,"ZIP 20003",20003,"01JAN2011","31DEC2011",".",".",3789,2223,1566,6,5,11
2012,"ZIP 20003",20003,"01JAN2012","31DEC2012",".",".",3625,1976,1649,6,5,11
2013,"ZIP 20003",20003,"01JAN2013","31DEC2013",".",".",3758,2063,1695,6,5,11
2001,"ZIP 20004",20004,"01JAN2001","31DEC2001",".",".",164,164,0,1,0,1
2002,"ZIP 20004",20004,"01JAN2002","31DEC2002",".",".",118,118,0,1,0,1
2003,"ZIP 20004",20004,"01JAN2003","31DEC2003",".",".",136,136,0,1,0,1
2004,"ZIP 20004",20004,"01JAN2004","31DEC2004",".",".",146,146,0,1,0,1
2005,"ZIP 20004",20004,"01JAN2005","31DEC2005",".",".",150,150,0,1,0,1
2006,"ZIP 20004",20004,"01JAN2006","31DEC2006",".",".",179,179,0,1,0,1
2007,"ZIP 20004",20004,"01JAN2007","31DEC2007",".",".",0,0,0,0,0,0
2008,"ZIP 20004",20004,"01JAN2008","31DEC2008",".",".",0,0,0,0,0,0
2009,"ZIP 20004",20004,"01JAN2009","31DEC2009",".",".",0,0,0,0,0,0
2010,"ZIP 20004",20004,"01JAN2010","31DEC2010",".",".",0,0,0,0,0,0
2011,"ZIP 20004",20004,"01JAN2011","31DEC2011",".",".",0,0,0,0,0,0
2012,"ZIP 20004",20004,"01JAN2012","31DEC2012",".",".",443,443,0,1,0,1
2013,"ZIP 20004",20004,"01JAN2013","31DEC2013",".",".",510,510,0,1,0,1
2001,"ZIP 20005",20005,"01JAN2001","31DEC2001",".",".",294,0,294,0,1,1
2002,"ZIP 20005",20005,"01JAN2002","31DEC2002",".",".",0,0,0,0,0,0
2003,"ZIP 20005",20005,"01JAN2003","31DEC2003",".",".",281,0,281,0,1,1
2004,"ZIP 20005",20005,"01JAN2004","31DEC2004",".",".",416,152,264,1,1,2
2005,"ZIP 20005",20005,"01JAN2005","31DEC2005",".",".",497,205,292,1,1,2
2006,"ZIP 20005",20005,"01JAN2006","31DEC2006",".",".",514,171,343,1,1,2
2007,"ZIP 20005",20005,"01JAN2007","31DEC2007",".",".",526,131,395,1,1,2
2008,"ZIP 20005",20005,"01JAN2008","31DEC2008",".",".",508,156,352,1,1,2
2009,"ZIP 20005",20005,"01JAN2009","31DEC2009",".",".",613,215,398,1,1,2
2010,"ZIP 20005",20005,"01JAN2010","31DEC2010",".",".",632,258,374,1,1,2
2011,"ZIP 20005",20005,"01JAN2011","31DEC2011",".",".",630,303,327,1,1,2
2012,"ZIP 20005",20005,"01JAN2012","31DEC2012",".",".",608,308,300,1,1,2
