"timeframe","psa2012","psa2012_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present"
"2013-17","PSA 503",503,"01JAN2012","31DEC2016",14,2.6,"X","X","X","X","X","X"
"2013-17","PSA 504",504,"01JAN2012","31DEC2016",11,3.0,"X","X","X","X","X","X"
"2013-17","PSA 505",505,"01JAN2012","31DEC2016",13,3.5,"X","X","X","X","X","X"
"2013-17","PSA 506",506,"01JAN2012","31DEC2016",15,3.0,"X","X","X","X","X","X"
"2013-17","PSA 507",507,"01JAN2012","31DEC2016",15,2.7,"X","X","X","X","X","X"
"2013-17","PSA 601",601,"01JAN2012","31DEC2016",15,3.2,"X","X","X","X","X","X"
"2013-17","PSA 602",602,"01JAN2012","31DEC2016",15,3.4,"X","X","X","X","X","X"
"2013-17","PSA 603",603,"01JAN2012","31DEC2016",19,3.7,"X","X","X","X","X","X"
"2013-17","PSA 604",604,"01JAN2012","31DEC2016",15,2.6,"X","X","X","X","X","X"
"2013-17","PSA 605",605,"01JAN2012","31DEC2016",11,2.4,"X","X","X","X","X","X"
"2013-17","PSA 606",606,"01JAN2012","31DEC2016",14,4.9,"X","X","X","X","X","X"
"2013-17","PSA 607",607,"01JAN2012","31DEC2016",13,3.7,"X","X","X","X","X","X"
"2013-17","PSA 608",608,"01JAN2012","31DEC2016",17,3.8,"X","X","X","X","X","X"
"2013-17","PSA 701",701,"01JAN2012","31DEC2016",16,3.2,"X","X","X","X","X","X"
"2013-17","PSA 702",702,"01JAN2012","31DEC2016",20,4.3,"X","X","X","X","X","X"
"2013-17","PSA 703",703,"01JAN2012","31DEC2016",18,3.8,"X","X","X","X","X","X"
"2013-17","PSA 704",704,"01JAN2012","31DEC2016",15,3.8,"X","X","X","X","X","X"
"2013-17","PSA 705",705,"01JAN2012","31DEC2016",18,4.4,"X","X","X","X","X","X"
"2013-17","PSA 706",706,"01JAN2012","31DEC2016",18,3.6,"X","X","X","X","X","X"
"2013-17","PSA 707",707,"01JAN2012","31DEC2016",11,3.6,"X","X","X","X","X","X"
"2013-17","PSA 708",708,"01JAN2012","31DEC2016",12,2.8,"X","X","X","X","X","X"
2000,"PSA 101",101,"01JAN2000","31DEC2000",32,".","X","X","X","X","X","X"
2000,"PSA 102",102,"01JAN2000","31DEC2000",34,".","X","X","X","X","X","X"
2000,"PSA 103",103,"01JAN2000","31DEC2000",39,".","X","X","X","X","X","X"
2000,"PSA 104",104,"01JAN2000","31DEC2000",23,".","X","X","X","X","X","X"
2000,"PSA 105",105,"01JAN2000","31DEC2000",19,".","X","X","X","X","X","X"
2000,"PSA 106",106,"01JAN2000","31DEC2000",28,".","X","X","X","X","X","X"
2000,"PSA 107",107,"01JAN2000","31DEC2000",6.7,".","X","X","X","X","X","X"
2000,"PSA 108",108,"01JAN2000","31DEC2000",23,".","X","X","X","X","X","X"
2000,"PSA 201",201,"01JAN2000","31DEC2000",7.0,".","X","X","X","X","X","X"
2000,"PSA 202",202,"01JAN2000","31DEC2000",3.8,".","X","X","X","X","X","X"
2000,"PSA 203",203,"01JAN2000","31DEC2000",4.9,".","X","X","X","X","X","X"
2000,"PSA 204",204,"01JAN2000","31DEC2000",3.8,".","X","X","X","X","X","X"
2000,"PSA 205",205,"01JAN2000","31DEC2000",2.1,".","X","X","X","X","X","X"
2000,"PSA 206",206,"01JAN2000","31DEC2000",2.1,".","X","X","X","X","X","X"
2000,"PSA 207",207,"01JAN2000","31DEC2000",5.3,".","X","X","X","X","X","X"
2000,"PSA 208",208,"01JAN2000","31DEC2000",7.7,".","X","X","X","X","X","X"
2000,"PSA 301",301,"01JAN2000","31DEC2000",14,".","X","X","X","X","X","X"
2000,"PSA 302",302,"01JAN2000","31DEC2000",49,".","X","X","X","X","X","X"
2000,"PSA 303",303,"01JAN2000","31DEC2000",12,".","X","X","X","X","X","X"
2000,"PSA 304",304,"01JAN2000","31DEC2000",43,".","X","X","X","X","X","X"
2000,"PSA 305",305,"01JAN2000","31DEC2000",30,".","X","X","X","X","X","X"
2000,"PSA 306",306,"01JAN2000","31DEC2000",37,".","X","X","X","X","X","X"
2000,"PSA 307",307,"01JAN2000","31DEC2000",30,".","X","X","X","X","X","X"
2000,"PSA 308",308,"01JAN2000","31DEC2000",35,".","X","X","X","X","X","X"
2000,"PSA 401",401,"01JAN2000","31DEC2000",13,".","X","X","X","X","X","X"
2000,"PSA 402",402,"01JAN2000","31DEC2000",25,".","X","X","X","X","X","X"
2000,"PSA 403",403,"01JAN2000","31DEC2000",26,".","X","X","X","X","X","X"
2000,"PSA 404",404,"01JAN2000","31DEC2000",31,".","X","X","X","X","X","X"
2000,"PSA 405",405,"01JAN2000","31DEC2000",18,".","X","X","X","X","X","X"
2000,"PSA 406",406,"01JAN2000","31DEC2000",18,".","X","X","X","X","X","X"
2000,"PSA 407",407,"01JAN2000","31DEC2000",31,".","X","X","X","X","X","X"
2000,"PSA 408",408,"01JAN2000","31DEC2000",29,".","X","X","X","X","X","X"
2000,"PSA 409",409,"01JAN2000","31DEC2000",48,".","X","X","X","X","X","X"
2000,"PSA 501",501,"01JAN2000","31DEC2000",28,".","X","X","X","X","X","X"
2000,"PSA 502",502,"01JAN2000","31DEC2000",33,".","X","X","X","X","X","X"
2000,"PSA 503",503,"01JAN2000","31DEC2000",27,".","X","X","X","X","X","X"
2000,"PSA 504",504,"01JAN2000","31DEC2000",20,".","X","X","X","X","X","X"
2000,"PSA 505",505,"01JAN2000","31DEC2000",30,".","X","X","X","X","X","X"
2000,"PSA 506",506,"01JAN2000","31DEC2000",38,".","X","X","X","X","X","X"
2000,"PSA 507",507,"01JAN2000","31DEC2000",37,".","X","X","X","X","X","X"
2000,"PSA 601",601,"01JAN2000","31DEC2000",33,".","X","X","X","X","X","X"
2000,"PSA 602",602,"01JAN2000","31DEC2000",33,".","X","X","X","X","X","X"
2000,"PSA 603",603,"01JAN2000","31DEC2000",29,".","X","X","X","X","X","X"
2000,"PSA 604",604,"01JAN2000","31DEC2000",34,".","X","X","X","X","X","X"
2000,"PSA 605",605,"01JAN2000","31DEC2000",22,".","X","X","X","X","X","X"
2000,"PSA 606",606,"01JAN2000","31DEC2000",19,".","X","X","X","X","X","X"
2000,"PSA 607",607,"01JAN2000","31DEC2000",26,".","X","X","X","X","X","X"
2000,"PSA 608",608,"01JAN2000","31DEC2000",35,".","X","X","X","X","X","X"
2000,"PSA 701",701,"01JAN2000","31DEC2000",29,".","X","X","X","X","X","X"
2000,"PSA 702",702,"01JAN2000","31DEC2000",35,".","X","X","X","X","X","X"
2000,"PSA 703",703,"01JAN2000","31DEC2000",44,".","X","X","X","X","X","X"
2000,"PSA 704",704,"01JAN2000","31DEC2000",43,".","X","X","X","X","X","X"
2000,"PSA 705",705,"01JAN2000","31DEC2000",32,".","X","X","X","X","X","X"
2000,"PSA 706",706,"01JAN2000","31DEC2000",37,".","X","X","X","X","X","X"
2000,"PSA 707",707,"01JAN2000","31DEC2000",20,".","X","X","X","X","X","X"
2000,"PSA 708",708,"01JAN2000","31DEC2000",31,".","X","X","X","X","X","X"
1990,"PSA 101",101,"01JAN1990","31DEC1990",51,".","X","X","X","X","X","X"
1990,"PSA 102",102,"01JAN1990","31DEC1990",47,".","X","X","X","X","X","X"
1990,"PSA 103",103,"01JAN1990","31DEC1990",50,".","X","X","X","X","X","X"
1990,"PSA 104",104,"01JAN1990","31DEC1990",33,".","X","X","X","X","X","X"
1990,"PSA 105",105,"01JAN1990","31DEC1990",15,".","X","X","X","X","X","X"
1990,"PSA 106",106,"01JAN1990","31DEC1990",33,".","X","X","X","X","X","X"
1990,"PSA 107",107,"01JAN1990","31DEC1990",11,".","X","X","X","X","X","X"
1990,"PSA 108",108,"01JAN1990","31DEC1990",32,".","X","X","X","X","X","X"
1990,"PSA 201",201,"01JAN1990","31DEC1990",5.1,".","X","X","X","X","X","X"
1990,"PSA 202",202,"01JAN1990","31DEC1990",5.6,".","X","X","X","X","X","X"
1990,"PSA 203",203,"01JAN1990","31DEC1990",7.1,".","X","X","X","X","X","X"
1990,"PSA 204",204,"01JAN1990","31DEC1990",5.8,".","X","X","X","X","X","X"
1990,"PSA 205",205,"01JAN1990","31DEC1990",4.6,".","X","X","X","X","X","X"
1990,"PSA 206",206,"01JAN1990","31DEC1990",4.4,".","X","X","X","X","X","X"
1990,"PSA 207",207,"01JAN1990","31DEC1990",5.1,".","X","X","X","X","X","X"
1990,"PSA 208",208,"01JAN1990","31DEC1990",9.1,".","X","X","X","X","X","X"
1990,"PSA 301",301,"01JAN1990","31DEC1990",20,".","X","X","X","X","X","X"
1990,"PSA 302",302,"01JAN1990","31DEC1990",48,".","X","X","X","X","X","X"
1990,"PSA 303",303,"01JAN1990","31DEC1990",17,".","X","X","X","X","X","X"
1990,"PSA 304",304,"01JAN1990","31DEC1990",47,".","X","X","X","X","X","X"
1990,"PSA 305",305,"01JAN1990","31DEC1990",38,".","X","X","X","X","X","X"
1990,"PSA 306",306,"01JAN1990","31DEC1990",43,".","X","X","X","X","X","X"
1990,"PSA 307",307,"01JAN1990","31DEC1990",32,".","X","X","X","X","X","X"
1990,"PSA 308",308,"01JAN1990","31DEC1990",45,".","X","X","X","X","X","X"
1990,"PSA 401",401,"01JAN1990","31DEC1990",15,".","X","X","X","X","X","X"
1990,"PSA 402",402,"01JAN1990","31DEC1990",24,".","X","X","X","X","X","X"
1990,"PSA 403",403,"01JAN1990","31DEC1990",31,".","X","X","X","X","X","X"
1990,"PSA 404",404,"01JAN1990","31DEC1990",30,".","X","X","X","X","X","X"
1990,"PSA 405",405,"01JAN1990","31DEC1990",21,".","X","X","X","X","X","X"
1990,"PSA 406",406,"01JAN1990","31DEC1990",23,".","X","X","X","X","X","X"
1990,"PSA 407",407,"01JAN1990","31DEC1990",34,".","X","X","X","X","X","X"
1990,"PSA 408",408,"01JAN1990","31DEC1990",27,".","X","X","X","X","X","X"
1990,"PSA 409",409,"01JAN1990","31DEC1990",48,".","X","X","X","X","X","X"
1990,"PSA 501",501,"01JAN1990","31DEC1990",36,".","X","X","X","X","X","X"
1990,"PSA 502",502,"01JAN1990","31DEC1990",39,".","X","X","X","X","X","X"
1990,"PSA 503",503,"01JAN1990","31DEC1990",32,".","X","X","X","X","X","X"
1990,"PSA 504",504,"01JAN1990","31DEC1990",24,".","X","X","X","X","X","X"
1990,"PSA 505",505,"01JAN1990","31DEC1990",44,".","X","X","X","X","X","X"
1990,"PSA 506",506,"01JAN1990","31DEC1990",47,".","X","X","X","X","X","X"
1990,"PSA 507",507,"01JAN1990","31DEC1990",45,".","X","X","X","X","X","X"
1990,"PSA 601",601,"01JAN1990","31DEC1990",41,".","X","X","X","X","X","X"
1990,"PSA 602",602,"01JAN1990","31DEC1990",40,".","X","X","X","X","X","X"
1990,"PSA 603",603,"01JAN1990","31DEC1990",38,".","X","X","X","X","X","X"
1990,"PSA 604",604,"01JAN1990","31DEC1990",40,".","X","X","X","X","X","X"
1990,"PSA 605",605,"01JAN1990","31DEC1990",27,".","X","X","X","X","X","X"
1990,"PSA 606",606,"01JAN1990","31DEC1990",19,".","X","X","X","X","X","X"
1990,"PSA 607",607,"01JAN1990","31DEC1990",28,".","X","X","X","X","X","X"
1990,"PSA 608",608,"01JAN1990","31DEC1990",46,".","X","X","X","X","X","X"
1990,"PSA 701",701,"01JAN1990","31DEC1990",39,".","X","X","X","X","X","X"
1990,"PSA 702",702,"01JAN1990","31DEC1990",42,".","X","X","X","X","X","X"
1990,"PSA 703",703,"01JAN1990","31DEC1990",49,".","X","X","X","X","X","X"
1990,"PSA 704",704,"01JAN1990","31DEC1990",46,".","X","X","X","X","X","X"
1990,"PSA 705",705,"01JAN1990","31DEC1990",37,".","X","X","X","X","X","X"
1990,"PSA 706",706,"01JAN1990","31DEC1990",46,".","X","X","X","X","X","X"
1990,"PSA 707",707,"01JAN1990","31DEC1990",23,".","X","X","X","X","X","X"
1990,"PSA 708",708,"01JAN1990","31DEC1990",35,".","X","X","X","X","X","X"
2001,"PSA 101",101,"01JAN2001","31DEC2001","X","X",294,0.0,294,0.0,1.0,1.0
2002,"PSA 101",101,"01JAN2002","31DEC2002","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2003,"PSA 101",101,"01JAN2003","31DEC2003","X","X",281,0.0,281,0.0,1.0,1.0
2004,"PSA 101",101,"01JAN2004","31DEC2004","X","X",264,0.0,264,0.0,1.0,1.0
2005,"PSA 101",101,"01JAN2005","31DEC2005","X","X",292,0.0,292,0.0,1.0,1.0
2006,"PSA 101",101,"01JAN2006","31DEC2006","X","X",343,0.0,343,0.0,1.0,1.0
2007,"PSA 101",101,"01JAN2007","31DEC2007","X","X",395,0.0,395,0.0,1.0,1.0
2008,"PSA 101",101,"01JAN2008","31DEC2008","X","X",352,0.0,352,0.0,1.0,1.0
2009,"PSA 101",101,"01JAN2009","31DEC2009","X","X",398,0.0,398,0.0,1.0,1.0
2010,"PSA 101",101,"01JAN2010","31DEC2010","X","X",374,0.0,374,0.0,1.0,1.0
2011,"PSA 101",101,"01JAN2011","31DEC2011","X","X",327,0.0,327,0.0,1.0,1.0
2012,"PSA 101",101,"01JAN2012","31DEC2012","X","X",300,0.0,300,0.0,1.0,1.0
2013,"PSA 101",101,"01JAN2013","31DEC2013","X","X",289,0.0,289,0.0,1.0,1.0
2014,"PSA 101",101,"01JAN2014","31DEC2014","X","X",272,0.0,272,0.0,1.0,1.0
2001,"PSA 102",102,"01JAN2001","31DEC2001","X","X",164,164,0.0,1.0,0.0,1.0
2002,"PSA 102",102,"01JAN2002","31DEC2002","X","X",118,118,0.0,1.0,0.0,1.0
2003,"PSA 102",102,"01JAN2003","31DEC2003","X","X",136,136,0.0,1.0,0.0,1.0
2004,"PSA 102",102,"01JAN2004","31DEC2004","X","X",146,146,0.0,1.0,0.0,1.0
2005,"PSA 102",102,"01JAN2005","31DEC2005","X","X",150,150,0.0,1.0,0.0,1.0
2006,"PSA 102",102,"01JAN2006","31DEC2006","X","X",179,179,0.0,1.0,0.0,1.0
2007,"PSA 102",102,"01JAN2007","31DEC2007","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2008,"PSA 102",102,"01JAN2008","31DEC2008","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2009,"PSA 102",102,"01JAN2009","31DEC2009","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2010,"PSA 102",102,"01JAN2010","31DEC2010","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2011,"PSA 102",102,"01JAN2011","31DEC2011","X","X",0.0,0.0,0.0,0.0,0.0,0.0
2012,"PSA 102",102,"01JAN2012","31DEC2012","X","X",443,443,0.0,1.0,0.0,1.0
2013,"PSA 102",102,"01JAN2013","31DEC2013","X","X",510,510,0.0,1.0,0.0,1.0
2014,"PSA 102",102,"01JAN2014","31DEC2014","X","X",551,551,0.0,1.0,0.0,1.0
2001,"PSA 103",103,"01JAN2001","31DEC2001","X","X",842,0.0,842,0.0,3.0,3.0
2002,"PSA 103",103,"01JAN2002","31DEC2002","X","X",783,0.0,783,0.0,3.0,3.0
2003,"PSA 103",103,"01JAN2003","31DEC2003","X","X",792,0.0,792,0.0,2.0,2.0
2004,"PSA 103",103,"01JAN2004","31DEC2004","X","X",692,0.0,692,0.0,2.0,2.0
2005,"PSA 103",103,"01JAN2005","31DEC2005","X","X",563,0.0,563,0.0,2.0,2.0
2006,"PSA 103",103,"01JAN2006","31DEC2006","X","X",403,0.0,403,0.0,1.0,1.0
2007,"PSA 103",103,"01JAN2007","31DEC2007","X","X",276,0.0,276,0.0,1.0,1.0
2008,"PSA 103",103,"01JAN2008","31DEC2008","X","X",183,0.0,183,0.0,1.0,1.0
2009,"PSA 103",103,"01JAN2009","31DEC2009","X","X",224,0.0,224,0.0,1.0,1.0
2010,"PSA 103",103,"01JAN2010","31DEC2010","X","X",379,0.0,379,0.0,1.0,1.0
2011,"PSA 103",103,"01JAN2011","31DEC2011","X","X",418,0.0,418,0.0,1.0,1.0
2012,"PSA 103",103,"01JAN2012","31DEC2012","X","X",426,0.0,426,0.0,1.0,1.0
2013,"PSA 103",103,"01JAN2013","31DEC2013","X","X",454,0.0,454,0.0,1.0,1.0
2014,"PSA 103",103,"01JAN2014","31DEC2014","X","X",465,0.0,465,0.0,1.0,1.0
2001,"PSA 104",104,"01JAN2001","31DEC2001","X","X",1371,243,1128,2.0,3.0,5.0
2002,"PSA 104",104,"01JAN2002","31DEC2002","X","X",1626,272,1354,2.0,4.0,6.0
2003,"PSA 104",104,"01JAN2003","31DEC2003","X","X",1462,372,1090,2.0,3.0,5.0
2004,"PSA 104",104,"01JAN2004","31DEC2004","X","X",1111,0.0,1111,0.0,4.0,4.0
2005,"PSA 104",104,"01JAN2005","31DEC2005","X","X",1087,0.0,1087,0.0,4.0,4.0
2006,"PSA 104",104,"01JAN2006","31DEC2006","X","X",1074,0.0,1074,0.0,4.0,4.0
2007,"PSA 104",104,"01JAN2007","31DEC2007","X","X",1820,325,1495,1.0,5.0,6.0
2008,"PSA 104",104,"01JAN2008","31DEC2008","X","X",1460,0.0,1460,0.0,5.0,5.0
2009,"PSA 104",104,"01JAN2009","31DEC2009","X","X",1041,0.0,1041,0.0,4.0,4.0
2010,"PSA 104",104,"01JAN2010","31DEC2010","X","X",1103,0.0,1103,0.0,4.0,4.0
2011,"PSA 104",104,"01JAN2011","31DEC2011","X","X",1694,340,1354,1.0,5.0,6.0
2012,"PSA 104",104,"01JAN2012","31DEC2012","X","X",1849,374,1475,1.0,6.0,7.0
2013,"PSA 104",104,"01JAN2013","31DEC2013","X","X",2019,377,1642,1.0,5.0,6.0
2014,"PSA 104",104,"01JAN2014","31DEC2014","X","X",2168,381,1787,1.0,5.0,6.0
2001,"PSA 105",105,"01JAN2001","31DEC2001","X","X",1860,219,1641,1.0,3.0,4.0
2002,"PSA 105",105,"01JAN2002","31DEC2002","X","X",1610,0.0,1610,0.0,3.0,3.0
2003,"PSA 105",105,"01JAN2003","31DEC2003","X","X",1492,0.0,1492,0.0,3.0,3.0
2004,"PSA 105",105,"01JAN2004","31DEC2004","X","X",1421,0.0,1421,0.0,3.0,3.0
2005,"PSA 105",105,"01JAN2005","31DEC2005","X","X",1251,36,1215,1.0,3.0,4.0
2006,"PSA 105",105,"01JAN2006","31DEC2006","X","X",1158,36,1122,1.0,3.0,4.0
2007,"PSA 105",105,"01JAN2007","31DEC2007","X","X",924,72,852,2.0,3.0,5.0
2008,"PSA 105",105,"01JAN2008","31DEC2008","X","X",837,72,765,2.0,2.0,4.0
2009,"PSA 105",105,"01JAN2009","31DEC2009","X","X",701,72,629,2.0,2.0,4.0
2010,"PSA 105",105,"01JAN2010","31DEC2010","X","X",625,79,546,2.0,2.0,4.0
2011,"PSA 105",105,"01JAN2011","31DEC2011","X","X",598,81,517,2.0,3.0,5.0
2012,"PSA 105",105,"01JAN2012","31DEC2012","X","X",656,84,572,2.0,2.0,4.0
2013,"PSA 105",105,"01JAN2013","31DEC2013","X","X",720,79,641,2.0,2.0,4.0
2014,"PSA 105",105,"01JAN2014","31DEC2014","X","X",708,86,622,1.0,2.0,3.0
2001,"PSA 106",106,"01JAN2001","31DEC2001","X","X",2130,1228,902,3.0,3.0,6.0
2002,"PSA 106",106,"01JAN2002","31DEC2002","X","X",2130,1297,833,3.0,3.0,6.0
2003,"PSA 106",106,"01JAN2003","31DEC2003","X","X",2211,1507,704,4.0,3.0,7.0
2004,"PSA 106",106,"01JAN2004","31DEC2004","X","X",2171,1536,635,4.0,3.0,7.0
2005,"PSA 106",106,"01JAN2005","31DEC2005","X","X",2247,1713,534,5.0,3.0,8.0
2006,"PSA 106",106,"01JAN2006","31DEC2006","X","X",2431,1985,446,5.0,2.0,7.0
2007,"PSA 106",106,"01JAN2007","31DEC2007","X","X",2306,1812,494,4.0,2.0,6.0
2008,"PSA 106",106,"01JAN2008","31DEC2008","X","X",1972,1487,485,3.0,2.0,5.0
2009,"PSA 106",106,"01JAN2009","31DEC2009","X","X",2188,1611,577,4.0,2.0,6.0
2010,"PSA 106",106,"01JAN2010","31DEC2010","X","X",2455,1781,674,5.0,2.0,7.0
2011,"PSA 106",106,"01JAN2011","31DEC2011","X","X",2169,1767,402,4.0,1.0,5.0
2012,"PSA 106",106,"01JAN2012","31DEC2012","X","X",1966,1496,470,4.0,1.0,5.0
2013,"PSA 106",106,"01JAN2013","31DEC2013","X","X",2083,1576,507,4.0,1.0,5.0
2014,"PSA 106",106,"01JAN2014","31DEC2014","X","X",2049,1527,522,4.0,1.0,5.0
2001,"PSA 107",107,"01JAN2001","31DEC2001","X","X",1637,0.0,1637,0.0,5.0,5.0
2002,"PSA 107",107,"01JAN2002","31DEC2002","X","X",1652,0.0,1652,0.0,5.0,5.0
2003,"PSA 107",107,"01JAN2003","31DEC2003","X","X",1667,0.0,1667,0.0,5.0,5.0
2004,"PSA 107",107,"01JAN2004","31DEC2004","X","X",1504,0.0,1504,0.0,5.0,5.0
2005,"PSA 107",107,"01JAN2005","31DEC2005","X","X",1517,0.0,1517,0.0,6.0,6.0
2006,"PSA 107",107,"01JAN2006","31DEC2006","X","X",1367,0.0,1367,0.0,6.0,6.0
2007,"PSA 107",107,"01JAN2007","31DEC2007","X","X",1280,0.0,1280,0.0,5.0,5.0
2008,"PSA 107",107,"01JAN2008","31DEC2008","X","X",1023,0.0,1023,0.0,4.0,4.0
2009,"PSA 107",107,"01JAN2009","31DEC2009","X","X",1025,0.0,1025,0.0,4.0,4.0
2010,"PSA 107",107,"01JAN2010","31DEC2010","X","X",1050,0.0,1050,0.0,4.0,4.0
2011,"PSA 107",107,"01JAN2011","31DEC2011","X","X",1454,60,1394,1.0,5.0,6.0
2012,"PSA 107",107,"01JAN2012","31DEC2012","X","X",1493,61,1432,1.0,4.0,5.0
2013,"PSA 107",107,"01JAN2013","31DEC2013","X","X",1534,63,1471,1.0,4.0,5.0
2014,"PSA 107",107,"01JAN2014","31DEC2014","X","X",1521,60,1461,1.0,4.0,5.0
2001,"PSA 108",108,"01JAN2001","31DEC2001","X","X",2299,445,1854,2.0,5.0,7.0
2002,"PSA 108",108,"01JAN2002","31DEC2002","X","X",1590,88,1502,1.0,4.0,5.0
2003,"PSA 108",108,"01JAN2003","31DEC2003","X","X",2150,657,1493,2.0,5.0,7.0
2004,"PSA 108",108,"01JAN2004","31DEC2004","X","X",2333,648,1685,3.0,5.0,8.0
2005,"PSA 108",108,"01JAN2005","31DEC2005","X","X",2015,677,1338,3.0,5.0,8.0
2006,"PSA 108",108,"01JAN2006","31DEC2006","X","X",2071,851,1220,4.0,5.0,9.0
2007,"PSA 108",108,"01JAN2007","31DEC2007","X","X",1739,522,1217,2.0,5.0,7.0
2008,"PSA 108",108,"01JAN2008","31DEC2008","X","X",1858,762,1096,3.0,5.0,8.0
2009,"PSA 108",108,"01JAN2009","31DEC2009","X","X",1642,746,896,3.0,4.0,7.0
2010,"PSA 108",108,"01JAN2010","31DEC2010","X","X",1779,814,965,3.0,5.0,8.0
2011,"PSA 108",108,"01JAN2011","31DEC2011","X","X",1762,815,947,3.0,4.0,7.0
2012,"PSA 108",108,"01JAN2012","31DEC2012","X","X",1974,895,1079,3.0,4.0,7.0
2013,"PSA 108",108,"01JAN2013","31DEC2013","X","X",2222,863,1359,3.0,4.0,7.0
2014,"PSA 108",108,"01JAN2014","31DEC2014","X","X",2346,759,1587,3.0,4.0,7.0
2001,"PSA 201",201,"01JAN2001","31DEC2001","X","X",499,0.0,499,0.0,1.0,1.0
2002,"PSA 201",201,"01JAN2002","31DEC2002","X","X",514,0.0,514,0.0,1.0,1.0
2003,"PSA 201",201,"01JAN2003","31DEC2003","X","X",537,0.0,537,0.0,1.0,1.0
2004,"PSA 201",201,"01JAN2004","31DEC2004","X","X",546,0.0,546,0.0,1.0,1.0
2005,"PSA 201",201,"01JAN2005","31DEC2005","X","X",579,0.0,579,0.0,1.0,1.0
2006,"PSA 201",201,"01JAN2006","31DEC2006","X","X",595,0.0,595,0.0,1.0,1.0
