"timeframe","anc2012","anc2012_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present"
2008,"ANC 1A","1A","01JAN2008","31DEC2008","X","X",3302,1203,2099,6.0,3.0,9.0
2009,"ANC 1A","1A","01JAN2009","31DEC2009","X","X",3647,1497,2150,6.0,3.0,9.0
2010,"ANC 1A","1A","01JAN2010","31DEC2010","X","X",3236,1492,1744,6.0,3.0,9.0
2011,"ANC 1A","1A","01JAN2011","31DEC2011","X","X",3724,1573,2151,7.0,3.0,10
2012,"ANC 1A","1A","01JAN2012","31DEC2012","X","X",3758,1548,2210,7.0,3.0,10
2013,"ANC 1A","1A","01JAN2013","31DEC2013","X","X",3852,1612,2240,7.0,3.0,10
2014,"ANC 1A","1A","01JAN2014","31DEC2014","X","X",4084,1737,2347,7.0,3.0,10
2001,"ANC 1B","1B","01JAN2001","31DEC2001","X","X",3421,930,2491,5.0,6.0,11
2002,"ANC 1B","1B","01JAN2002","31DEC2002","X","X",3554,1110,2444,5.0,6.0,11
2003,"ANC 1B","1B","01JAN2003","31DEC2003","X","X",3682,1218,2464,5.0,6.0,11
2004,"ANC 1B","1B","01JAN2004","31DEC2004","X","X",5191,2457,2734,11,7.0,18
2005,"ANC 1B","1B","01JAN2005","31DEC2005","X","X",4938,2332,2606,12,7.0,19
2006,"ANC 1B","1B","01JAN2006","31DEC2006","X","X",5166,2657,2509,12,7.0,19
2007,"ANC 1B","1B","01JAN2007","31DEC2007","X","X",5211,2851,2360,13,7.0,20
2008,"ANC 1B","1B","01JAN2008","31DEC2008","X","X",4861,2888,1973,11,5.0,16
2009,"ANC 1B","1B","01JAN2009","31DEC2009","X","X",4715,3129,1586,8.0,4.0,12
2010,"ANC 1B","1B","01JAN2010","31DEC2010","X","X",4387,3058,1329,7.0,4.0,11
2011,"ANC 1B","1B","01JAN2011","31DEC2011","X","X",4863,3265,1598,7.0,5.0,12
2012,"ANC 1B","1B","01JAN2012","31DEC2012","X","X",5249,3609,1640,8.0,5.0,13
2013,"ANC 1B","1B","01JAN2013","31DEC2013","X","X",5803,4109,1694,9.0,4.0,13
